system,feature,feature_label,pearson,spearman
Human,input_cells,Input cells,0.12395745707252265,0.13097347872803208
Human,input_colors,Input colors,0.05243680998895616,0.05015455149907642
Human,output_cells,Output cells,0.11831239197944,0.10722001416367317
Human,output_colors,Output colors,0.09708901364340153,0.091196912963459
Human,n_train_pairs,Train pairs,-0.22217470534494208,-0.18949542366108507
Human,size_change_ratio,Size change,-0.020173021081857638,-0.043478979469242826
Human,mean_duration_seconds,Mean duration,-0.3489226336011377,-0.3645539364089027
LLM average,input_cells,Input cells,-0.20934757323674813,-0.19745170586407043
LLM average,input_colors,Input colors,0.1273647391646665,0.12442574641822222
LLM average,output_cells,Output cells,-0.11479382688797339,-0.11543095830701988
LLM average,output_colors,Output colors,0.08681666709059216,0.07100071942858716
LLM average,n_train_pairs,Train pairs,0.04835068395493053,0.025661532678813773
LLM average,size_change_ratio,Size change,0.171785003239364,0.08011720352119561
LLM average,mean_duration_seconds,Mean duration,-0.21717922300860532,-0.30039953856374685
gpt-5-2-2025-12-11-thinking-xhigh,input_cells,Input cells,-0.20389727462865126,-0.2040058104886879
gpt-5-2-2025-12-11-thinking-xhigh,input_colors,Input colors,0.0035788855346959945,-0.008078203914903439
gpt-5-2-2025-12-11-thinking-xhigh,output_cells,Output cells,-0.10849679540905376,-0.11352025139273265
gpt-5-2-2025-12-11-thinking-xhigh,output_colors,Output colors,-0.021727105524115352,-0.041337400477189146
gpt-5-2-2025-12-11-thinking-xhigh,n_train_pairs,Train pairs,0.14655155135585332,0.1443739760309393
gpt-5-2-2025-12-11-thinking-xhigh,size_change_ratio,Size change,0.036195288385727394,0.09173991533143735
gpt-5-2-2025-12-11-thinking-xhigh,mean_duration_seconds,Mean duration,-0.20905634181670804,-0.21533411321417337
TRM 651522 pass@2,input_cells,Input cells,-0.017937382738468538,-0.020734040130296488
TRM 651522 pass@2,input_colors,Input colors,-0.2961315927691616,-0.2743460465906376
TRM 651522 pass@2,output_cells,Output cells,0.10326352299386966,0.11078537533383634
TRM 651522 pass@2,output_colors,Output colors,-0.18415893308989917,-0.1886638821192453
TRM 651522 pass@2,n_train_pairs,Train pairs,-0.04797265767356701,-0.05441554480416636
TRM 651522 pass@2,size_change_ratio,Size change,0.15658898813960712,0.17458715322603005
TRM 651522 pass@2,mean_duration_seconds,Mean duration,0.02838209033373773,0.031224187113938928
TRM 361957 pass@2,input_cells,Input cells,-0.01898686844469755,-0.00551677684701804
TRM 361957 pass@2,input_colors,Input colors,-0.22246352483670007,-0.20149348622030577
TRM 361957 pass@2,output_cells,Output cells,0.03712607522509894,0.055728123410977846
TRM 361957 pass@2,output_colors,Output colors,-0.14898586645107648,-0.1637307946173422
TRM 361957 pass@2,n_train_pairs,Train pairs,-0.05907504395739823,-0.05404769359106957
TRM 361957 pass@2,size_change_ratio,Size change,0.011730929302547601,0.07710436463653879
TRM 361957 pass@2,mean_duration_seconds,Mean duration,-0.10460391042642443,-0.08178114725261691
VARC ARC-2_ViT pass@2,input_cells,Input cells,0.021613012512069665,0.024555124016155068
VARC ARC-2_ViT pass@2,input_colors,Input colors,-0.16439334045877635,-0.1479333098296679
VARC ARC-2_ViT pass@2,output_cells,Output cells,0.07128820926642253,0.08191621950569644
VARC ARC-2_ViT pass@2,output_colors,Output colors,-0.041445921785584185,-0.055583717104226465
VARC ARC-2_ViT pass@2,n_train_pairs,Train pairs,-0.00809053809642388,0.004943132814479335
VARC ARC-2_ViT pass@2,size_change_ratio,Size change,0.010442852115887356,0.06863816639095824
VARC ARC-2_ViT pass@2,mean_duration_seconds,Mean duration,-0.06401622886299338,-0.029059394265541924
