system,pc1,pc2,kind,explained_variance_ratio
Human,0.0278446435550123,3.6303282141255098,Human,"0.430, 0.181"
LLM average,-5.096775857018201,-0.7920757809579949,LLM aggregate,"0.430, 0.181"
gpt-5-2-2025-12-11-thinking-xhigh,-2.8785872366352576,-5.928769637616434,LLM,"0.430, 0.181"
claude-opus-4-5-20251101-thinking-16k,-2.7809249368720113,5.378621573914334,LLM,"0.430, 0.181"
TRM 651522 pass@2,7.984851636012848,0.7686625099877903,TRM,"0.430, 0.181"
TRM 361957 pass@2,7.937316073958601,-0.5107248630030188,TRM,"0.430, 0.181"
VARC ARC-2_ViT pass@2,7.589201027328466,-2.1255400872306205,VARC,"0.430, 0.181"
Family GPT,-4.664573131143962,-3.6217577404445063,LLM family,"0.430, 0.181"
Family Claude Opus,-3.3868037691967405,4.501350429470195,LLM family,"0.430, 0.181"
Family Gemini,-4.731548449988743,-1.3000946182452577,LLM family,"0.430, 0.181"
