,Human,LLM average,gpt-5-2-2025-12-11-thinking-xhigh,claude-opus-4-5-20251101-thinking-16k,TRM 651522 pass@2,TRM 361957 pass@2,VARC ARC-2_ViT pass@2,Family GPT,Family Claude Opus,Family Gemini
Human,1.0,0.4018650115562441,0.27626368926318345,0.4385003673021126,0.11274035127981141,0.2140044152622053,0.15789164601916825,0.28713999737555573,0.4886342099197493,0.3676503118453882
LLM average,0.4018650115562441,1.0,0.5787686808661101,0.6542873543548685,0.012835768056655183,0.11218531440774682,0.06396720348926202,0.9219282130073719,0.7734188624301321,0.8910314742103489
gpt-5-2-2025-12-11-thinking-xhigh,0.27626368926318345,0.5787686808661101,1.0,0.25382083943462713,-0.05196746370519368,0.04761904761904762,0.1006771770573331,0.6811894753170596,0.31459081204954953,0.5173594631349736
claude-opus-4-5-20251101-thinking-16k,0.4385003673021126,0.6542873543548685,0.25382083943462713,1.0,0.08169040030820052,0.13942271461902048,0.045349291051657845,0.46154679650613023,0.8383559212038953,0.5314178241480741
TRM 651522 pass@2,0.11274035127981141,0.012835768056655183,-0.05196746370519368,0.08169040030820052,1.0,0.6236095644623233,0.39935811995092263,-0.002043654388971865,0.10226238390330686,-0.02603061201382922
TRM 361957 pass@2,0.2140044152622053,0.11218531440774682,0.04761904761904762,0.13942271461902048,0.6236095644623233,1.0,0.6570510502689108,0.10246517084282804,0.1355778439798538,0.0816883362844695
VARC ARC-2_ViT pass@2,0.15789164601916825,0.06396720348926202,0.1006771770573331,0.045349291051657845,0.39935811995092263,0.6570510502689108,1.0,0.04254398803814205,0.069062159361821,0.0496445719983202
Family GPT,0.28713999737555573,0.9219282130073719,0.6811894753170596,0.46154679650613023,-0.002043654388971865,0.10246517084282804,0.04254398803814205,1.0,0.5597580311185477,0.7893198695161077
Family Claude Opus,0.4886342099197493,0.7734188624301321,0.31459081204954953,0.8383559212038953,0.10226238390330686,0.1355778439798538,0.069062159361821,0.5597580311185477,1.0,0.6464467319012023
Family Gemini,0.3676503118453882,0.8910314742103489,0.5173594631349736,0.5314178241480741,-0.02603061201382922,0.0816883362844695,0.0496445719983202,0.7893198695161077,0.6464467319012023,1.0
