threshold,n_pairs,system,pair_accuracy,human_pearson,human_spearman,percentile_vs_human_split,corr_with_llm_average,corr_with_human_residual
2,161,LLM average,0.10877528268832617,0.34471273051520296,0.36837671810106143,0.7846666666666666,1.0,-0.23920690983591816
2,161,gpt-5-2-2025-12-11-thinking-xhigh,0.4906832298136646,0.25592098494907045,0.2533801320179879,0.2763333333333333,0.5736995358766432,-0.07707468792326715
2,161,claude-opus-4-5-20251101-thinking-16k,0.17391304347826086,0.34832256639924936,0.34993108480880686,0.7986666666666666,0.6403280727453399,-0.021192598145647643
2,161,TRM 651522 pass@2,0.09937888198757763,0.09023277637330762,0.08786241710386307,0.0006666666666666666,0.059212074032605894,0.058057228532863506
2,161,TRM 361957 pass@2,0.049689440993788817,0.16417420849873704,0.16323979290572424,0.023333333333333334,0.07579507970123153,0.12466019438140102
2,161,VARC ARC-2_ViT pass@2,0.043478260869565216,0.09053540370525477,0.09141058482988737,0.0006666666666666666,0.08215610814235079,0.04470097363090277
3,159,LLM average,0.10885341074020319,0.3505463454593763,0.3670837012676071,0.8066666666666666,1.0,-0.2411439060421932
3,159,gpt-5-2-2025-12-11-thinking-xhigh,0.48427672955974843,0.24209802887709642,0.23888661441818765,0.21,0.5785900543775899,-0.09882457533285391
3,159,claude-opus-4-5-20251101-thinking-16k,0.1761006289308176,0.36202571718403675,0.3634034856209243,0.852,0.6414890286525519,-0.012566099424200424
3,159,TRM 651522 pass@2,0.10062893081761007,0.0976788107905283,0.0950406956397443,0.0023333333333333335,0.05911523758620885,0.06549008706037421
3,159,TRM 361957 pass@2,0.050314465408805034,0.17069279938804502,0.16947263573219623,0.029666666666666668,0.0757565412977915,0.13109245437208442
3,159,VARC ARC-2_ViT pass@2,0.0440251572327044,0.09574047513806476,0.09715641242484502,0.002,0.0821307399598328,0.04957103516747431
5,129,LLM average,0.1045517789703836,0.36733100120855705,0.40089973650220406,0.7756666666666666,1.0,-0.24195379841679404
5,129,gpt-5-2-2025-12-11-thinking-xhigh,0.4806201550387597,0.23085560314124792,0.22065186010972657,0.089,0.5573889090908236,-0.10762456783827704
5,129,claude-opus-4-5-20251101-thinking-16k,0.16279069767441862,0.4031321515075339,0.39552356385497256,0.9093333333333333,0.6158320460790522,0.035561247576937245
5,129,TRM 651522 pass@2,0.09302325581395349,0.09483840902121211,0.0829457766051857,0.0003333333333333333,0.021183738377149815,0.08569398633943859
5,129,TRM 361957 pass@2,0.03875968992248062,0.19907677449897246,0.18479750909763465,0.037333333333333336,0.11445700155811667,0.13612666560009212
5,129,VARC ARC-2_ViT pass@2,0.03875968992248062,0.142123737162904,0.14211036518326875,0.004666666666666667,0.10662413513848971,0.08160897834697374
8,110,LLM average,0.10815850815850812,0.4018650115562444,0.4541522048363888,0.5163333333333333,1.0,-0.21046514459819798
8,110,gpt-5-2-2025-12-11-thinking-xhigh,0.4909090909090909,0.2762636892631836,0.2764117787817283,0.025666666666666667,0.5787686808661097,-0.07518121835375591
8,110,claude-opus-4-5-20251101-thinking-16k,0.16363636363636364,0.43850036730211284,0.42627383705878746,0.7483333333333333,0.6542873543548685,0.049728924137694384
8,110,TRM 651522 pass@2,0.10909090909090909,0.11274035127981138,0.10218107458795514,0.0,0.012835768056655143,0.11215331409828917
8,110,TRM 361957 pass@2,0.045454545454545456,0.21400441526220484,0.20321862863703388,0.002,0.11218531440774672,0.15672924839984287
8,110,VARC ARC-2_ViT pass@2,0.03636363636363636,0.15789164601916827,0.15867502273471923,0.0003333333333333333,0.063967203489262,0.12765850822123131
