source_family,subtype,model_name,model_family,llm_type,thinking_bucket,thinking_rank,split,performance_rate,task_solve_rate,pair_accuracy,task_count,solved_tasks,total_cost,total_attempts,avg_cost_per_task,avg_cost_per_attempt,avg_output_tokens_per_task,avg_total_tokens_per_task,avg_duration_per_task,attempts_per_task,cost_per_solved_task,tokens_per_solved_task,duration_per_solved_task,empty_attempt_rate,empty_attempts,llm_type_pair,pair_accuracy_pair
llm,llm_model,gemini-3-deep-think-preview,gemini-3,Thinking,deep,6.0,arc_agi_v1_public_eval,0.9273182957393483,0.9273182957393483,0.3652694610778443,399,370.0,0.0,836,0.0,0.0,461404.7543859649,2989326.9749373435,865.4519704060151,2.0952380952380953,0.0,3223625.5756756756,933.2846924108109,0.0,0,Thinking,0.3652694610778443
llm,llm_model,gemini-3-pro-preview,gemini-3,Thinking,default,,arc_agi_v1_public_eval,0.8646616541353384,0.8646616541353384,0.2155688622754491,399,345.0,149.29944799999993,836,0.3741840802005011,0.17858785645933006,2784.5087719298244,39742.8045112782,270.64182748370894,2.0952380952380953,0.4327520231884056,45963.417391304356,313.00315700289815,0.0,0,Thinking,0.2155688622754491
llm,llm_model,gpt-5-1-2025-11-13-thinking-high,gpt-5.1,Thinking,high,4.0,arc_agi_v1_public_eval,0.77125,0.77125,0.1077844311377245,400,308.5,218.38067375000003,838,0.5459516843750001,0.2605974627088306,53334.125,0.0,723.0956704574998,2.095,0.7078790072933551,0.0,937.5632680162072,0.0,0,Thinking,0.1077844311377245
llm,llm_model,gpt-5-1-2025-11-13-thinking-low,gpt-5.1,Thinking,low,2.0,arc_agi_v1_public_eval,0.44,0.44,0.0179640718562874,400,176.0,37.17349625,838,0.092933740625,0.044359780727923626,8029.5425,0.0,139.12571659749992,2.095,0.211213046875,0.0,316.19481044886345,0.0,0,Thinking,0.0179640718562874
llm,llm_model,gpt-5-1-2025-11-13-thinking-medium,gpt-5.1,Thinking,medium,3.0,arc_agi_v1_public_eval,0.6886075949367089,0.6886075949367089,0.0658682634730539,395,272.0,101.24810624999999,828,0.25632431962025315,0.122280321557971,24505.853164556964,0.0,401.2303196303795,2.0962025316455697,0.372235684742647,0.0,582.6690303455879,0.0,0,Thinking,0.0658682634730539
llm,llm_model,gpt-5-1-2025-11-13-thinking-none,gpt-5.1,Standard,none,0.0,arc_agi_v1_public_eval,0.12375,0.12375,0.0,400,49.5,11.009484999999993,838,0.02752371249999998,0.013137810262529824,1485.1,0.0,39.69263651499998,2.095,0.22241383838383824,0.0,320.74857789898977,0.0,0,Standard,0.0
llm,llm_model,claude-opus-4-5-20251101-thinking-16k,claude-opus-4.5,Thinking,default,,arc_agi_v2_public_eval,0.24166666666666667,0.24166666666666667,0.1676646706586826,120,29.0,98.73206500000003,334,0.8227672083333336,0.2956049850299402,28866.225,49088.541666666664,346.18186345,2.783333333333333,3.4045539655172425,203125.0,1432.4766763448276,0.0,0,Thinking,0.1676646706586826
llm,llm_model,claude-opus-4-5-20251101-thinking-1k,claude-opus-4.5,Thinking,default,,arc_agi_v2_public_eval,0.05,0.05,0.0239520958083832,120,6.0,27.480339999999998,334,0.22900283333333332,0.08227646706586826,5115.65,25337.966666666667,58.351301566666685,2.783333333333333,4.580056666666667,506759.3333333333,1167.0260313333335,0.0,0,Thinking,0.0239520958083832
llm,llm_model,claude-opus-4-5-20251101-thinking-32k,claude-opus-4.5,Thinking,default,,arc_agi_v2_public_eval,0.2815126050420168,0.2815126050420168,0.2035928143712574,119,33.5,162.7036,310,1.3672571428571427,0.5248503225806451,51167.71428571428,68780.57142857143,623.0003884957982,2.6050420168067228,4.856823880597015,244325.01492537317,2213.0461561492534,0.0,0,Thinking,0.2035928143712574
llm,llm_model,claude-opus-4-5-20251101-thinking-64k,claude-opus-4.5,Thinking,default,,arc_agi_v2_public_eval,0.4027777777777778,0.4027777777777778,0.2994011976047904,120,48.333333333333336,298.53018999999995,334,2.487751583333333,0.8938029640718561,95465.6,115687.91666666667,1187.4456893583333,2.783333333333333,6.176486689655171,287225.1724137931,2948.1410218551723,0.0,0,Thinking,0.2994011976047904
