analysis,group,metric_x,metric_y,n,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_r,spearman_p,spearman_ci_low,spearman_ci_high
LLM performance vs thinking rank,llm,performance_rate,thinking_rank,22,0.7486299148119929,6.129902401967257e-05,0.5791777606078993,0.8674078428485194,0.8052921153345056,6.154541436829549e-06,0.5905732410757565,0.920380956402209
LLM duration vs thinking rank,llm,avg_duration_per_task,thinking_rank,22,0.6089177589170892,0.002633069192081062,0.4222628366693317,0.7905678126631073,0.8154081720753622,3.77582398828684e-06,0.6194791114988177,0.8986633084016658
LLM performance vs duration,llm,performance_rate,avg_duration_per_task,29,0.387183860210346,0.03798148785546941,0.1603679805111595,0.6815994882218893,0.6717576107118463,6.603707263556945e-05,0.40845035036742144,0.8279962746476559
LLM duration vs cost,llm,avg_duration_per_task,avg_cost_per_task,29,0.6983141601358263,2.5283257763240977e-05,0.41202930368522217,0.9083471098757957,0.6700332604093222,7.00532274516427e-05,0.29565835695370807,0.9278507040228847
Human performance vs ability,human,performance_rate,ability,509,0.878008278523606,2.3579424139168917e-164,0.8594746320807057,0.8957385464374599,0.8728245715068449,4.490107757367849e-160,0.8408657947496205,0.8982844450385966
Human performance vs duration,human,performance_rate,mean_duration_seconds,509,-0.2804522329975917,1.183364025793489e-10,-0.4719207237407825,-0.1360593808185121,-0.33840109583244476,4.205562711972723e-15,-0.42229210517220594,-0.25113285822938497
Human performance vs outfit,human,performance_rate,outfit,509,-0.45793358440703086,9.44250557502759e-28,-0.5526191261647104,-0.3559286968650397,-0.6911085333148147,1.6444333968228645e-73,-0.7481536322061296,-0.6277313320256236
Shared-task human vs LLM score,shared_arc2,human_solve_rate,llm_mean_score,115,0.4404783943149792,8.381197785979762e-07,0.26764807021619447,0.5814405774890654,0.42752762455697924,1.884159092910063e-06,0.25341294159626737,0.5839310833223099
Shared-task human vs LLM duration,shared_arc2,human_solve_rate,llm_mean_duration_seconds,115,-0.28371199123285035,0.0021218115052161436,-0.43031002235229066,-0.12305169981983376,-0.3316532905841195,0.0002937269740982061,-0.4812504286159448,-0.1559206346491761
Shared-task human vs LLM cost,shared_arc2,human_solve_rate,llm_mean_cost,115,-0.31083528268942173,0.0007220102370169201,-0.4600844183657496,-0.1472830211275695,-0.357343267288881,8.837368762581882e-05,-0.5054056828655439,-0.18560392938368958
Shared-task human vs TRM score,shared_arc2,human_solve_rate,trm_best_task_score,115,0.07123919732704484,0.44930658217820424,-0.10233769447260521,0.23226120728186359,0.054577597195002936,0.5623747601964393,-0.1269192865361917,0.23194798469851638
Shared-task human vs LLM duration,shared_arc2,human_mean_duration_seconds,llm_mean_duration_seconds,115,0.14856091257581044,0.11307076904517738,-0.08694508019165122,0.3603956661639652,0.11234908861358796,0.2319163358586756,-0.07254924902821135,0.29753309224810737
Shared-task submissions vs LLM attempts,shared_arc2,human_mean_submissions,llm_mean_attempts,115,-0.1676120981624485,0.07337469213049595,-0.31461944549881665,-0.013959303709286787,-0.1222267432212187,0.19315513437088003,-0.29806836276988097,0.05493434456917512
Shared-task LLM score vs duration,shared_arc2,llm_mean_score,llm_mean_duration_seconds,115,-0.4645230996357285,1.69951968900646e-07,-0.5755889458737156,-0.33139440235508477,-0.4251340803158556,2.180522482257471e-06,-0.5773516830044729,-0.2505535180788264
Shared-task LLM duration vs cost,shared_arc2,llm_mean_duration_seconds,llm_mean_cost,115,0.9384922716740365,5.220920415660177e-54,0.9176632849974323,0.9569787018348129,0.9419001025802889,2.294475113609515e-55,0.9068522790233488,0.9598813159169911
Public-eval human vs average model,human_public_eval_overlap,solve_rate,lm_mean,110,0.40186501155624416,1.351745160538612e-05,0.22283450188310694,0.5604215998157693,0.45415220483638874,6.248113152343325e-07,0.2695643335919119,0.6247169375773574
Public-eval human vs best single model,human_public_eval_overlap,solve_rate,lm_best_single_model,110,0.2762636892631834,0.0034839572142397715,0.09854533938763382,0.4529430168228797,0.2764117787817283,0.003465770562160291,0.0966648329924338,0.4457213389297615
TRM performance vs step,non_llm/trm,performance_rate,primary_effort,10,0.936960082449636,6.400327781458848e-05,0.8542788022626021,0.9854045175151306,0.9569542243281549,1.4258966972098169e-05,0.751742162626101,1.0
TRM performance vs oracle,non_llm/trm,performance_rate,oracle_rate,10,0.9929756254857286,1.0561927777567746e-08,0.9637715455766621,0.9982782209860157,0.984638103630949,2.391821993586014e-07,0.9114277709350155,1.0
