task_ID,task_set,n_pairs,human_solve_rate,human_mean_duration_seconds,human_mean_submissions,human_mean_pred_prob,human_outfit,human_difficulty,human_point_biserial,human_ability_gap,n_train_pairs,n_test_pairs,input_rows,input_cols,input_cells,input_colors,output_rows,output_cols,output_cells,output_colors,size_change_ratio,llm_model_count,llm_mean_score,llm_median_score,llm_score_std,llm_mean_cost,llm_mean_attempts,llm_mean_output_tokens,llm_mean_total_tokens,llm_mean_duration_seconds,llm_mean_empty_attempts,llm_effort_per_success_seconds,llm_effort_per_success_cost,llm_effort_per_success_tokens,trm_best_task_score,human_effort_per_success_seconds,human_effort_per_success_submissions,llm_human_duration_ratio
0934a4d8,Public Eval,1,0.4444444444444444,467.1472222222222,2.333333333333333,0.5578811214473587,0.6801046227315841,2.05273546793332,0.4095632343278796,1.2790082464265382,4.0,1.0,30.0,30.0,900.0,9.0,9.0,3.0,27.0,6.0,0.03,23,0.0,0.0,0.0,1.7307157826086954,2.0,93023.56521739131,762058.8947368421,1011.77691,0.0,,,,0.0,1051.08125,5.25,2.1658630553061435
135a2760,Public Eval,1,0.8888888888888888,152.031,2.2222222222222223,0.8650244931148509,0.3534180846564626,-0.4186061105255038,0.4502284709209707,1.66085478119279,2.0,1.0,29.0,29.0,841.0,6.0,29.0,29.0,841.0,6.0,1.0,23,0.21739130434782608,0.0,0.42174116783664994,1.2483844782608695,2.0,44636.17391304348,161582.52631578947,634.3672236086957,0.0,2918.0892286000003,5.7425686,743279.6210526315,1.0,171.03487500000003,2.5000000000000004,4.172617581997722
136b0064,Public Eval,1,0.5555555555555556,401.3408888888889,3.2222222222222223,0.5949289539191724,0.4241634068080466,0.7196260274123434,0.7381511839914375,2.2335433708018524,3.0,1.0,19.0,15.0,285.0,7.0,19.0,7.0,133.0,6.0,0.4666666666666667,23,0.391304347826087,0.0,0.49901087934784544,1.069357760869565,2.0,52897.86956521739,246952.57894736843,581.799393173913,0.0,1486.8206714444443,2.732803166666666,631101.0350877193,0.0,722.4136,5.8,1.4496389709621238
13e47133,Public Eval,2,0.7,784.6944166666667,1.9333333333333331,0.651652560716619,0.6486133656295501,0.03817880231000209,0.2078057692874143,1.0697846937461946,3.0,2.0,30.0,30.0,900.0,8.0,30.0,30.0,900.0,7.5,1.0,23,0.021739130434782608,0.0,0.10425720702853737,3.9994185217391305,4.0,130336.47826086957,463787.2631578947,2160.4738856086956,0.0,99381.798738,183.973252,21334214.10526316,0.0,1120.992023809524,2.761904761904762,2.7532678195752367
142ca369,Public Eval,2,0.7,176.4194,1.6,0.6859390419525998,0.5430343719449388,-0.12980813114903839,0.442818744463587,1.285185510518529,3.0,2.0,19.0,18.5,352.0,5.5,19.0,18.5,352.0,5.5,1.0,23,0.15217391304347827,0.0,0.27939799767843604,2.4127050869565214,3.8260869565217392,146251.65217391305,758189.1052631579,1896.8016589565218,0.0,12464.696616,15.85491914285714,4982385.54887218,0.0,252.0277142857143,2.285714285714286,10.751661432679864
16b78196,Public Eval,1,0.5555555555555556,501.66766666666666,1.4444444444444444,0.5924129337869719,0.4719586023965113,0.6742311716915704,0.6792507434200623,2.702762376903477,2.0,1.0,30.0,30.0,900.0,7.0,30.0,30.0,900.0,7.0,1.0,22,0.0,0.0,0.0,1.6044844545454544,2.0,87359.04545454546,729430.8888888889,918.7393643636365,0.0,,,,0.0,903.0018,2.5999999999999996,1.831370497660742
16de56c4,Public Eval,2,0.675,432.89644999999996,1.675,0.6790799104115046,0.8153369957895787,0.1403463125353502,0.2017377868464653,0.9205226702589696,3.0,2.0,9.0,21.0,189.0,8.0,9.0,21.0,189.0,7.5,1.0,23,0.2826086956521739,0.0,0.33118543818592505,1.8215000000000001,4.0,104645.08695652174,469972.6842105263,1136.9454223913044,0.0,4023.037648461539,6.4453076923076935,1662980.2672064777,0.0,641.3280740740739,2.4814814814814814,2.626368089623522
1818057f,Public Eval,1,1.0,190.1275555555556,1.3333333333333333,0.9399747017323064,0.0687722142335572,-1.069586780897564,,,3.0,1.0,22.0,22.0,484.0,2.0,22.0,22.0,484.0,3.0,1.0,23,0.6521739130434783,1.0,0.48698475355767396,0.6933846739130435,2.0,34935.434782608696,147571.31578947368,334.21172156521743,0.0,512.4579730666667,1.0631898333333334,226276.01754385963,1.0,190.1275555555556,1.3333333333333333,1.7578289511409628
195c6913,Public Eval,2,0.4666666666666667,184.6107777777778,2.344444444444444,0.4987449194519194,0.6765568489904116,0.8857084705460702,0.2033625061407441,1.4454627331406975,3.0,2.0,30.0,30.0,900.0,6.0,30.0,30.0,900.0,6.0,1.0,23,0.043478260869565216,0.0,0.1440520327600152,3.6348344347826087,4.0,179946.0,1175595.6842105263,1749.532232695652,0.0,40239.241352,83.601192,27038700.736842107,0.0,395.5945238095238,5.023809523809523,9.476869410092746
1ae2feb7,Public Eval,3,0.4166666666666667,162.79345833333335,1.2083333333333333,0.48964115242771283,0.3322383542831198,1.178057642377235,0.8304235367720171,2.5971161715967903,3.0,3.0,8.666666666666666,16.666666666666668,146.66666666666666,7.0,8.666666666666666,16.666666666666668,146.66666666666666,7.0,1.0,23,0.6811594202898551,1.0,0.43202904959340166,1.3925613260869567,6.0,101339.0,482977.63157894736,1003.0950408260869,0.0,1472.6288897234042,2.044398542553192,709052.267637178,0.0,390.7043,2.9,6.16176504323758
20270e3b,Public Eval,2,0.5208333333333333,277.67422222222217,2.2222222222222223,0.5615671476552913,0.39353294957490215,0.6853849385519702,0.8315464864221874,2.251523328135481,4.0,2.0,11.0,7.5,82.5,3.0,6.5,9.0,57.0,2.0,0.8090909090909091,23,0.21739130434782608,0.0,0.33118543818592505,2.3375895652173915,3.9130434782608696,117302.39130434782,562004.7368421053,1510.0244222608696,0.0,6946.112342400001,10.752912,2585221.7894736845,0.0,533.1345066666667,4.2666666666666675,5.438115249504147
20a9e565,Public Eval,2,0.6571428571428571,240.28327857142858,2.45,0.657579244549192,0.5297608341145379,0.05099703386966639,0.6265331548810377,2.219172616656429,3.0,2.0,29.5,29.5,870.5,4.0,5.0,19.0,89.0,2.5,0.10418945699564006,23,0.13043478260869565,0.0,0.27041177793185855,3.234228130434783,4.0,136189.0,867300.2631578947,1968.911937173913,0.0,15094.991518333332,24.795749000000004,6649302.01754386,0.0,365.6484673913044,3.7282608695652177,8.194127984601383
21897d95,Public Eval,2,0.4722222222222222,256.455,1.2638888888888888,0.5520881739671437,1.2929193341404903,0.9129372273950234,0.1379586102645978,0.7641402702047593,4.0,2.0,27.0,27.0,738.0,9.0,27.0,27.0,738.0,6.0,1.0,22,0.0,0.0,0.0,4.188074545454546,3.909090909090909,157190.04545454544,867524.0555555555,1869.1185808636365,0.0,,,,0.0,543.0811764705882,2.676470588235294,7.288290658648249
221dfab4,Public Eval,2,0.43181818181818177,297.84722727272725,1.5681818181818183,0.5159300590049096,0.5188988528588799,1.1889932866507362,0.3907123910421289,1.4444145572994422,2.0,2.0,27.5,27.5,762.5,3.0,27.5,27.5,762.5,4.0,1.0,23,0.021739130434782608,0.0,0.10425720702853739,3.1174731956521744,4.0,146795.65217391305,861763.2105263158,1691.741180826087,0.0,77820.094318,143.40376700000002,39641107.68421053,0.5,689.7514736842105,3.6315789473684217,5.679895684498096
247ef758,Public Eval,2,0.6,282.27070000000003,1.3,0.6560245542812191,0.47493290606506383,0.5709756615434881,0.8411507061817276,1.7591608262449645,3.0,2.0,13.5,19.0,258.0,8.5,13.5,19.0,258.0,8.5,1.0,23,0.34782608695652173,0.0,0.4110624429643388,1.9586787173913043,4.0,89787.21739130435,378176.3157894737,1225.235332130435,0.0,3522.5515798750007,5.6312013125,1087256.9078947369,0.0,470.4511666666667,2.166666666666667,4.340639436294432
269e22fb,Public Eval,2,0.282051282051282,536.6350213675214,0.49145299145299143,0.35909945358443973,0.6459805739294948,1.7020618342900178,0.22412859612367125,1.0764962688366881,5.0,2.0,10.5,10.0,105.0,2.0,20.0,20.0,400.0,2.0,3.818181818181818,23,0.0,0.0,0.0,3.3871087065217393,3.9130434782608696,140085.39130434784,1253691.105263158,1718.1968716086956,0.0,,,,0.5,1902.6150757575763,1.7424242424242427,3.201797876012953
271d71e2,Public Eval,1,0.375,273.27325,1.625,0.4744480146649322,0.7521353546901098,1.6016160170834892,-0.1033944615851144,1.0047217549066725,3.0,1.0,26.0,26.0,676.0,5.0,26.0,26.0,676.0,5.0,1.0,22,0.0,0.0,0.0,1.9651929545454543,2.0,77341.59090909091,436011.6111111111,1014.8269621363637,0.0,,,,0.0,728.7286666666668,4.333333333333333,3.7135978810087105
28a6681f,Public Eval,1,0.8,109.5041,1.7,0.7792091724332749,0.4361344683783427,-0.405251269165536,0.3731390626819438,1.6190548617540443,3.0,1.0,10.0,10.0,100.0,5.0,10.0,10.0,100.0,5.0,1.0,21,0.0,0.0,0.0,0.8682556428571429,2.0,29526.333333333332,36894.94117647059,866.1556336666667,0.0,,,,0.0,136.880125,2.125,7.90980094504833
291dc1e1,Public Eval,1,0.5,377.1548333333333,2.0,0.5782921169070928,0.7592092685020561,0.9499406622073128,0.192880516274682,0.9221724778276188,4.0,1.0,28.0,8.0,224.0,10.0,18.0,8.0,144.0,7.0,0.6428571428571429,23,0.30434782608695654,0.0,0.4704719688969647,1.0433868369565218,2.0,55346.913043478264,252295.47368421053,613.346008652174,0.0,2015.2797427142857,3.428271035714286,828970.8421052631,0.0,754.3096666666665,4.0,1.62624459358338
2b83f449,Public Eval,1,0.2222222222222222,431.8553333333333,2.555555555555556,0.3210673226881465,0.697521245732959,1.790107149033812,0.4558167644700849,1.592275368326351,2.0,1.0,19.0,17.0,323.0,4.0,19.0,17.0,323.0,4.0,1.0,22,0.0,0.0,0.0,1.5083916818181817,2.0,80150.36363636363,422265.5,898.5115430454546,0.0,,,,0.0,1943.349,11.500000000000002,2.080584570092426
2ba387bc,Public Eval,1,0.8888888888888888,137.60000000000002,0.8888888888888888,0.8562203533563114,0.1185814247449714,-0.57708351935047,0.9297955123479026,3.6924236401713126,4.0,1.0,24.0,19.0,456.0,7.0,16.0,8.0,128.0,7.0,0.2807017543859649,23,0.782608695652174,1.0,0.42174116783664994,0.2919824130434783,2.0,21931.608695652172,125828.8947368421,171.73228934782608,0.0,219.43570305555554,0.3730886388888889,160781.365497076,0.0,154.80000000000004,1.0,1.2480544283998987
2c181942,Public Eval,1,0.7777777777777778,308.9555555555555,2.4444444444444446,0.7836171095151864,0.5145611400694015,0.1159640054533368,0.5557072794817725,1.4218023083161135,3.0,1.0,24.0,26.0,624.0,6.0,24.0,26.0,624.0,5.0,1.0,23,0.17391304347826086,0.0,0.38755338788158983,1.465074152173913,2.0,78615.73913043478,546723.8947368421,849.7118475217391,0.0,4885.84312325,8.424176375,3143662.3947368423,0.0,397.2285714285714,3.1428571428571432,2.7502721095071756
