"Category"   ,"Model"                 ,"Rotation" ,"Estimator" ,"Convergence" ,"Validity"                                ,"ChiSq" ,"df" ,"pvalue" ,"CFI" ,"TLI" ,"NFI" ,"IFI" ,"RFI" ,"RMSEA" ,"RMSEA_Low" ,"RMSEA_High" ,"RMSEA_pclose" ,"SRMR" ,"AIC"  ,"BIC"  ,"aBIC"
"Bifactor"   ,"equamax_Bifactor_4F"   ,"equamax"  ,"MLM"       ,"Converged"   ,"Invalid (Heywood/Not Positive Definite)" ,  43.23 ,  32 ,  0.0888 ,0.996 ,0.991 ,0.986 ,0.996 ,0.966 ,  0.042 ,      0     ,       0.071 ,NA             , 0.016 ,4501.8 ,4697.3 ,NA
"Bifactor"   ,"equamax_Bifactor_3F"   ,"equamax"  ,"MLM"       ,"Converged"   ,"Valid"                                   ,  86.86 ,  36 ,  0      ,0.983 ,0.964 ,0.972 ,0.984 ,0.94  ,  0.083 ,      0.061 ,       0.106 ,NA             , 0.021 ,4537.5 ,4719.7 ,NA
"Bifactor"   ,"varimax_Bifactor_3F"   ,"varimax"  ,"MLM"       ,"Converged"   ,"Valid"                                   ,  86.74 ,  36 ,  0      ,0.983 ,0.964 ,0.972 ,0.984 ,0.94  ,  0.083 ,      0.061 ,       0.106 ,NA             , 0.02  ,4537.3 ,4719.6 ,NA
"Bifactor"   ,"varimax_Bifactor_4F"   ,"varimax"  ,"MLM"       ,"Converged"   ,"Valid"                                   ,  86.82 ,  34 ,  0      ,0.983 ,0.96  ,0.972 ,0.983 ,0.936 ,  0.087 ,      0.065 ,       0.11  ,NA             , 0.02  ,4541.4 ,4730.3 ,NA
"Orthogonal" ,"equamax_Orthogonal_4F" ,"equamax"  ,"ML"        ,"Converged"   ,"Valid"                                   ,  97.87 ,  39 ,  0      ,0.981 ,0.961 ,0.969 ,0.981 ,0.938 ,  0.086 ,      0.065 ,       0.108 ,NA             , 0.035 ,4542.5 ,4714.8 ,NA
"Orthogonal" ,"varimax_Orthogonal_4F" ,"varimax"  ,"ML"        ,"Converged"   ,"Valid"                                   , 130.97 ,  41 ,  0      ,0.971 ,0.944 ,0.958 ,0.971 ,0.921 ,  0.104 ,      0.084 ,       0.124 ,NA             , 0.028 ,4571.6 ,4737.2 ,NA
"Bifactor"   ,"equamax_Bifactor_2F"   ,"equamax"  ,"MLM"       ,"Converged"   ,"Valid"                                   , 207.38 ,  42 ,  0      ,0.946 ,0.9   ,0.934 ,0.947 ,0.877 ,  0.139 ,      0.121 ,       0.158 ,NA             , 0.032 ,4646   ,4808.3 ,NA
"Orthogonal" ,"equamax_Orthogonal_3F" ,"equamax"  ,"ML"        ,"Converged"   ,"Valid"                                   , 212.92 ,  46 ,  0      ,0.945 ,0.907 ,0.932 ,0.946 ,0.885 ,  0.134 ,      0.116 ,       0.152 ,NA             , 0.034 ,4643.5 ,4792.6 ,NA
"Bifactor"   ,"varimax_Bifactor_2F"   ,"varimax"  ,"MLM"       ,"Converged"   ,"Valid"                                   , 216.78 ,  43 ,  0      ,0.943 ,0.897 ,0.931 ,0.944 ,0.875 ,  0.141 ,      0.123 ,       0.16  ,NA             , 0.037 ,4653.4 ,4812.4 ,NA
"Orthogonal" ,"varimax_Orthogonal_3F" ,"varimax"  ,"ML"        ,"Converged"   ,"Valid"                                   , 236.65 ,  46 ,  0      ,0.938 ,0.894 ,0.925 ,0.938 ,0.872 ,  0.143 ,      0.125 ,       0.161 ,NA             , 0.034 ,4667.3 ,4816.4 ,NA
"Orthogonal" ,"equamax_Orthogonal_2F" ,"equamax"  ,"ML"        ,"Converged"   ,"Valid"                                   , 424.04 ,  54 ,  0      ,0.879 ,0.825 ,0.865 ,0.88  ,0.805 ,  0.184 ,      0.168 ,       0.2   ,NA             , 0.051 ,4838.6 ,4961.2 ,NA
"Orthogonal" ,"varimax_Orthogonal_2F" ,"varimax"  ,"ML"        ,"Converged"   ,"Valid"                                   , 427.13 ,  55 ,  0      ,0.878 ,0.827 ,0.864 ,0.879 ,0.807 ,  0.183 ,      0.167 ,       0.199 ,NA             , 0.051 ,4839.7 ,4959   ,NA
"Single_g"   ,"1F_General_g"          ,"-"        ,"ML"        ,"Converged"   ,"Valid"                                   , 796.85 ,  65 ,  0      ,0.761 ,0.713 ,0.746 ,0.762 ,0.695 ,  0.236 ,      0.221 ,       0.25  ,NA             , 0.076 ,5189.5 ,5275.6 ,NA
"Single_g"   ,"1F_General_g_MLM"      ,"-"        ,"MLM"       ,"Converged"   ,"Valid"                                   , 796.85 ,  65 ,  0      ,0.761 ,0.713 ,0.746 ,0.762 ,0.695 ,  0.236 ,      0.221 ,       0.25  ,NA             , 0.076 ,5189.5 ,5275.6 ,NA
