"benchmark","loading"
"GPQA Diamond (Scientific Reasoning)",0.916853068817395
"SciCode (Coding)",0.8981401975933
"LiveCodeBench (Coding)",0.882538668972651
"Terminal-Bench Hard (Agentic Coding & Terminal Use)",0.882308671176533
"AA-LCR (Long Context Reasoning)",0.873189537246995
"AA-Omniscience Accuracy (Knowledge)",0.857651731564845
"GDPval-AA ((ELO-500)/2000)",0.844806570675464
"Humanity's Last Exam (Reasoning & Knowledge)",0.834991759063525
"IFBench (Instruction Following)",0.833216906977558
"AIME 2025 (Competition Math)",0.832615746370271
"t2-Bench Telecom (Agentic Tool Use)",0.811319956112931
"CritPt (Physics Reasoning)",0.637398403552951
"AA-Omniscience Non-Hallucination Rate (1 - Hallucination Rate)",0.257592842121139
