"benchmark","g_loading","avg_correlation"
"GPQA Diamond (Scientific Reasoning)",0.916439960722522,0.700391706153702
"SciCode (Coding)",0.8931945659262,0.687684448698944
"LiveCodeBench (Coding)",0.874220730939019,0.669612591360913
"Terminal-Bench Hard (Agentic Coding & Terminal Use)",0.872173606354174,0.686236691944981
"AA-LCR (Long Context Reasoning)",0.86234236410994,0.67088565457734
"AA-Omniscience Accuracy (Knowledge)",0.843639949063368,0.653091021360709
"GDPval-AA ((ELO-500)/2000)",0.827959281389652,0.651478253761627
"Humanity's Last Exam (Reasoning & Knowledge)",0.815741071850234,0.640453494036322
"AIME 2025 (Competition Math)",0.815125746223942,0.626458600875914
"IFBench (Instruction Following)",0.814994961018,0.633060571034019
"t2-Bench Telecom (Agentic Tool Use)",0.789575967874402,0.617443099185213
"CritPt (Physics Reasoning)",0.60023883031884,0.476775990495513
"AA-Omniscience Non-Hallucination Rate (1 - Hallucination Rate)",0.233673126209849,0.191546969021535
