Model,Type,Raw_Accuracy,Theta,AI_IQ
gemini-3-deep-think-preview,Thinking,96.0,3.17,130
gemini-3-pro-preview,Thinking,85.5,1.773,119
gpt-5-pro-2025-10-06,Thinking,77.2,1.217,115
gpt-5-1-2025-11-13-thinking-high,Thinking,72.3,0.96,113
claude-sonnet-4-5-20250929-thinking-32k,Thinking,69.4,0.817,112
gpt-5-1-2025-11-13-thinking-medium,Thinking,65.3,0.633,110
claude-haiku-4-5-20251001-thinking-32k,Thinking,59.4,0.381,108
claude-sonnet-4-5-20250929-thinking-16k,Thinking,59.7,0.392,108
grok-4-fast-reasoning,Thinking,50.0,0.0,105
claude-sonnet-4-5-20250929-thinking-8k,Thinking,49.2,-0.032,105
claude-haiku-4-5-20251001-thinking-16k,Thinking,44.4,-0.227,104
gpt-5-1-2025-11-13-thinking-low,Thinking,37.4,-0.517,101
claude-haiku-4-5-20251001-thinking-8k,Thinking,36.3,-0.563,101
claude-sonnet-4-5-20250929,Standard,30.4,-0.829,99
claude-sonnet-4-5-20250929-thinking-1k,Thinking,31.7,-0.767,99
claude-haiku-4-5-20251001-thinking-1k,Thinking,23.1,-1.202,96
claude-haiku-4-5-20251001,Standard,23.4,-1.187,96
qwen3-235b-a22b-instruct-2507,Standard,16.1,-1.649,92
gpt-4-5-2025-02-27,Standard,13.7,-1.84,91
gpt-4-1-2025-04-14,Standard,9.9,-2.203,88
gpt-5-1-2025-11-13-thinking-none,Standard,9.7,-2.234,88
QwQ-32B-Fireworks,Standard,6.7,-2.63,85
gpt-4-1-mini-2025-04-14,Standard,5.1,-2.922,83
gpt-4-1-nano-2025-04-14,Standard,0.0,-6.907,52
