complexity_metric,llm_outcome,n,pearson_r,spearman_rho,abs_pearson_r,abs_spearman_rho
halstead_effort,abs_thinking_advantage,56,-0.4967134902301427,-0.46522605297574016,0.4967134902301427,0.46522605297574016
ast_node_count,abs_thinking_advantage,56,-0.4960938428510571,-0.4631744901961911,0.4960938428510571,0.4631744901961911
token_count,abs_thinking_advantage,56,-0.47948230406947223,-0.4274089124060526,0.47948230406947223,0.4274089124060526
halstead_volume,abs_thinking_advantage,56,-0.47721530278520496,-0.4226561253000973,0.47721530278520496,0.4226561253000973
log1p_ast_node_count,abs_thinking_advantage,56,-0.4548159454704153,-0.4631744901961911,0.4548159454704153,0.4631744901961911
branch_node_count,abs_thinking_advantage,56,-0.44430030035564516,-0.3878666935109253,0.44430030035564516,0.3878666935109253
cyclomatic_complexity,abs_thinking_advantage,56,-0.4410119162219589,-0.3964243130663732,0.4410119162219589,0.3964243130663732
nonblank_lines,abs_thinking_advantage,56,-0.43578383132866916,-0.38144419290665266,0.43578383132866916,0.38144419290665266
ast_node_count,abs_thinking_logit_advantage,56,-0.49574646425400326,-0.4680298554411239,0.49574646425400326,0.4680298554411239
halstead_effort,abs_thinking_logit_advantage,56,-0.489531970474551,-0.47500516889159067,0.489531970474551,0.47500516889159067
token_count,abs_thinking_logit_advantage,56,-0.48349605949196056,-0.4428640186786555,0.48349605949196056,0.4428640186786555
halstead_volume,abs_thinking_logit_advantage,56,-0.47886085825254304,-0.432093314086023,0.47886085825254304,0.432093314086023
log1p_ast_node_count,abs_thinking_logit_advantage,56,-0.4677555536221818,-0.4680298554411239,0.4677555536221818,0.4680298554411239
nonblank_lines,abs_thinking_logit_advantage,56,-0.44768002703696763,-0.4090761552402169,0.44768002703696763,0.4090761552402169
branch_node_count,abs_thinking_logit_advantage,56,-0.4423737794328038,-0.40864832321885464,0.4423737794328038,0.40864832321885464
cyclomatic_complexity,abs_thinking_logit_advantage,56,-0.43348292496375934,-0.41147991685983953,0.43348292496375934,0.41147991685983953
halstead_effort,binary_entropy_bits,56,-0.2912479200597469,-0.2570151051928151,0.2912479200597469,0.2570151051928151
ast_node_count,binary_entropy_bits,56,-0.27187273590844957,-0.2607129179365471,0.27187273590844957,0.2607129179365471
halstead_volume,binary_entropy_bits,56,-0.2637895268251351,-0.24431243363795807,0.2637895268251351,0.24431243363795807
