complexity_metric,llm_outcome,n,pearson_r,spearman_rho,abs_pearson_r,abs_spearman_rho
halstead_effort,abs_thinking_advantage,56,-0.4967134902301427,-0.46522605297574016,0.4967134902301427,0.46522605297574016
ast_node_count,abs_thinking_advantage,56,-0.4960938428510571,-0.4631744901961911,0.4960938428510571,0.4631744901961911
token_count,abs_thinking_advantage,56,-0.47948230406947223,-0.4274089124060526,0.47948230406947223,0.4274089124060526
halstead_volume,abs_thinking_advantage,56,-0.47721530278520496,-0.4226561253000973,0.47721530278520496,0.4226561253000973
log1p_ast_node_count,abs_thinking_advantage,56,-0.4548159454704153,-0.4631744901961911,0.4548159454704153,0.4631744901961911
branch_node_count,abs_thinking_advantage,56,-0.44430030035564516,-0.3878666935109253,0.44430030035564516,0.3878666935109253
cyclomatic_complexity,abs_thinking_advantage,56,-0.4410119162219589,-0.3964243130663732,0.4410119162219589,0.3964243130663732
nonblank_lines,abs_thinking_advantage,56,-0.43578383132866916,-0.38144419290665266,0.43578383132866916,0.38144419290665266
output_cells_total,abs_thinking_advantage,56,-0.4083794327238488,-0.3510185233208793,0.4083794327238488,0.3510185233208793
input_cells_total,abs_thinking_advantage,56,-0.37697541126891804,-0.3165338457680052,0.37697541126891804,0.3165338457680052
call_count_static,abs_thinking_advantage,56,-0.37668346054346935,-0.3598494657460048,0.37668346054346935,0.3598494657460048
max_nesting_depth,abs_thinking_advantage,56,-0.3761784831424964,-0.42078057430664584,0.3761784831424964,0.42078057430664584
gzip_bytes,abs_thinking_advantage,56,-0.375752980070344,-0.34094136776185197,0.375752980070344,0.34094136776185197
complexity_pc1_score,abs_thinking_advantage,56,-0.3601629294284267,-0.4044244979851591,0.3601629294284267,0.4044244979851591
log1p_cyclomatic_complexity,abs_thinking_advantage,56,-0.3356912048726369,-0.3964243130663732,0.3356912048726369,0.3964243130663732
log1p_elapsed_ms_per_test,abs_thinking_advantage,56,-0.26739198229015104,-0.29115095113100303,0.26739198229015104,0.29115095113100303
log1p_python_call_count_dynamic,abs_thinking_advantage,56,-0.25121637586368506,-0.23766379843415678,0.25121637586368506,0.23766379843415678
function_count,abs_thinking_advantage,56,-0.23884951220131742,-0.24145754859761823,0.23884951220131742,0.24145754859761823
