target,target_label,orientation,predictor,predictor_label,predictor_kind,n,aligned_corr,fit_r2,delta_vs_logit_corr,delta_ci_low,delta_ci_high,p_value_vs_logit
llm_complexity_pc1,LLM complexity PC1,hardness,logit_difficulty_all,Binary logit difficulty,full,56,0.6379066653005887,0.4069249136349173,,,,
llm_complexity_pc1,LLM complexity PC1,hardness,rasch_difficulty_all_models_pooled,Binary Rasch difficulty,full,55,0.5395551819452614,0.29111979436398416,-0.01752642309671637,-0.07084146793311161,0.0273186217233659,0.4603333333333333
llm_complexity_pc1,LLM complexity PC1,hardness,two_pl_difficulty_all_models,Binary 2PL difficulty,full,55,0.5194941386507396,0.26987416009247384,-0.03758746639123822,-0.09448099390273972,0.017296320514504963,0.19033333333333333
llm_complexity_pc1,LLM complexity PC1,hardness,exact_any_difficulty_logit,Exact-any logit difficulty,full,56,0.5917760110195637,0.35019884721822675,-0.04613065428102503,-0.11314558573688345,0.03775935092040528,0.317
llm_complexity_pc1,LLM complexity PC1,hardness,soft_composite_difficulty_logit,Soft-composite logit difficulty,full,56,0.5052942592668389,0.2553222884480234,-0.1326124060337498,-0.3535108032707395,0.010808538433739275,0.074
llm_complexity_pc1,LLM complexity PC1,hardness,gpcm_location,Partial-credit GPCM location,partial,55,0.40502058488326004,0.16404167417917806,-0.15206102015871775,-0.299009905579577,-0.023625952975689625,0.019
llm_complexity_pc1,LLM complexity PC1,hardness,graded_location,Partial-credit graded location,partial,55,0.4131705353450775,0.17070989127733796,-0.14391106969690026,-0.29054467089457786,-0.016498400371289364,0.024666666666666667
complexity_pc1_score,Code complexity PC1,hardness,logit_difficulty_all,Binary logit difficulty,full,56,0.6405723103729972,0.41033288481659946,,,,
complexity_pc1_score,Code complexity PC1,hardness,rasch_difficulty_all_models_pooled,Binary Rasch difficulty,full,55,0.5732579031787333,0.32862462355687794,-0.0009694858470226109,-0.05385658761109394,0.04514980504756304,0.9776666666666667
complexity_pc1_score,Code complexity PC1,hardness,two_pl_difficulty_all_models,Binary 2PL difficulty,full,55,0.5585964652866079,0.31203001103069256,-0.015630923739147984,-0.07229775273638048,0.039032200484813595,0.5816666666666667
complexity_pc1_score,Code complexity PC1,hardness,exact_any_difficulty_logit,Exact-any logit difficulty,full,56,0.5691087830084125,0.32388480689731636,-0.07146352736458472,-0.13484700238838418,0.018725220993633374,0.19466666666666665
complexity_pc1_score,Code complexity PC1,hardness,soft_composite_difficulty_logit,Soft-composite logit difficulty,full,56,0.5016195205058154,0.2516221433524841,-0.13895278986718185,-0.3120108050585424,0.008827750800345193,0.065
complexity_pc1_score,Code complexity PC1,hardness,gpcm_location,Partial-credit GPCM location,partial,55,0.4415775210689146,0.19499070711336774,-0.13264986795684125,-0.28031712648704726,-0.006044651806427398,0.04
complexity_pc1_score,Code complexity PC1,hardness,graded_location,Partial-credit graded location,partial,55,0.45015422395705806,0.2026388253463812,-0.12407316506869781,-0.27183788938000547,0.003242219199124563,0.058
cyclomatic_complexity,Cyclomatic complexity,hardness,logit_difficulty_all,Binary logit difficulty,full,56,0.6199804895329302,0.38437580740149174,,,,
cyclomatic_complexity,Cyclomatic complexity,hardness,rasch_difficulty_all_models_pooled,Binary Rasch difficulty,full,55,0.6284432443266262,0.39494091133977566,0.01447717113573177,-0.04613546824064331,0.0629527464322651,0.6103333333333333
cyclomatic_complexity,Cyclomatic complexity,hardness,two_pl_difficulty_all_models,Binary 2PL difficulty,full,55,0.6070529244878,0.36851325312919064,-0.006913148703094452,-0.07078560057568592,0.048409541465478226,0.8263333333333334
cyclomatic_complexity,Cyclomatic complexity,hardness,exact_any_difficulty_logit,Exact-any logit difficulty,full,56,0.45506570105948996,0.20708479228076507,-0.1649147884734402,-0.21415408759442636,0.012076399802217074,0.12433333333333334
cyclomatic_complexity,Cyclomatic complexity,hardness,soft_composite_difficulty_logit,Soft-composite logit difficulty,full,56,0.42604902085819873,0.18151776817422985,-0.19393146867473143,-0.30014102859000685,0.004417957461502503,0.057
cyclomatic_complexity,Cyclomatic complexity,hardness,gpcm_location,Partial-credit GPCM location,partial,55,0.4853140962605864,0.23552977202922973,-0.12865197693030805,-0.28881455876949375,0.015350634752856866,0.086
cyclomatic_complexity,Cyclomatic complexity,hardness,graded_location,Partial-credit graded location,partial,55,0.4908569862624562,0.24094058096266113,-0.12310908692843825,-0.2850308667873971,0.019642891862298638,0.09866666666666667
log1p_elapsed_ms_total,log1p runtime,hardness,logit_difficulty_all,Binary logit difficulty,full,56,0.4043245724799535,0.1634783599110972,,,,
log1p_elapsed_ms_total,log1p runtime,hardness,rasch_difficulty_all_models_pooled,Binary Rasch difficulty,full,55,0.2463313429656605,0.06067913052726586,-0.06040454197061296,-0.12987417712754945,0.002400904552546835,0.058333333333333334
log1p_elapsed_ms_total,log1p runtime,hardness,two_pl_difficulty_all_models,Binary 2PL difficulty,full,55,0.22696263347395265,0.05151203699343177,-0.07977325146232081,-0.15451730388378984,-0.004541844663894829,0.034666666666666665
log1p_elapsed_ms_total,log1p runtime,hardness,exact_any_difficulty_logit,Exact-any logit difficulty,full,56,0.41484238130503986,0.1720942013268361,0.01051780882508635,-0.07920796036648062,0.1081219171890863,0.9633333333333334
log1p_elapsed_ms_total,log1p runtime,hardness,soft_composite_difficulty_logit,Soft-composite logit difficulty,full,56,0.287444043791583,0.08262407831125748,-0.11688052868837051,-0.41926902338338196,0.053346812421949365,0.18266666666666667
log1p_elapsed_ms_total,log1p runtime,hardness,gpcm_location,Partial-credit GPCM location,partial,55,0.153065805669697,0.023429140865313444,-0.15367007926657647,-0.31940444402492596,0.004003227372337951,0.058666666666666666
log1p_elapsed_ms_total,log1p runtime,hardness,graded_location,Partial-credit graded location,partial,55,0.16168469163764498,0.026141939509960344,-0.14505119329862848,-0.31132936515085635,0.012291445994294698,0.07333333333333333
human_overlap_ease_pc1,Human overlap ease PC1,ease,logit_difficulty_all,Binary logit difficulty,full,17,0.5152685177176671,0.2655016453509618,,,,
human_overlap_ease_pc1,Human overlap ease PC1,ease,rasch_difficulty_all_models_pooled,Binary Rasch difficulty,full,17,0.49913472057337355,0.2491354692818597,-0.016133797144293582,-0.04539821693758574,0.01779867524780531,0.4103333333333333
