dataset_key,psychometric_dataset,task_id,latent_difficulty,solution_file,dataset_membership,variant_count,test_case_count_total,file_bytes,total_lines,nonblank_lines,comment_lines,token_count,ast_node_count,function_count,call_count_static,comprehension_count,branch_node_count,cyclomatic_complexity,max_nesting_depth,max_line_length,mean_line_length,gzip_bytes,halstead_distinct_operators,halstead_distinct_operands,halstead_total_operators,halstead_total_operands,halstead_vocabulary,halstead_length,halstead_volume,halstead_difficulty,halstead_effort,dynamic_status,test_case_count,input_cells_total,output_cells_total,elapsed_ns_total,elapsed_ms_total,elapsed_ms_per_test,opcode_count_dynamic,branch_opcode_count_dynamic,python_call_count_dynamic,peak_memory_bytes,current_memory_bytes,elapsed_ms_per_input_cell,opcode_per_input_cell,branch_opcode_per_input_cell,python_calls_per_input_cell
arc_agi_1_eval,ARC-V1,00576224,-6.45028502999322,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\00576224.py,arc_agi_1_eval|arc_agi_2_train,2,2,1370,37,30,5,142,141,1,6,0,0,1,0,108,36.027,523,12,15,60,48,27,108,513.52785,19.2,9859.734724,ok,2,8,72,17938300,17.9383,8.96915,67,0,2,12957,9380,2.2422875,8.375,0.0,0.25
arc_agi_1_eval,ARC-V1,009d5c81,-0.952403479063194,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\009d5c81.py,arc_agi_1_eval|arc_agi_2_train,2,2,2688,78,69,8,515,445,1,22,5,14,20,4,119,33.385,908,18,32,244,161,50,405,2285.761757,45.28125,103502.149553,ok,2,392,392,1669830700,1669.8307,834.91535,7683,1572,58,23671,16730,4.259772193877551,19.599489795918366,4.010204081632653,0.14795918367346939
arc_agi_1_eval,ARC-V1,00dbd492,-0.532746932208858,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\00dbd492.py,arc_agi_1_eval|arc_agi_2_train,2,2,3795,109,89,10,708,669,4,26,6,21,33,5,82,33.817,1244,27,57,316,231,84,547,3496.59763,54.710526,191300.696666,ok,2,800,800,10680169700,10680.1697,5340.08485,44300,8677,836,1004613,985300,13.350212125,55.375,10.84625,1.045
arc_agi_1_eval,ARC-V1,03560426,1.46017169826515,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\03560426.py,arc_agi_1_eval|arc_agi_2_train,2,2,3303,90,74,9,577,586,2,20,6,12,26,4,111,35.7,1245,25,51,265,198,76,463,2892.790439,48.529412,140385.41835,ok,2,200,200,2312116200,2312.1162,1156.0581,10585,2091,186,21907,15582,11.560580999999999,52.925,10.455,0.93
arc_agi_1_eval,ARC-V1,0b17323b,-2.39589187694347,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\0b17323b.py,arc_agi_1_eval|arc_agi_2_train,2,2,2334,64,53,6,327,329,1,9,1,8,11,3,97,35.469,895,23,33,145,109,56,254,1475.06815,37.984848,56030.24019,ok,2,450,450,786175700,786.1757,393.08785,2683,772,2,981799,975238,1.747057111111111,5.9622222222222225,1.7155555555555555,0.0044444444444444444
arc_agi_1_eval,ARC-V1,0bb8deee,-0.952403479063194,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\0bb8deee.py,arc_agi_1_eval|arc_agi_2_train,2,2,4115,96,81,11,628,610,2,27,7,15,26,3,165,41.865,1255,22,41,287,211,63,498,2976.685402,56.609756,168509.434581,ok,2,364,72,1946950700,1946.9507,973.47535,9006,1999,292,22445,16496,5.34876565934066,24.74175824175824,5.491758241758242,0.8021978021978022
arc_agi_1_eval,ARC-V1,0c786b71,-1.87305588525316,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\0c786b71.py,arc_agi_1_eval|arc_agi_2_train,2,2,1388,36,29,5,147,129,1,6,0,3,4,1,108,37.556,569,14,17,62,44,31,106,525.144809,18.117647,9514.388302,ok,2,24,96,33978400,33.9784,16.9892,135,21,2,12809,8914,1.4157666666666666,5.625,0.875,0.08333333333333333
arc_agi_1_eval,ARC-V1,0c9aba6e,-0.532746932208858,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\0c9aba6e.py,arc_agi_1_eval|arc_agi_2_train,2,2,1679,55,45,7,293,263,1,17,1,9,12,3,101,29.527,615,19,24,135,84,43,219,1188.351981,33.25,39512.703378,ok,2,104,48,258779400,258.7794,129.3897,1142,182,36,15913,11354,2.4882634615384616,10.98076923076923,1.75,0.34615384615384615
arc_agi_1_eval,ARC-V1,0f63c0b9,0.268045496684536,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\0f63c0b9.py,arc_agi_1_eval|arc_agi_2_train,2,2,3208,76,66,10,478,461,1,15,3,11,17,4,105,41.211,1110,24,33,220,156,57,376,2193.166645,56.727273,124412.362426,ok,2,450,450,809914400,809.9144,404.9572,3980,1058,10,983235,976490,1.7998097777777777,8.844444444444445,2.351111111111111,0.022222222222222223
arc_agi_1_eval,ARC-V1,12422b43,-2.39589187694347,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\12422b43.py,arc_agi_1_eval|arc_agi_2_train,2,2,1525,42,36,5,198,181,1,8,2,6,9,3,84,35.31,595,16,23,86,62,39,148,782.239528,21.565217,16869.165482,ok,2,140,140,184101700,184.1017,92.05085,627,126,38,16287,11430,1.3150121428571429,4.478571428571429,0.9,0.2714285714285714
