metric,n,r_human,r_human_ci95_low,r_human_ci95_high,r_llm,r_llm_ci95_low,r_llm_ci95_high,delta_llm_minus_human,delta_ci95_low,delta_ci95_high,delta_ci90_low,delta_ci90_high,p_value_diff,classification
log1p_elapsed_ms_total,17,-0.014518009564352612,-0.4576415489816338,0.5701400717882733,0.4767048975632534,0.12658528026509602,0.7721867164178415,0.491222907127606,-0.04648024623088835,0.8704534244082971,0.06296157275637589,0.8095255341065918,0.06866666666666667,Inconclusive
cyclomatic_complexity,17,0.15017735961627518,-0.3512635980147371,0.5942462163013639,0.5908291579590984,0.28830267354841604,0.7986262730965897,0.4406517983428232,0.012058633589808269,0.9062497118776889,0.07549307705438758,0.8237305948856436,0.042,LLM > Human
elapsed_ms_total,17,-0.30426830441555974,-0.5931856294357817,0.45915255106413067,0.12891910527091144,-0.053762257939070905,0.6439283335966777,0.4331874096864712,-0.16911102067934458,0.7659314557642527,0.24341743495618742,0.7143480150091183,0.07183333333333333,Inconclusive
peak_memory_bytes,17,-0.5704312501858834,-0.8178416775389625,-0.22848754008531774,-0.15900275723147686,-0.607442923168864,0.3529116318707565,0.41142849295440653,0.010609501857407125,0.8329225784347007,0.06876231780107478,0.7598515855505463,0.043166666666666666,LLM > Human
complexity_pc1_score,17,0.13540866647631442,-0.37722811900339487,0.6514510754581779,0.5353600578270644,0.24572776596060553,0.7832258768161174,0.39995139135075,-0.0950425652999993,0.88608521584761,-0.005038877146608235,0.8051076117346331,0.104,Inconclusive
token_count,17,0.20292659750166067,-0.2874493259228408,0.6346954368864068,0.5241551944654392,0.16023691567101359,0.7739970769050416,0.3212285969637786,-0.10362525712849399,0.79060071846326,-0.03961986781868009,0.7065898522960398,0.14433333333333334,Inconclusive
ast_node_count,17,0.23297270723687066,-0.26033561126423566,0.6483118593380041,0.5369686701064884,0.18343284344167846,0.7828084375533731,0.3039959628696177,-0.11395525043272524,0.7850008095492002,-0.05274858366410228,0.6953730913976874,0.16416666666666666,Inconclusive
gzip_bytes,17,0.0757385496507266,-0.3895206180840267,0.5204888507768005,0.34397987556274334,-0.032499195598571264,0.6674499212525937,0.26824132591201677,-0.10250471184588865,0.7087854621262634,-0.04235896705185961,0.6359713743014894,0.1565,Inconclusive
nonblank_lines,17,0.221276384431324,-0.2945236118932846,0.6176920702880266,0.47410960098791305,0.10507344735890624,0.7458862227654637,0.2528332165565891,-0.14653272302653655,0.7232941935899089,-0.08754297225863346,0.6416948020537881,0.22566666666666665,Inconclusive
function_count,17,0.37423187139659925,-0.37715298277591025,0.7633781039081446,0.20479611525679461,-0.46584177027586693,0.6964480062799465,-0.16943575613980463,-0.6098141394952195,0.39283172963966023,-0.5416058643911001,0.2805117739060626,0.5271666666666667,Inconclusive
