,nonblank_lines,token_count,ast_node_count,function_count,call_count_static,branch_node_count,cyclomatic_complexity,max_nesting_depth,gzip_bytes,halstead_volume,input_cells_total,output_cells_total,elapsed_ms_per_test,opcode_count_dynamic,branch_opcode_count_dynamic,python_call_count_dynamic,peak_memory_bytes,opcode_per_input_cell,elapsed_ms_per_input_cell
nonblank_lines,1.0,0.9870563777365966,0.9799646746575104,0.47317632165781603,0.8784270355493362,0.9278870728367317,0.9431612746242704,0.6199118223197039,0.9592737105517716,0.983165320380729,0.5374643918150954,0.2559008937580111,0.576804132185399,0.3361731451887838,0.3282831013050848,0.5965510485632006,0.48052550810223094,0.23657931996171092,0.2879975506755698
token_count,0.9870563777365966,1.0,0.997279218246027,0.47510033904330184,0.9026704467201488,0.933106650949899,0.9562828192379024,0.6406251863058975,0.9467721500588604,0.9984714853046504,0.5734879422783058,0.25718402856116834,0.6066903983248004,0.33896991948245364,0.33936209116370636,0.6218048094847192,0.4932525689963852,0.24863751868805356,0.30444112228815534
ast_node_count,0.9799646746575104,0.997279218246027,1.0,0.46501201302057604,0.8909261743605077,0.9180792239457983,0.9515940625075741,0.6287979258316497,0.9413997915833232,0.9977094687950152,0.5773032355774379,0.26862127484889764,0.6100069169936473,0.33465807245604784,0.33602998886610635,0.6186728359220258,0.4981455564784382,0.2471002677866229,0.3033054284037755
function_count,0.47317632165781603,0.47510033904330184,0.46501201302057604,1.0,0.5084075034305364,0.36434080494146637,0.3980409895995089,0.22677768150376004,0.5328528481472149,0.49111656397763914,0.21879047995651105,-0.007640530557664501,0.499836503621584,0.31235176126616315,0.27240962266303137,0.530920092973384,0.1851762114675809,0.3797442026057259,0.46767184987347366
call_count_static,0.8784270355493362,0.9026704467201488,0.8909261743605077,0.5084075034305364,1.0,0.7987204997833646,0.8143580322859932,0.45399540511901154,0.8404513794079259,0.903622124693373,0.3973700365840561,-0.018273387769562124,0.4673413216729465,0.266483870062956,0.2471333593651424,0.6503996885969444,0.34907712689012926,0.2176447927975074,0.2631402006308306
branch_node_count,0.9278870728367317,0.933106650949899,0.9180792239457983,0.36434080494146637,0.7987204997833646,1.0,0.9711409021853247,0.7979193147557007,0.8776739855704667,0.9234941718706762,0.6445555878949796,0.3139092681481136,0.6055544301352377,0.3642526927935973,0.394072314857527,0.5340140638256784,0.49107911649634606,0.2253548507705978,0.267475704139595
cyclomatic_complexity,0.9431612746242704,0.9562828192379024,0.9515940625075741,0.3980409895995089,0.8143580322859932,0.9711409021853247,1.0,0.7668157715307773,0.9078213497220585,0.9530621229477673,0.6511231239805566,0.31949960420153367,0.6472227165266923,0.3932505703963142,0.42312144549604114,0.5960750755503575,0.4994819868725851,0.26848510781810175,0.31206190047985294
max_nesting_depth,0.6199118223197039,0.6406251863058975,0.6287979258316497,0.22677768150376004,0.45399540511901154,0.7979193147557007,0.7668157715307773,1.0,0.614202022672594,0.6373165829589343,0.6471692106567926,0.41560975576641396,0.5363289033664282,0.2908909699976484,0.35677324031809327,0.3483371760680462,0.47125207476462155,0.1541255366298012,0.20132069889475152
gzip_bytes,0.9592737105517716,0.9467721500588604,0.9413997915833232,0.5328528481472149,0.8404513794079259,0.8776739855704667,0.9078213497220585,0.614202022672594,1.0,0.9528772019729039,0.544516437092195,0.19533882150649468,0.6228044158245106,0.38013039024220213,0.3635759342249718,0.5822983498069144,0.48298024012046503,0.28593067554041524,0.34756459048248844
halstead_volume,0.983165320380729,0.9984714853046504,0.9977094687950152,0.49111656397763914,0.903622124693373,0.9234941718706762,0.9530621229477673,0.6373165829589343,0.9528772019729039,1.0,0.5757403647275815,0.2471915720034509,0.6193471039856151,0.34563543589679485,0.3454401438992196,0.6291271356152413,0.4955745268114832,0.2598537971561815,0.31840514385081553
