,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
nonblank_lines,0.27820946060984636,-0.16947970662722134,-0.11141096179480861,-0.05120041316522495,0.09394761453245992,-0.0771262781789841,-0.018854009589391155,-0.23272219538390604,0.02109620366072515,0.08632630353385802,0.11231134219931789,0.14487500923897423,-0.40325067306955814,0.2809439046776479,0.6881564208354766,-0.17716862007898188,-0.06472565660597243,0.06333395513708019,-0.11560051958513042
token_count,0.28296382976030704,-0.16513602109052702,-0.10322512136292888,-0.04387976727785462,0.07657523527167966,-0.08057789761718004,0.007763923940003721,-0.096788850089811,-0.06802334908379602,-0.10125274661865345,-0.05923007042112558,-0.2100556067915796,-0.18676075551729748,-0.006954340702537326,-0.10296062783169878,-0.046246809420178586,0.09998174776884149,-0.3941742846867375,0.7633790737567563
ast_node_count,0.28158596064733815,-0.16421837893774974,-0.09524399672069289,-0.03532345824756063,0.09167050000354235,-0.10227944756314265,0.017968357952789497,-0.11312995309646125,-0.11895499497972875,-0.06457871785440694,-0.11169267181357262,-0.4545919149773858,-0.13259049470626125,-0.05454248011890281,-0.21433450443224158,0.05449439949319715,0.09241445909239385,0.7312564229961687,-0.03530577982166669
function_count,0.16487623058801484,0.07752253698803324,-0.2843974155058051,0.6805784903389756,-0.16811496493065986,0.4539931873034348,-0.36902095556847403,-0.13278742918664108,0.09695229322257769,-0.12152258640426018,0.08582155696867134,-0.04554553334712639,0.009464784074594041,-0.01794510047798765,-0.008904638957443985,-0.01789746098065049,0.0015343783872156132,0.01160978817821022,0.00032779504925126157
call_count_static,0.24686359545377456,-0.15742366500108743,-0.28512214522007795,0.013837324701934908,-0.007597011914357704,-0.24000072858341734,-0.0695396953145545,0.33519320919803935,0.11364830244346738,-0.43171696842207763,-0.4877336451106785,0.33881164961560095,0.2699731211033852,-0.03757390810749573,0.13966199547681493,0.069796674446044,-0.060467096989113685,0.05965137539481111,-0.008939511287522517
branch_node_count,0.27564448202520836,-0.15931804520004172,0.018200126865710944,-0.22881477969294317,-0.03969778786795537,0.14337729654031975,0.016483844968117688,-0.01317009990629015,0.03356745930750318,-0.30092809819813443,0.48843223394194774,0.4953519257582359,-0.1998868737135093,0.05028791541832719,-0.4412681363820138,0.0383152399972361,-0.028126556234496166,0.06943963315848292,-0.05887273835263904
cyclomatic_complexity,0.2841081076144416,-0.13985195207135204,-0.001066602807633702,-0.1825555853009579,0.002631321209090904,0.07981576724351226,0.014098414131734597,-0.012025656192824957,-0.0533316747984941,-0.03675746310054239,0.4655171865472932,-0.23613212282081034,0.6098594796960211,-0.2915074160135463,0.3190101640569185,0.10009049409003029,-0.11248949374430395,-0.0390745553193067,0.01200027638633655
max_nesting_depth,0.21378573571889925,-0.11128864333410501,0.23868470413556847,-0.2668967280223488,-0.16226646931942235,0.6757761607567931,0.1866412998817773,0.2655130280605222,0.2976578042730358,0.10341109603674267,-0.3095004249273479,-0.1124905046342046,-0.09833063005550058,0.020895448064199962,0.08494125989889174,-0.001482733371506446,0.010010794613955655,0.010530096615286977,0.009888312470538119
gzip_bytes,0.27633609162848766,-0.13106860751827515,-0.12356115215997455,0.011769384681506078,-0.054861864822038864,-0.039640661436948776,0.02261379428290526,-0.31818852081837046,0.04148524262071595,0.6779428736094374,-0.20196945329304863,0.3451919414823035,0.3049656417674459,-0.01801806473876279,-0.23169356374842584,-0.10621684967207376,-0.014274047837575628,0.04875227514043938,0.050666839631334226
halstead_volume,0.28390086065494274,-0.15825434544252448,-0.10898200548713034,-0.02444339146010953,0.05932477731063652,-0.08095372693300915,0.016398763041117988,-0.0933322123424073,-0.07897109706092391,-0.0308529174888442,-0.13278895751265277,-0.2933534814987726,-0.08424866460022336,0.009692724234738803,-0.2112567328468156,0.06740316708804658,0.12404310864233842,-0.5393543250619354,-0.6239365992390128
