profile,00576224,009d5c81,00dbd492,03560426,0b17323b,0bb8deee,0c786b71,0c9aba6e,0f63c0b9,12422b43,12997ef3,12eac192,13713586,140c817e,17b80ad2,17cae0c1,195ba7dc,1990f7a8,19bb5feb,1a2e2828,1a6449f1,1c02dbbe,1c0d0a4b,1d0a4b61,1d398264,1e81d6f9,2037f2c7,2072aba6,20981f0e,21f83797,22a4bbc2,32e9702f,50aad11f,97239e3d,981571dc,aa4ec2a5,c62e2108,fe9372f3
VARC ARC-1_Unet pass@1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1
VARC ARC-1_Unet pass@2,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1
VARC ARC-1_Unet pass@3,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1
VARC ARC-1_Unet pass@4,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1
VARC ARC-1_ViT pass@1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
VARC ARC-1_ViT pass@2,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0
VARC ARC-1_ViT pass@3,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0
VARC ARC-1_ViT pass@4,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0
CompressARC final_pick_pass@1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
CompressARC final_pick_pass@2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
CompressARC ranked_candidate_pass@2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
