profile,1818057f,291dc1e1,2ba387bc,38007db0,3e6067c3,45a5af55,4a21e3da,4c3d4a41,58490d8a,58f5dbd5,8f215267,981571dc,a251c730,aa4ec2a5,b0039139,b10624e5,db0c5428,db695cfb
TRM 72391 pass@1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRM 72391 pass@2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRM 144783 pass@1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRM 144783 pass@2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRM 217174 pass@1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRM 217174 pass@2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRM 289565 pass@1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TRM 289565 pass@2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TRM 361957 pass@1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TRM 361957 pass@2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TRM 434348 pass@1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TRM 434348 pass@2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TRM 506739 pass@1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TRM 506739 pass@2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TRM 579130 pass@1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TRM 579130 pass@2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TRM 651522 pass@1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TRM 651522 pass@2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TRM 723914 pass@1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TRM 723914 pass@2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VARC ARC-2_Unet pass@1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
VARC ARC-2_Unet pass@2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
VARC ARC-2_Unet pass@3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
VARC ARC-2_Unet pass@4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
VARC ARC-2_ViT pass@1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
VARC ARC-2_ViT pass@2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
VARC ARC-2_ViT pass@3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
VARC ARC-2_ViT pass@4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
