analysis,sample,outcome,outcome_label,candidate_metric,candidate_label,baseline_metric,n,baseline_corr,candidate_corr,candidate_spearman,delta_corr,delta_ci_low,delta_ci_high,p_value,q_value_bh,improves_raw_p_lt_0_05,improves_fdr_lt_0_05,worsens_raw_p_lt_0_05,worsens_fdr_lt_0_05
human_pair_level,all_public_eval_pairs,difficulty,Human pair difficulty,exact_any,Exact match (either stored attempt),lm_mean,161,0.2920525533981317,0.30345517359102353,0.32386676948237614,0.011402620192891844,-0.015599314211818344,0.04087720863724732,0.421,0.7741034482758621,False,False,False,False
human_pair_level,all_public_eval_pairs,difficulty,Human pair difficulty,component_size_iou,Component-size IoU,lm_mean,161,0.2920525533981317,0.2696258841077399,0.276342880147228,-0.022426669290391776,-0.16396330518565955,0.119063467967864,0.7475,0.8720833333333334,False,False,False,False
human_pair_level,all_public_eval_pairs,difficulty,Human pair difficulty,soft_composite,Soft composite mean,lm_mean,161,0.2920525533981317,0.2209526636534802,0.22422935357717969,-0.07109988974465148,-0.2491596002568464,0.1103527944600395,0.4225,0.7741034482758621,False,False,False,False
human_pair_level,all_public_eval_pairs,difficulty,Human pair difficulty,cell_accuracy_padded,Padded cell accuracy,lm_mean,161,0.2920525533981317,0.2072391029237446,0.19936752312485248,-0.0848134504743871,-0.2736377985906876,0.10382531440560312,0.35225,0.7741034482758621,False,False,False,False
human_pair_level,all_public_eval_pairs,difficulty,Human pair difficulty,color_iou,Color multiset IoU,lm_mean,161,0.2920525533981317,0.15653602357576457,0.17334656084656086,-0.13551652982236712,-0.32521619067447827,0.05972639069827333,0.1675,0.7741034482758621,False,False,False,False
human_pair_level,all_public_eval_pairs,difficulty,Human pair difficulty,adjacency_iou,Adjacency IoU,lm_mean,161,0.2920525533981317,0.1416045344215516,0.16624971244536463,-0.15044801897658008,-0.3389204886246828,0.0392288179397951,0.12225,0.7741034482758621,False,False,False,False
human_pair_level,all_public_eval_pairs,difficulty,Human pair difficulty,shape_iou,Shape IoU,lm_mean,161,0.2920525533981317,0.11050442829087394,0.03584400930811687,-0.18154812510725776,-0.38700161861408666,0.03923037086940301,0.105,0.7741034482758621,False,False,False,False
human_pair_level,all_public_eval_pairs,mean_duration_seconds,Mean human duration,component_size_iou,Component-size IoU,lm_mean,161,0.22059667271534347,0.3159196718624308,0.32813722107200377,0.09532299914708733,-0.04592929889668734,0.22612047367800076,0.1795,0.7741034482758621,False,False,False,False
human_pair_level,all_public_eval_pairs,mean_duration_seconds,Mean human duration,cell_accuracy_padded,Padded cell accuracy,lm_mean,161,0.22059667271534347,0.26035773259425976,0.3137295216022791,0.03976105987891629,-0.12852382869179138,0.20761940168353504,0.64625,0.8327999999999999,False,False,False,False
human_pair_level,all_public_eval_pairs,mean_duration_seconds,Mean human duration,soft_composite,Soft composite mean,lm_mean,161,0.22059667271534347,0.2548002463663382,0.3066741430871866,0.03420357365099472,-0.1364650964725103,0.19661400433291457,0.694,0.8327999999999999,False,False,False,False
