task_pair_id,task_ID,task_set,test_index,attempts,solve_count,solve_rate,mean_duration_seconds,median_duration_seconds,mean_submissions,median_submissions,mean_pred_prob,outfit,difficulty,point_biserial,ability_gap,n_train_pairs,n_test_pairs,input_rows,input_cols,input_cells,input_colors,output_rows,output_cols,output_cells,output_colors,size_change_ratio,difficulty_rank,lm_mean,lm_best_across_models,lm_best_single_model,gap_vs_lm_mean,gap_vs_best_single_model,gap_vs_oracle,task_id,dataset_key,pair_index,num_models_all,num_models_thinking,num_models_standard,exact_current_mean_all,exact_current_mean_thinking,exact_current_mean_standard,exact_current_gap_thinking,exact_any_mean_all,exact_any_mean_thinking,exact_any_mean_standard,exact_any_gap_thinking,cell_accuracy_padded_mean_all,cell_accuracy_padded_mean_thinking,cell_accuracy_padded_mean_standard,cell_accuracy_padded_gap_thinking,shape_iou_mean_all,shape_iou_mean_thinking,shape_iou_mean_standard,shape_iou_gap_thinking,color_iou_mean_all,color_iou_mean_thinking,color_iou_mean_standard,color_iou_gap_thinking,component_size_iou_mean_all,component_size_iou_mean_thinking,component_size_iou_mean_standard,component_size_iou_gap_thinking,adjacency_iou_mean_all,adjacency_iou_mean_thinking,adjacency_iou_mean_standard,adjacency_iou_gap_thinking,soft_composite_mean_all,soft_composite_mean_thinking,soft_composite_mean_standard,soft_composite_gap_thinking
78332cb0__0,78332cb0,Public Eval,0,3,3,1.0,279.839,273.138,1.0,1.0,0.9083058150240078,0.1042490430000106,-0.538991992118781,,,3.0,2.0,11.0,11.0,121.0,3.0,5.0,23.0,115.0,3.0,0.950413223140496,335.0,0.0,0,0,1.0,1.0,1.0,78332cb0,arc_agi_2_eval,0,39,28,11,0.0,0.0,0.0,0.0,0.02564102564102564,0.03571428571428571,0.0,0.03571428571428571,0.6503016980054676,0.6666216581150418,0.6087599813629149,0.057861676752126945,0.16189695281647756,0.16630411765838257,0.15067871503708297,0.015625402621299606,0.9585947649188756,1.0,0.8531996210760134,0.14680037892398656,0.9313585780691043,1.0,0.7566349586086428,0.24336504139135717,0.6476897170955878,0.6680327868852457,0.5959073576310039,0.07212542925424181,0.6699683421811025,0.700191712531734,0.5930361267431316,0.1071555857886024
89565ca0__0,89565ca0,Public Eval,0,3,3,1.0,387.3126666666667,419.854,1.0,1.0,0.8135410239032206,0.2464131608050999,-1.1077803691149617,,,3.0,1.0,29.0,30.0,870.0,7.0,5.0,6.0,30.0,6.0,0.0344827586206896,452.0,0.0,0,0,1.0,1.0,1.0,89565ca0,arc_agi_2_eval,0,39,28,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2863247863247863,0.2869047619047619,0.2848484848484849,0.0020562770562769783,0.6616161616161618,0.6726190476190477,0.6336088154269972,0.039010232192050465,0.5701980993590288,0.591324763043047,0.5164211372542543,0.07490362578879273,0.09935897435897437,0.10757575757575757,0.07844352617079889,0.029132231404958686,0.38792385784756594,0.4002444405860334,0.35656237451328515,0.04368206607274827,0.4010843759013034,0.4117337541457295,0.37397686764276405,0.03775688650296544
6e4f6532__0,6e4f6532,Public Eval,0,3,3,1.0,560.753,397.125,1.3333333333333333,1.0,0.8722901736320227,0.1542680198397055,-0.7556087880578228,,,2.0,2.0,30.0,28.0,840.0,7.0,30.0,28.0,840.0,7.0,1.0,371.0,0.0,0,0,1.0,1.0,1.0,6e4f6532,arc_agi_2_eval,0,39,28,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8724358974358974,0.8746598639455782,0.8667748917748918,0.0078849721706864,0.973137973137973,0.984013605442177,0.9454545454545454,0.03855905998763154,0.9349678470154561,0.9486642703458837,0.9001042239925493,0.04856004635333444,0.38042449117078375,0.4178998072226964,0.28503277758409723,0.13286702963859914,0.8949896610370197,0.9073999752320844,0.863399770358673,0.044000204873411386,0.8111911739594261,0.8265275044376839,0.7721532418329514,0.05437426260473244
13e47133__0,13e47133,Public Eval,0,3,3,1.0,1214.0273333333334,1053.037,2.6666666666666665,2.0,0.8579592664082237,0.1823698896081275,-0.8411225905438784,,,3.0,2.0,30.0,30.0,900.0,7.0,30.0,30.0,900.0,7.0,1.0,389.0,0.0,0,0,1.0,1.0,1.0,13e47133,arc_agi_2_eval,0,39,28,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5345342224979321,0.5538428059395801,0.485385101010101,0.06845770492947911,0.9846705266060106,0.9988479262672811,0.9485826001955033,0.050265326071777805,0.5850886051887648,0.5965034070641376,0.5560327458696339,0.04047066119450371,0.11198491490736186,0.12599487785954663,0.07632319102907338,0.04967168683047325,0.4748958578848621,0.48788004680328656,0.4418451951834179,0.046034851619868644,0.5382348254169863,0.5526138127867665,0.501633766657546,0.05098004612922047
5dbc8537__0,5dbc8537,Public Eval,0,2,2,1.0,253.1875,253.1875,1.5,1.5,0.8488709331670423,0.1938956385774231,-0.5934705043888137,,,2.0,2.0,25.0,25.0,625.0,10.0,10.0,25.0,250.0,9.0,0.4,345.0,0.0512820512820512,1,1,0.9487179487179488,0.0,0.0,5dbc8537,arc_agi_2_eval,0,39,28,11,0.05128205128205128,0.03571428571428571,0.09090909090909091,-0.0551948051948052,0.07692307692307693,0.07142857142857142,0.09090909090909091,-0.019480519480519487,0.34503071287686665,0.3887417582417583,0.2337662337662338,0.15497552447552448,0.8674539136077596,0.8907223728652299,0.8082251082251083,0.08249726464012164,0.5275140521320102,0.5732869370665037,0.4110012541169358,0.1622856829495679,0.5596678619734321,0.6006648250706225,0.45531195590785606,0.1453528691627664,0.4087000981157823,0.449455070563692,0.3049601682483761,0.14449490231531592,0.54167332774117,0.5805741927615612,0.442652944052902,0.13792124870865918
898e7135__0,898e7135,Public Eval,0,3,3,1.0,323.949,318.061,1.0,1.0,0.8740141640831145,0.153338607267361,-0.7449129696882187,,,2.0,1.0,30.0,30.0,900.0,8.0,30.0,30.0,900.0,6.0,1.0,369.0,0.0769230769230769,1,1,0.9230769230769232,0.0,0.0,898e7135,arc_agi_2_eval,0,39,28,11,0.07692307692307693,0.10714285714285714,0.0,0.10714285714285714,0.1794871794871795,0.17857142857142858,0.18181818181818182,-0.003246753246753248,0.4363048146317554,0.4632966350496838,0.36759836265884654,0.09569827239083728,0.7039353135795261,0.6669508636788049,0.7980775496904529,-0.131126686011648,0.5460334772472378,0.5844291833791516,0.44829895254782137,0.13613023083133025,0.3128193654467191,0.29975857475857476,0.3460650144710866,-0.04630643971251186,0.5288756084260334,0.5678742872331203,0.42960624418981214,0.13826804304330814,0.5055937158662545,0.5164619088198671,0.47792922471160393,0.03853268410826316
80a900e0__0,80a900e0,Public Eval,0,3,3,1.0,163.35333333333332,183.505,2.0,2.0,0.8394330951132666,0.1940178011723098,-0.9526549778902228,,,2.0,1.0,22.0,21.0,462.0,8.0,22.0,21.0,462.0,8.0,1.0,418.0,0.0769230769230769,1,1,0.9230769230769232,0.0,0.0,80a900e0,arc_agi_2_eval,0,39,28,11,0.07692307692307693,0.03571428571428571,0.18181818181818182,-0.14610389610389612,0.1282051282051282,0.10714285714285714,0.18181818181818182,-0.07467532467532469,0.887057387057387,0.9060760667903525,0.8386462022825658,0.06742986450778665,0.981074481074481,1.0,0.932900432900433,0.06709956709956699,0.8882333849303075,0.9008671645709344,0.8560746731178029,0.04479249145313147,0.8857412655772413,0.8990189491488357,0.8519435255768194,0.04707542357201633,0.8093219270010312,0.8179386419828195,0.7873884706837512,0.03055017129906834,0.8902856891280897,0.9047801644985883,0.8533906609122746,0.05138950358631378
67e490f4__0,67e490f4,Public Eval,0,4,4,1.0,259.55975,245.51,1.0,1.0,0.8897809563123572,0.1293879904974211,-0.8708970900759786,,,2.0,1.0,30.0,30.0,900.0,8.0,7.0,30.0,210.0,6.0,0.2333333333333333,397.0,0.0769230769230769,1,1,0.9230769230769232,0.0,0.0,67e490f4,arc_agi_2_eval,0,39,28,11,0.07692307692307693,0.10714285714285714,0.0,0.10714285714285714,0.07692307692307693,0.10714285714285714,0.0,0.10714285714285714,0.6244965230532633,0.6445513216941788,0.5734479446945694,0.07110337699960945,0.7245192206584359,0.7720336195800199,0.6035734779489489,0.16846014163107104,0.6153247122170613,0.6753264210154785,0.4625930898210902,0.21273333119438825,0.3257032885044783,0.361557083030061,0.23443908425754084,0.12711799877252017,0.50365716918368,0.5666016144652374,0.3434349448306248,0.22316666963461257,0.5587401827233837,0.6040140119569951,0.44349770831055485,0.16051630364644026
e376de54__0,e376de54,Public Eval,0,3,3,1.0,134.98466666666664,76.825,1.6666666666666667,1.0,0.8494249698208248,0.1886478670099002,-0.8926108917831609,,,3.0,1.0,16.0,16.0,256.0,3.0,16.0,16.0,256.0,3.0,1.0,404.0,0.0769230769230769,1,1,0.9230769230769232,0.0,0.0,e376de54,arc_agi_2_eval,0,39,28,11,0.07692307692307693,0.07142857142857142,0.09090909090909091,-0.019480519480519487,0.2564102564102564,0.32142857142857145,0.09090909090909091,0.23051948051948054,0.9854767628205128,0.9871651785714286,0.9811789772727273,0.00598620129870131,1.0,1.0,1.0,0.0,0.9827072166743118,0.9838903977128294,0.9796954831217214,0.00419491459110799,0.8351686528297293,0.8613053875061264,0.7686387827443546,0.0926666047617718,0.966341388859243,0.9693099562380791,0.958785035531297,0.010524920706782126,0.9539388042367596,0.9603341840056928,0.9376596557340201,0.02267452827167271
cb2d8a2c__0,cb2d8a2c,Public Eval,0,4,4,1.0,377.603,241.056,1.75,1.5,0.8658364712920947,0.16098582967128,-1.0623075635993726,,,4.0,2.0,14.0,26.0,364.0,4.0,14.0,26.0,364.0,3.0,1.0,442.0,0.0769230769230769,1,0,0.9230769230769232,1.0,0.0,cb2d8a2c,arc_agi_2_eval,0,39,28,11,0.07692307692307693,0.03571428571428571,0.18181818181818182,-0.14610389610389612,0.1282051282051282,0.10714285714285714,0.18181818181818182,-0.07467532467532469,0.855527378604302,0.8506671899529042,0.8678987678987679,-0.017231577945863608,0.9982905982905984,1.0,0.993939393939394,0.006060606060605989,0.9099695889423227,0.9305873929179327,0.8574879060953152,0.07309948682261747,0.3275147573224496,0.3163086417550703,0.3560394151303243,-0.03973077337525399,0.8417011029521041,0.860687524158212,0.793372030791102,0.06731549336711007,0.7866006852223553,0.7916501497568238,0.7737475027709806,0.017902646985843207
