step,solved_count_all,solved_fraction_all,solved_count_eventual,solved_fraction_eventual
0,0,0.0,0,0.0
1,0,0.0,0,0.0
2,1,0.0025,1,0.006666666666666667
3,1,0.0025,1,0.006666666666666667
4,1,0.0025,1,0.006666666666666667
5,1,0.0025,1,0.006666666666666667
6,1,0.0025,1,0.006666666666666667
7,2,0.005,2,0.013333333333333334
8,2,0.005,2,0.013333333333333334
9,2,0.005,2,0.013333333333333334
10,2,0.005,2,0.013333333333333334
11,2,0.005,2,0.013333333333333334
12,2,0.005,2,0.013333333333333334
13,2,0.005,2,0.013333333333333334
14,2,0.005,2,0.013333333333333334
15,2,0.005,2,0.013333333333333334
16,2,0.005,2,0.013333333333333334
17,2,0.005,2,0.013333333333333334
18,2,0.005,2,0.013333333333333334
19,2,0.005,2,0.013333333333333334
20,2,0.005,2,0.013333333333333334
21,2,0.005,2,0.013333333333333334
22,2,0.005,2,0.013333333333333334
23,2,0.005,2,0.013333333333333334
24,2,0.005,2,0.013333333333333334
25,2,0.005,2,0.013333333333333334
26,2,0.005,2,0.013333333333333334
27,3,0.0075,3,0.02
28,3,0.0075,3,0.02
29,3,0.0075,3,0.02
30,3,0.0075,3,0.02
31,3,0.0075,3,0.02
32,3,0.0075,3,0.02
33,3,0.0075,3,0.02
34,3,0.0075,3,0.02
35,3,0.0075,3,0.02
36,3,0.0075,3,0.02
37,3,0.0075,3,0.02
38,3,0.0075,3,0.02
39,3,0.0075,3,0.02
40,3,0.0075,3,0.02
41,3,0.0075,3,0.02
42,3,0.0075,3,0.02
43,3,0.0075,3,0.02
44,3,0.0075,3,0.02
45,3,0.0075,3,0.02
46,3,0.0075,3,0.02
47,3,0.0075,3,0.02
48,3,0.0075,3,0.02
49,3,0.0075,3,0.02
50,3,0.0075,3,0.02
51,3,0.0075,3,0.02
52,3,0.0075,3,0.02
53,3,0.0075,3,0.02
54,3,0.0075,3,0.02
55,3,0.0075,3,0.02
56,3,0.0075,3,0.02
57,4,0.01,4,0.02666666666666667
58,4,0.01,4,0.02666666666666667
59,5,0.0125,5,0.03333333333333333
60,5,0.0125,5,0.03333333333333333
61,5,0.0125,5,0.03333333333333333
62,5,0.0125,5,0.03333333333333333
63,5,0.0125,5,0.03333333333333333
64,5,0.0125,5,0.03333333333333333
65,5,0.0125,5,0.03333333333333333
66,5,0.0125,5,0.03333333333333333
67,5,0.0125,5,0.03333333333333333
68,5,0.0125,5,0.03333333333333333
69,5,0.0125,5,0.03333333333333333
70,5,0.0125,5,0.03333333333333333
71,5,0.0125,5,0.03333333333333333
72,5,0.0125,5,0.03333333333333333
73,5,0.0125,5,0.03333333333333333
74,5,0.0125,5,0.03333333333333333
75,5,0.0125,5,0.03333333333333333
76,5,0.0125,5,0.03333333333333333
77,5,0.0125,5,0.03333333333333333
78,5,0.0125,5,0.03333333333333333
79,6,0.015,6,0.04
80,6,0.015,6,0.04
81,6,0.015,6,0.04
82,6,0.015,6,0.04
83,6,0.015,6,0.04
84,6,0.015,6,0.04
85,7,0.0175,7,0.04666666666666667
86,7,0.0175,7,0.04666666666666667
87,7,0.0175,7,0.04666666666666667
88,7,0.0175,7,0.04666666666666667
89,7,0.0175,7,0.04666666666666667
90,7,0.0175,7,0.04666666666666667
91,7,0.0175,7,0.04666666666666667
92,7,0.0175,7,0.04666666666666667
93,7,0.0175,7,0.04666666666666667
94,7,0.0175,7,0.04666666666666667
95,7,0.0175,7,0.04666666666666667
96,7,0.0175,7,0.04666666666666667
97,7,0.0175,7,0.04666666666666667
98,7,0.0175,7,0.04666666666666667
99,7,0.0175,7,0.04666666666666667
100,7,0.0175,7,0.04666666666666667
101,7,0.0175,7,0.04666666666666667
102,7,0.0175,7,0.04666666666666667
103,7,0.0175,7,0.04666666666666667
104,7,0.0175,7,0.04666666666666667
105,7,0.0175,7,0.04666666666666667
106,7,0.0175,7,0.04666666666666667
107,7,0.0175,7,0.04666666666666667
108,8,0.02,8,0.05333333333333334
109,8,0.02,8,0.05333333333333334
110,8,0.02,8,0.05333333333333334
111,8,0.02,8,0.05333333333333334
112,8,0.02,8,0.05333333333333334
113,8,0.02,8,0.05333333333333334
114,8,0.02,8,0.05333333333333334
115,8,0.02,8,0.05333333333333334
116,8,0.02,8,0.05333333333333334
117,9,0.0225,9,0.06
118,9,0.0225,9,0.06
119,9,0.0225,9,0.06
120,9,0.0225,9,0.06
121,9,0.0225,9,0.06
122,10,0.025,10,0.06666666666666667
123,10,0.025,10,0.06666666666666667
124,10,0.025,10,0.06666666666666667
125,10,0.025,10,0.06666666666666667
126,10,0.025,10,0.06666666666666667
127,10,0.025,10,0.06666666666666667
128,11,0.0275,11,0.07333333333333333
129,11,0.0275,11,0.07333333333333333
130,11,0.0275,11,0.07333333333333333
131,11,0.0275,11,0.07333333333333333
132,11,0.0275,11,0.07333333333333333
133,11,0.0275,11,0.07333333333333333
134,14,0.035,14,0.09333333333333334
135,14,0.035,14,0.09333333333333334
136,15,0.0375,15,0.1
137,16,0.04,16,0.10666666666666667
138,16,0.04,16,0.10666666666666667
139,17,0.0425,17,0.11333333333333333
140,17,0.0425,17,0.11333333333333333
141,18,0.045,18,0.12
142,18,0.045,18,0.12
143,18,0.045,18,0.12
144,19,0.0475,19,0.12666666666666668
145,19,0.0475,19,0.12666666666666668
146,20,0.05,20,0.13333333333333333
147,20,0.05,20,0.13333333333333333
148,20,0.05,20,0.13333333333333333
149,20,0.05,20,0.13333333333333333
150,35,0.0875,35,0.23333333333333334
151,36,0.09,36,0.24
152,36,0.09,36,0.24
153,37,0.0925,37,0.24666666666666667
154,38,0.095,38,0.25333333333333335
155,40,0.1,40,0.26666666666666666
156,43,0.1075,43,0.2866666666666667
157,45,0.1125,45,0.3
158,45,0.1125,45,0.3
159,47,0.1175,47,0.31333333333333335
