task_index,task_id,first_hit_step,solved_by_end,difficulty_score,oracle_k
0,007bbfb7,2000,False,1.0,2
1,00d62c1b,2000,False,1.0,2
2,017c7c7b,2000,False,1.0,2
3,025d127b,174,True,0.08704352176088044,2
4,045e512c,2000,False,1.0,2
5,0520fde7,2000,False,1.0,2
6,05269061,117,True,0.058529264632316155,2
7,05f2a901,2000,False,1.0,2
8,06df4c85,449,True,0.22461230615307654,2
9,08ed6ac7,1416,True,0.7083541770885443,2
10,09629e4f,2000,False,1.0,2
11,0962bcdd,188,True,0.09404702351175588,2
12,0a938d79,2000,False,1.0,2
13,0b148d64,59,True,0.029514757378689346,2
14,0ca9ddb6,502,True,0.2511255627813907,2
15,0d3d703e,2000,False,1.0,2
16,0dfd9992,150,True,0.0750375187593797,2
17,0e206a2e,2000,False,1.0,2
18,10fcaaa3,2000,False,1.0,2
19,11852cab,2000,False,1.0,2
20,1190e5a7,2000,False,1.0,2
21,137eaa0f,2000,False,1.0,2
22,150deff5,2000,False,1.0,2
23,178fcbfb,2000,False,1.0,2
24,1a07d186,2000,False,1.0,2
25,1b2d62fb,2000,False,1.0,2
26,1b60fb0c,2000,False,1.0,2
27,1bfc4729,203,True,0.10155077538769385,2
28,1c786137,249,True,0.12456228114057029,2
29,1caeab9d,2000,False,1.0,2
30,1cf80156,2000,False,1.0,2
31,1e0a9b12,2000,False,1.0,2
32,1e32b0e9,2000,False,1.0,2
33,1f0c79e5,2000,False,1.0,2
34,1f642eb9,377,True,0.18859429714857429,2
35,1f85a75f,2000,False,1.0,2
36,1f876c06,316,True,0.15807903951975988,2
37,1fad071e,2000,False,1.0,2
38,2013d3e2,2000,False,1.0,2
39,2204b7a8,750,True,0.3751875937968984,2
40,22168020,205,True,0.1025512756378189,2
41,22233c11,2000,False,1.0,2
42,2281f1f4,254,True,0.12706353176588295,2
43,228f6490,1243,True,0.6218109054527263,2
44,22eb0ac0,228,True,0.11405702851425713,2
45,234bbc79,2000,False,1.0,2
46,23581191,172,True,0.08604302151075538,2
47,239be575,150,True,0.0750375187593797,2
48,23b5c85d,2000,False,1.0,2
49,253bf280,2000,False,1.0,2
50,25d487eb,189,True,0.0945472736368184,2
51,25d8a9c8,186,True,0.09304652326163082,2
52,25ff71a9,180,True,0.09004502251125562,2
53,264363fd,2000,False,1.0,2
54,272f95fa,1969,True,0.984992496248124,2
55,27a28665,2000,False,1.0,2
56,28bf18c6,2000,False,1.0,2
57,28e73c20,2000,False,1.0,2
58,29623171,2000,False,1.0,2
59,29c11459,2000,False,1.0,2
60,29ec7d0e,274,True,0.13706853426713356,2
61,2bcee788,2000,False,1.0,2
62,2bee17df,2000,False,1.0,2
63,2c608aff,1334,True,0.6673336668334167,2
64,2dc579da,2000,False,1.0,2
65,2dd70a9a,2000,False,1.0,2
66,2dee498d,2000,False,1.0,2
67,31aa019c,2000,False,1.0,2
68,321b1fc6,2000,False,1.0,2
69,32597951,173,True,0.0865432716358179,2
70,3345333e,2000,False,1.0,2
71,3428a4f5,2000,False,1.0,2
72,3618c87e,134,True,0.0670335167583792,2
73,3631a71a,2000,False,1.0,2
74,363442ee,2000,False,1.0,2
75,36d67576,2000,False,1.0,2
76,36fdfd69,671,True,0.3356678339169585,2
77,3906de3d,2000,False,1.0,2
78,39a8645d,2000,False,1.0,2
79,39e1d7f9,2000,False,1.0,2
80,3aa6fb7a,146,True,0.07303651825912956,2
81,3ac3eb23,242,True,0.12106053026513257,2
82,3af2c5a8,2000,False,1.0,2
83,3bd67248,180,True,0.09004502251125562,2
84,3bdb4ada,270,True,0.13506753376688344,2
85,3befdf3e,2000,False,1.0,2
86,3c9b0459,243,True,0.12156078039019509,2
87,3de23699,2000,False,1.0,2
88,3e980e27,2000,False,1.0,2
89,3eda0437,878,True,0.43921960980490243,2
90,3f7978a0,2000,False,1.0,2
91,40853293,287,True,0.14357178589294647,2
92,4093f84a,2000,False,1.0,2
93,41e4d17e,376,True,0.18809404702351176,2
94,4258a5f9,215,True,0.10755377688844422,2
95,4290ef0e,2000,False,1.0,2
96,42a50994,150,True,0.0750375187593797,2
97,4347f46a,150,True,0.0750375187593797,2
98,444801d8,630,True,0.3151575787893947,2
99,445eab21,7,True,0.003501750875437719,2
100,447fd412,2000,False,1.0,2
101,44d8ac46,2000,False,1.0,2
102,44f52bb0,156,True,0.07803901950975488,2
103,4522001f,2000,False,1.0,2
104,4612dd53,150,True,0.0750375187593797,2
105,46442a0e,2000,False,1.0,2
106,469497ad,2000,False,1.0,2
107,46f33fce,2000,False,1.0,2
108,47c1f68c,2000,False,1.0,2
109,484b58aa,359,True,0.17958979489744872,2
110,48d8fb45,155,True,0.07753876938469234,2
111,4938f0c2,2000,False,1.0,2
112,496994bd,2000,False,1.0,2
113,49d1d64f,2000,False,1.0,2
114,4be741c5,2000,False,1.0,2
115,4c4377d9,156,True,0.07803901950975488,2
116,4c5c2cf0,2000,False,1.0,2
117,50846271,2000,False,1.0,2
118,508bd3b6,2000,False,1.0,2
119,50cb2852,194,True,0.09704852426213106,2
120,5117e062,153,True,0.07653826913456728,2
121,5168d44c,2000,False,1.0,2
122,539a4f51,2000,False,1.0,2
123,53b68214,2000,False,1.0,2
124,543a7ed5,241,True,0.12056028014007003,2
125,54d82841,1306,True,0.6533266633316658,2
126,54d9e175,2000,False,1.0,2
127,5521c0d9,2000,False,1.0,2
128,5582e5ca,2,True,0.0010005002501250625,2
129,5614dbcf,2000,False,1.0,2
130,56dc2b01,2000,False,1.0,2
131,56ff96f3,414,True,0.20710355177588793,2
132,57aa92db,2000,False,1.0,2
133,5ad4f10b,2000,False,1.0,2
134,5bd6f4ac,108,True,0.054027013506753374,2
135,5c0a986e,122,True,0.061030515257628815,2
136,5c2c9af4,2000,False,1.0,2
137,5daaa586,2000,False,1.0,2
138,60b61512,134,True,0.0670335167583792,2
139,6150a2bd,309,True,0.15457728864432216,2
140,623ea044,141,True,0.07053526763381691,2
141,62c24649,2000,False,1.0,2
142,63613498,2000,False,1.0,2
143,6430c8c4,2000,False,1.0,2
144,6455b5f5,2000,False,1.0,2
145,662c240a,2000,False,1.0,2
146,67385a82,139,True,0.06953476738369184,2
147,673ef223,2000,False,1.0,2
148,6773b310,2000,False,1.0,2
149,67a3c6ac,2000,False,1.0,2
150,67a423a3,180,True,0.09004502251125562,2
151,67e8384a,2000,False,1.0,2
152,681b3aeb,150,True,0.0750375187593797,2
153,6855a6e4,2000,False,1.0,2
154,68b16354,2000,False,1.0,2
155,694f12f3,406,True,0.2031015507753877,2
156,6a1e5592,2000,False,1.0,2
157,6aa20dc0,2000,False,1.0,2
158,6b9890af,2000,False,1.0,2
159,6c434453,215,True,0.10755377688844422,2
160,6cdd2623,150,True,0.0750375187593797,2
161,6cf79266,1964,True,0.9824912456228114,2
162,6d0160f0,2000,False,1.0,2
163,6d0aefbc,2000,False,1.0,2
164,6d58a25d,2000,False,1.0,2
165,6d75e8bb,144,True,0.0720360180090045,2
166,6e02f1e3,192,True,0.096048024012006,2
167,6e19193c,2000,False,1.0,2
168,6e82a1ae,2000,False,1.0,2
169,6ecd11f4,2000,False,1.0,2
170,6f8cd79b,157,True,0.0785392696348174,2
171,6fa7a44f,2000,False,1.0,2
172,72322fa7,2000,False,1.0,2
173,72ca375d,2000,False,1.0,2
174,73251a56,258,True,0.12906453226613307,2
175,7447852a,2000,False,1.0,2
176,7468f01a,2000,False,1.0,2
177,746b3537,2000,False,1.0,2
178,74dd1130,918,True,0.4592296148074037,2
179,75b8110e,2000,False,1.0,2
180,760b3cac,2000,False,1.0,2
181,776ffc46,2000,False,1.0,2
182,77fdfe62,2000,False,1.0,2
183,780d0b14,2000,False,1.0,2
184,7837ac64,2000,False,1.0,2
185,794b24be,150,True,0.0750375187593797,2
186,7b6016b9,2000,False,1.0,2
187,7b7f7511,150,True,0.0750375187593797,2
188,7c008303,2000,False,1.0,2
189,7ddcd7ec,2000,False,1.0,2
190,7df24a62,2000,False,1.0,2
191,7e0986d6,79,True,0.03951975987993997,2
192,7f4411dc,150,True,0.0750375187593797,2
193,7fe24cdd,2000,False,1.0,2
194,80af3007,2000,False,1.0,2
195,810b9b61,2000,False,1.0,2
196,82819916,2000,False,1.0,2
197,83302e8f,2000,False,1.0,2
198,834ec97d,2000,False,1.0,2
199,8403a5d5,2000,False,1.0,2
200,846bdb03,2000,False,1.0,2
201,855e0971,327,True,0.16358179089544772,2
202,85c4e7cd,2000,False,1.0,2
203,868de0fa,2000,False,1.0,2
204,8731374e,1183,True,0.5917958979489745,2
205,88a10436,2000,False,1.0,2
206,88a62173,2000,False,1.0,2
207,890034e9,2000,False,1.0,2
208,8a004b2b,2000,False,1.0,2
209,8be77c9e,2000,False,1.0,2
210,8d5021e8,2000,False,1.0,2
211,8d510a79,2000,False,1.0,2
212,8e1813be,2000,False,1.0,2
213,8e5a5113,2000,False,1.0,2
214,8eb1be9a,2000,False,1.0,2
215,8efcae92,2000,False,1.0,2
216,8f2ea7aa,2000,False,1.0,2
217,90c28cc7,2000,False,1.0,2
218,90f3ed37,2000,False,1.0,2
219,913fb3ed,2000,False,1.0,2
220,91413438,2000,False,1.0,2
221,91714a58,150,True,0.0750375187593797,2
222,9172f3a0,2000,False,1.0,2
223,928ad970,309,True,0.15457728864432216,2
224,93b581b8,190,True,0.09504752376188094,2
225,941d9a10,638,True,0.31915957978989495,2
226,94f9d214,2000,False,1.0,2
227,952a094c,357,True,0.17858929464732365,2
228,9565186b,2000,False,1.0,2
229,95990924,454,True,0.2271135567783892,2
230,963e52fc,2000,False,1.0,2
231,97999447,468,True,0.23411705852926462,2
232,97a05b5b,2000,False,1.0,2
233,98cf29f8,2000,False,1.0,2
234,995c5fa3,2000,False,1.0,2
235,99b1bc43,2000,False,1.0,2
236,99fa7670,159,True,0.07953976988494248,2
237,9aec4887,2000,False,1.0,2
238,9af7a82c,2000,False,1.0,2
239,9d9215db,2000,False,1.0,2
240,9dfd6313,2000,False,1.0,2
241,9ecd008a,2000,False,1.0,2
242,9edfc990,2000,False,1.0,2
243,9f236235,2000,False,1.0,2
244,a1570a43,2000,False,1.0,2
245,a2fd1cf0,208,True,0.1040520260130065,2
246,a3325580,2000,False,1.0,2
247,a3df8b1e,2000,False,1.0,2
248,a416b8f3,2000,False,1.0,2
249,a48eeaf7,2000,False,1.0,2
