feature,pc1,pc2,group,explained_variance_ratio_pc1,explained_variance_ratio_pc2
performance_rate,0.5380922262047428,-0.4578021530564065,llm,0.390077885110539,0.32982044312733666
avg_duration_per_task,0.6070438066143062,0.32483190195823,llm,0.390077885110539,0.32982044312733666
avg_total_tokens_per_task,0.24315302708741682,-0.19572263807679946,llm,0.390077885110539,0.32982044312733666
avg_cost_per_task,0.5049429721979345,0.41856387903994335,llm,0.390077885110539,0.32982044312733666
attempts_per_task,-0.1669244535572259,0.68658455577912,llm,0.390077885110539,0.32982044312733666
empty_attempt_rate,0.0,0.0,llm,0.390077885110539,0.32982044312733666
performance_rate,0.5710490790638953,0.34246947756298135,human,0.4922918493966079,0.20753850016857542
mean_duration_seconds,-0.33887784473741545,0.5999287281650373,human,0.4922918493966079,0.20753850016857542
mean_submissions,-0.30644688829690936,0.5865776941929592,human,0.4922918493966079,0.20753850016857542
ability,0.5374987878630695,0.414351963259698,human,0.4922918493966079,0.20753850016857542
outfit,-0.41982152558590236,0.08390016256315655,human,0.4922918493966079,0.20753850016857542
performance_rate,0.4750534526805457,0.39833218384045044,non_llm,0.609927257583849,0.29306883498821074
primary_effort,-0.4596307702683957,0.46423007526277527,non_llm,0.609927257583849,0.29306883498821074
secondary_effort,-0.5028402778242241,-0.014518079117715466,non_llm,0.609927257583849,0.29306883498821074
oracle_rate,0.5146642416887863,0.3300986389689443,non_llm,0.609927257583849,0.29306883498821074
kaggle_score,-0.2129228626600186,0.7187809280079694,non_llm,0.609927257583849,0.29306883498821074
