group,metric_x,metric_y,n,pearson_r,pearson_p,spearman_r,spearman_p
llm,performance_rate,avg_duration_per_task,29,0.387183860210346,0.03798148785546941,0.6717576107118463,6.603707263556945e-05
llm,performance_rate,avg_total_tokens_per_task,29,0.2737118898685286,0.1507884102975604,0.4817929737264205,0.008134920442482658
llm,performance_rate,avg_cost_per_task,29,0.19779979193277966,0.3036973878828707,0.37078098053707814,0.04769128986320545
llm,performance_rate,attempts_per_task,29,-0.6585500544872392,0.0001028166619441556,-0.6098568124458914,0.00044425267761859087
llm,performance_rate,empty_attempt_rate,29,,,,
llm,performance_rate,thinking_rank,22,0.7486299148119929,6.129902401967257e-05,0.8052921153345056,6.154541436829549e-06
llm,avg_duration_per_task,avg_total_tokens_per_task,29,0.20081495616487843,0.29623519378417257,0.5953535816181282,0.0006568132221968944
llm,avg_duration_per_task,avg_cost_per_task,29,0.6983141601358263,2.5283257763240977e-05,0.6700332604093222,7.00532274516427e-05
llm,avg_duration_per_task,attempts_per_task,29,0.19679682611141777,0.3062054861893009,-0.2386563998125117,0.2124773207699861
llm,avg_duration_per_task,empty_attempt_rate,29,,,,
llm,avg_duration_per_task,thinking_rank,22,0.6089177589170892,0.002633069192081062,0.8154081720753622,3.77582398828684e-06
llm,avg_total_tokens_per_task,avg_cost_per_task,29,-0.08962734819277043,0.6438234001864268,0.31912094668936763,0.0915321108443491
llm,avg_total_tokens_per_task,attempts_per_task,29,-0.04289994422988264,0.8251215096533662,0.14378646669046272,0.4567955820801163
llm,avg_total_tokens_per_task,empty_attempt_rate,29,,,,
llm,avg_total_tokens_per_task,thinking_rank,22,0.5240003766275307,0.012308878183777638,0.6023099493932111,0.0030144304792850663
llm,avg_cost_per_task,attempts_per_task,29,0.17167163616736864,0.37322369033174996,0.03332043098039154,0.8637595064433305
llm,avg_cost_per_task,empty_attempt_rate,29,,,,
llm,avg_cost_per_task,thinking_rank,22,0.20144570090722883,0.36866545489904606,0.3299341000728096,0.1337300086600114
llm,attempts_per_task,empty_attempt_rate,29,,,,
llm,attempts_per_task,thinking_rank,22,-0.10585393248512788,0.6391852225097706,-0.4150119105003817,0.054782309133163475
llm,empty_attempt_rate,thinking_rank,22,,,,
human,performance_rate,mean_duration_seconds,509,-0.2804522329975917,1.183364025793489e-10,-0.33840109583244476,4.205562711972723e-15
human,performance_rate,mean_submissions,509,-0.2458734293725282,1.9093594380026968e-08,-0.09574366186755305,0.03079370508264705
human,performance_rate,tasks_per_minute,509,0.22332346268271258,3.572176717159225e-07,0.33840109583244476,4.205562711972723e-15
human,performance_rate,ability,509,0.878008278523606,2.3579424139168917e-164,0.8728245715068449,4.490107757367849e-160
human,performance_rate,outfit,509,-0.45793358440703086,9.44250557502759e-28,-0.6911085333148147,1.6444333968228645e-73
human,performance_rate,log_tasks_per_minute,509,0.2690763252525363,6.834861815221033e-10,0.33840109583244476,4.205562711972723e-15
human,mean_duration_seconds,mean_submissions,509,0.30436874507688255,2.2642668395950193e-12,0.31104846198233316,7.013643049855545e-13
human,mean_duration_seconds,tasks_per_minute,509,-0.5794506036593063,5.538980479376124e-47,-1.0,0.0
