dataset,split,unit,respondent_unit,respondent_count,response_rows,attempted_units,total_units,coverage,matrix_density,solve_rate,mean_items_per_respondent,median_items_per_respondent,note
ARC1_HRC,training,task_id,participant,783.0,4736.0,400,400,1.0,0.015121328224776501,0.7645692567567568,6.0485312899106,5.0,complete_participants=689
ARC1_HRC,evaluation,task_id,participant,946.0,4101.0,400,400,1.0,0.010837737843551796,0.6495976591075348,4.335095137420719,5.0,complete_participants=704
ARC1_HRC,overall,task_id,participant,1729.0,8837.0,800,800,1.0,0.006388808559861191,0.7112142129682019,5.111046847888953,5.0,complete_participants=1393
ARC2_ARCPrize,Public Train,task_id,session,463.0,3421.0,327,1000,0.327,0.007388768898488121,0.8041508330897399,7.282937365010799,5.0,task-level coverage from pair-attempt log
ARC2_ARCPrize,Public Train,task_pair_id,session,463.0,3421.0,341,1076,0.31691449814126393,0.006866885593390447,0.8041508330897399,7.388768898488121,5.0,pair-level official denominator
ARC2_ARCPrize,Public Eval,task_id,session,392.0,1260.0,115,120,0.9583333333333334,0.026785714285714284,0.6134920634920635,2.8520408163265305,2.0,task-level coverage from pair-attempt log
ARC2_ARCPrize,Public Eval,task_pair_id,session,392.0,1260.0,161,167,0.9640718562874252,0.01924721984602224,0.6134920634920635,3.2142857142857144,2.0,pair-level official denominator
ARC2_ARCPrize,overall,task_id,session,509.0,4681.0,442,1120,0.39464285714285713,0.008211128262699973,0.7528305917538988,8.821218074656189,7.0,Public Train + Public Eval task IDs
ARC2_ARCPrize,overall,task_pair_id,session,509.0,4681.0,502,1243,0.40386162510056317,0.007398603100743337,0.7528305917538988,9.196463654223969,8.0,Public Train + Public Eval task pairs
Combined,overall,benchmark_tagged_task_id,not_applicable,,,1242,1920,0.646875,,,,,ARC1 task IDs + ARC2 task IDs counted within benchmark
Combined,overall,benchmark_tagged_item,not_applicable,,,1302,2043,0.6372980910425844,,,,,ARC1 tasks + ARC2 task pairs
