dataset,table_name,row_unit,column_name,description,join_key,per_solve
ARC2_ARCPrize,test_pair_attempts.csv,session-task-pair attempt,task_ID,ARC-AGI-2 task identifier.,task_ID,True
ARC2_ARCPrize,test_pair_attempts.csv,session-task-pair attempt,task_set,Public Train or Public Eval.,,True
ARC2_ARCPrize,test_pair_attempts.csv,session-task-pair attempt,test_index,Index of the test pair within the task.,task_ID + test_index,True
ARC2_ARCPrize,test_pair_attempts.csv,session-task-pair attempt,session_ID,Anonymous session identifier.,session_ID,True
ARC2_ARCPrize,test_pair_attempts.csv,session-task-pair attempt,start_time_seconds,Seconds from session start when the attempt began.,,True
ARC2_ARCPrize,test_pair_attempts.csv,session-task-pair attempt,duration_seconds,Time spent on the attempt.,,True
ARC2_ARCPrize,test_pair_attempts.csv,session-task-pair attempt,submissions,Number of submissions made during the attempt.,,True
ARC2_ARCPrize,test_pair_attempts.csv,session-task-pair attempt,correct_submissions,Count of correct submissions for the attempt.,,True
ARC1_HRC,summary_data.csv,participant-task attempt summary,exp_name,Internal experiment version identifier.,,True
ARC1_HRC,summary_data.csv,participant-task attempt summary,task_type,training or evaluation split.,,True
ARC1_HRC,summary_data.csv,participant-task attempt summary,hashed_id,Anonymous participant identifier.,hashed_id,True
ARC1_HRC,summary_data.csv,participant-task attempt summary,joint_id_task,Participant-task composite identifier.,joint_id_task,True
ARC1_HRC,summary_data.csv,participant-task attempt summary,task_name,Task file name such as 32597951.json.,task_name,True
ARC1_HRC,summary_data.csv,participant-task attempt summary,task_number,Order of the task within a participant run.,,True
ARC1_HRC,summary_data.csv,participant-task attempt summary,attempt_number,Attempt counter for repeated tries on the same task.,,True
ARC1_HRC,summary_data.csv,participant-task attempt summary,num_actions,Number of actions taken up to submission.,,True
ARC1_HRC,summary_data.csv,participant-task attempt summary,solved,Whether the attempt solved the task.,,True
ARC1_HRC,summary_data.csv,participant-task attempt summary,test_output_grid,Ground-truth output grid in string form.,,True
ARC1_HRC,summary_data.csv,participant-task attempt summary,first_written_solution,First solution grid the participant wrote.,,True
ARC1_HRC,summary_data.csv,participant-task attempt summary,last_written_solution,Last written solution at the end of the attempt.,,True
ARC1_HRC,summary_data.csv,participant-task attempt summary,complete,Whether the participant completed the experiment protocol.,,True
ARC1_HRC,data.csv,participant-task-attempt action,time,Timestamp for each fine-grained interface action.,,False
ARC1_HRC,data.csv,participant-task-attempt action,action,Action verb taken by the participant.,,False
ARC1_HRC,data.csv,participant-task-attempt action,action_x/action_y,Coordinates for the interface action.,,False
ARC1_HRC,data.csv,participant-task-attempt action,selected_symbol/selected_tool,Currently selected color and tool.,,False
ARC1_HRC,data.csv,participant-task-attempt action,test_input_grid/test_output_grid,"Input and target grids, plus their dimensions.",,False
ARC1_HRC,survey/*.csv,participant-level sidecar,age/gender/race/education_level/normal_vision/color_blind/fluent_english,Joinable participant demographics keyed by hashed_id.,hashed_id,False
ARC1_HRC,survey/*.csv,participant-level sidecar,feedback/withdraw/withdraw_reason/withdraw_comment,Joinable qualitative feedback and withdrawal metadata keyed by hashed_id.,hashed_id,False
