ensemble_size,simulation,human_pearson
1,0,0.2762636892631837
1,1,0.10060086396583977
1,2,0.32222187550826015
1,3,0.17262240986844274
1,4,0.18830731213484259
1,5,0.18526469665248527
1,6,0.20526175126324672
1,7,0.20526175126324672
1,8,0.3512253950788342
1,9,0.3057816642556536
1,10,0.10060086396583977
1,11,0.273344995702496
1,12,0.32222187550826015
1,13,0.2894729802309382
1,14,0.030816566018248056
1,15,0.16029166127181402
1,16,0.2894729802309382
1,17,0.24565193160809926
1,18,0.24565193160809926
1,19,0.0719616266574216
1,20,0.17262240986844274
1,21,0.3057816642556536
1,22,0.021665455917474374
1,23,0.20526175126324672
1,24,0.1399830684736388
1,25,0.2762636892631837
1,26,0.24565193160809926
1,27,0.18526469665248527
1,28,0.22448304523482873
1,29,0.16029166127181402
1,30,0.2762636892631837
1,31,0.3512253950788342
1,32,0.20526175126324672
1,33,0.2762636892631837
1,34,0.20526175126324672
1,35,0.24565193160809926
1,36,0.20526175126324672
1,37,0.17262240986844274
1,38,0.2348907325060507
1,39,0.3070668662823964
1,40,0.3070668662823964
1,41,0.20526175126324672
1,42,0.20526175126324672
1,43,0.4385003673021131
1,44,0.20526175126324672
1,45,0.021665455917474374
1,46,0.32222187550826015
1,47,0.10060086396583977
1,48,0.32098863369532415
1,49,0.2894729802309382
1,50,0.22448304523482873
1,51,0.1399830684736388
1,52,0.24641725657798047
1,53,0.030816566018248056
1,54,0.3057816642556536
1,55,0.030816566018248056
1,56,0.1399830684736388
1,57,0.021665455917474374
1,58,0.0719616266574216
1,59,0.10060086396583977
1,60,0.2762636892631837
1,61,0.021665455917474374
1,62,0.16029166127181402
1,63,0.1399830684736388
1,64,0.2732627067187083
1,65,0.21240405013527167
1,66,0.17262240986844282
1,67,0.16029166127181402
1,68,0.2762636892631837
1,69,0.32222187550826015
1,70,0.1399830684736388
1,71,0.18830731213484259
1,72,0.3070668662823964
1,73,0.2348907325060507
1,74,0.16029166127181402
1,75,0.2732627067187083
1,76,0.20526175126324672
1,77,0.0719616266574216
1,78,0.32222187550826015
1,79,0.22185532308694622
1,80,0.021665455917474374
1,81,0.17262240986844282
1,82,0.32098863369532415
1,83,0.18830731213484259
1,84,0.16029166127181402
1,85,0.17262240986844282
1,86,0.32222187550826015
1,87,0.22185532308694622
