model,label,family,pair_accuracy,human_pearson,human_spearman,percentile_vs_human_split
claude-opus-4-5-20251101-thinking-16k,Opus 16k,Claude Opus,0.16363636363636364,0.4385003673021131,0.42627383705878746,0.7472
claude-opus-4-5-20251101-thinking-64k,Opus 64k,Claude Opus,0.2909090909090909,0.4296310739400061,0.42430180005072393,0.6964
claude-opus-4-5-20251101-thinking-32k,Opus 32k,Claude Opus,0.2,0.3512253950788342,0.33900045731696465,0.2182
gemini-3-flash-preview-thinking-high,Flash high,Gemini,0.24545454545454545,0.32222187550826015,0.3094198704819107,0.1158
claude-opus-4-5-20251101-thinking-8k,Opus 8k,Claude Opus,0.08181818181818182,0.32098863369532415,0.3078339652112615,0.1138
claude-sonnet-4-5-20250929-thinking-32k,claude-sonnet-4-5-20250929-thinking-32k,Claude Sonnet,0.08181818181818182,0.3070668662823964,0.293698732114826,0.0762
gpt-5-2-2025-12-11-thinking-medium,5.2 med,GPT,0.22727272727272727,0.3057816642556536,0.2865940322584858,0.0736
gemini-3-pro-preview,gemini-3-pro-preview,Gemini,0.21818181818181817,0.2894729802309382,0.29045080401524326,0.043
gpt-5-2-2025-12-11-thinking-xhigh,5.2 xhigh,GPT,0.4909090909090909,0.2762636892631837,0.2764117787817283,0.0258
gpt-5-2-pro-2025-12-11-medium,5.2 pro med,GPT,0.3,0.273344995702496,0.2724194251374723,0.0236
gpt-5-2-pro-2025-12-11-high,5.2 pro high,GPT,0.4636363636363636,0.2732627067187083,0.27076946172503263,0.0236
claude-sonnet-4-5-20250929-thinking-8k,claude-sonnet-4-5-20250929-thinking-8k,Claude Sonnet,0.03636363636363636,0.24641725657798047,0.23992889911095225,0.0072
gemini-3-flash-preview-thinking-medium,Flash med,Gemini,0.09090909090909091,0.24565193160809926,0.2385882483227626,0.007
gemini-3-deep-think-preview,gemini-3-deep-think-preview,Gemini,0.35454545454545455,0.2348907325060507,0.23486669484783784,0.0048
gpt-5-2-2025-12-11-thinking-high,5.2 high,GPT,0.2909090909090909,0.22448304523482873,0.21167699630229714,0.0028
claude-sonnet-4-5-20250929-thinking-16k,claude-sonnet-4-5-20250929-thinking-16k,Claude Sonnet,0.045454545454545456,0.22185532308694622,0.21217402583120828,0.0028
claude-opus-4-5-20251101-thinking-1k,claude-opus-4-5-20251101-thinking-1k,Claude Opus,0.02727272727272727,0.21240405013527167,0.2043885773420752,0.0018
claude-haiku-4-5-20251001-thinking-16k,claude-haiku-4-5-20251001-thinking-16k,Claude Haiku,0.01818181818181818,0.20526175126324672,0.19761144755148083,0.0014
claude-haiku-4-5-20251001-thinking-8k,claude-haiku-4-5-20251001-thinking-8k,Claude Haiku,0.01818181818181818,0.20526175126324672,0.19761144755148083,0.0014
claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,Claude Sonnet,0.02727272727272727,0.18830731213484259,0.19645971011759814,0.0008
claude-haiku-4-5-20251001-thinking-32k,claude-haiku-4-5-20251001-thinking-32k,Claude Haiku,0.03636363636363636,0.18526469665248527,0.1740059428057066,0.0006
gemini-3-flash-preview-thinking-minimal,Flash min,Gemini,0.01818181818181818,0.17262240986844282,0.1621702640232261,0.0004
claude-opus-4-5-20251101-thinking-none,Opus none,Claude Opus,0.01818181818181818,0.17262240986844274,0.1621702640232261,0.0004
gpt-5-1-2025-11-13-thinking-medium,5.1 med,GPT,0.08181818181818182,0.16029166127181402,0.1533934554539109,0.0
claude-sonnet-4-5-20250929-thinking-1k,claude-sonnet-4-5-20250929-thinking-1k,Claude Sonnet,0.01818181818181818,0.1399830684736388,0.13854280833772292,0.0
gpt-5-1-2025-11-13-thinking-high,5.1 high,GPT,0.10909090909090909,0.10060086396583977,0.08515089548996262,0.0
gpt-5-pro-2025-10-06,5 pro,GPT,0.11818181818181818,0.0719616266574216,0.06667374777974111,0.0
gpt-5-2-2025-12-11-thinking-low,5.2 low,GPT,0.08181818181818182,0.05025545805742598,0.04816449795822459,0.0
grok-4-fast-reasoning,grok-4-fast-reasoning,Grok,0.045454545454545456,0.030816566018248056,0.024799561460790577,0.0
gpt-5-1-2025-11-13-thinking-low,5.1 low,GPT,0.01818181818181818,0.021665455917474374,0.022553480427071174,0.0
