model_name,00576224__0,009d5c81__0,00dbd492__0,03560426__0,05a7bcf2__0,0607ce86__0,09c534e7__0,0a1d4ef5__0,0a2355a6__0,0b17323b__0,0becf7df__0,0d87d2a6__0,0e671a1a__0,103eff5b__0,11e1fe23__0,12422b43__0,13713586__0,15113be4__0,15663ba9__0,15696249__0,17cae0c1__0,184a9768__0,1990f7a8__0,1acc24af__0,1c56ad9f__0,1da012fc__0,1e81d6f9__0,2037f2c7__0,20818e16__0,20981f0e__0,212895b5__0,22a4bbc2__0,25094a63__0,256b0a75__0,2685904e__0,2697da3f__0,292dd178__0,29700607__0,2a5f8217__0,2b01abd0__0,2c0b0aff__0,2c737e39__0,2f0c5170__0,310f3251__0,31adaf00__0,3391f8c0__0,33b52de3__0,3490cc26__0,34b99a2b__0,351d6448__0,37d3e8b2__0,3a301edc__0,3ee1011a__0,3f23242b__0,40f6cd08__0,414297c0__0,423a55dc__0,42918530__0,42a15761__0,4364c1c4__0,456873bc__0,45737921__0,4acc7107__0,4b6b68e5__0,4e45f183__0,4e469f39__0,4ff4c9da__0,505fff84__0,506d28a5__0,50f325b5__0,5207a7b5__0,5289ad53__0,52fd389e__0,55059096__0,551d5bf1__0,575b1a71__0,5833af48__0,58743b76__0,58e15b12__0,5af49b42__0,5b692c0f__0,626c0bcc__0,62ab2642__0,62b74c02__0,642248e4__0,64a7c07e__0,66f2d22f__0,67c52801__0,692cd3b6__0,696d4842__0,69889d6e__0,6ad5bdfd__0,705a3229__0,712bf12e__0,72207abc__0,72a961c9__0,73c3b0d8__0,73ccf9c2__0,759f3fd3__0,762cd429__0,7c8af763__0,7d18a6fb__0,7d419a02__0,7e02026e__0,817e6c09__0,845d6e51__0,84f2aca1__0,85b81ff1__0,85fa5666__0,8719f442__0,88207623__0,891232d6__0,896d5239__0,8cb8642d__0,8dae5dfc__0,8fbca751__0,90347967__0,92e50de0__0,9356391f__0,93b4f4b3__0,93c31fbe__0,94133066__0,94be5b80__0,963f59bc__0,96a8c0cd__0,97239e3d__0,9772c176__0,992798f6__0,99306f82__0,9a4bb226__0,9b2a60aa__0,9b365c51__0,9bebae7a__0,9c56f360__0,9caba7c3__0,9ddd00f0__0,9def23fe__0,a04b2602__0,a096bf4d__0,a3f84088__0,a57f2f04__0,a8610ef7__0,a934301b__0,aa300dc3__0,aab50785__0,ac0c5833__0,ac2e8ecf__0,ac3e2b04__0,ac605cbb__0,aee291af__0,b0722778__0,b0f4d537__0,b15fca0b__0,b20f7c8b__0,b457fec5__0,b7999b51__0,b7cb93ac__0,b7fb29bc__0,b942fd60__0,b9630600__0,baf41dbf__0,bb52a14b__0,bcb3040b__0,bd14c3bf__0,bf32578f__0,bf699163__0,bf89d739__0,c1990cce__0,c62e2108__0,c64f1187__0,c658a4bd__0,c6e1b8da__0,c87289bb__0,c92b942c__0,c97c0139__0,cad67732__0,cb227835__0,ce039d91__0,cf133acc__0,cfb2ce5a__0,d017b73f__0,d282b262__0,d2acf2cb__0,d304284e__0,d37a1ef5__0,d47aa2ff__0,d4b1c2b1__0,d4c90558__0,d56f2372__0,d931c21c__0,d94c3b52__0,dc2aa30b__0,dc2e9a9d__0,dd2401ed__0,de493100__0,df8cc377__0,e1d2900e__0,e4075551__0,e57337a4__0,e5790162__0,e5c44e8f__0,e619ca6e__0,e681b708__0,e74e1818__0,e760a62e__0,e7639916__0,e78887d1__0,e7b06bea__0,e872b94a__0,e88171ec__0,e9ac8c9e__0,e9b4f6fc__0,e9bb6954__0,ecaa0ec1__0,ed74f2f2__0,f21745ec__0,f3b10344__0,f3cdc58f__0,f45f5ca7__0,f5aa3634__0,f5c89df1__0,f8be4b64__0,f9a67cb5__0,f9d67f8b__0,fafd9572__0,fd096ab6__0,fd4b2b02__0,fe9372f3__0,fea12743__0,ff72ca3e__0
QwQ-32B-Fireworks,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
_git_backup_nested_20260407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001-thinking-16k,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
claude-haiku-4-5-20251001-thinking-1k,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001-thinking-32k,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0
claude-haiku-4-5-20251001-thinking-8k,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
claude-sonnet-4-5-20250929,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
claude-sonnet-4-5-20250929-thinking-16k,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1
claude-sonnet-4-5-20250929-thinking-1k,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
