model_name,0934a4d8__0,135a2760__0,136b0064__0,13e47133__1,16b78196__0,16de56c4__1,1818057f__0,195c6913__1,1ae2feb7__0,1ae2feb7__1,1ae2feb7__2,20270e3b__0,20270e3b__1,20a9e565__1,21897d95__1,221dfab4__1,269e22fb__0,269e22fb__1,271d71e2__0,28a6681f__0,2b83f449__0,2ba387bc__0,2c181942__0,2d0172a1__1,332f06d7__0,35ab12c3__0,3a25b0d8__1,3dc255db__0,3e6067c3__1,409aa875__0,446ef5d2__1,45a5af55__0,4c416de3__0,4c7dc4dd__1,4e34c42c__0,4e34c42c__1,53fb4810__0,5545f144__0,58490d8a__0,58f5dbd5__0,5961cc34__0,5dbc8537__1,62593bfd__0,62593bfd__1,64efde09__0,65b59efc__1,6e4f6532__1,6ffbe589__0,71e489b6__1,7491f3cf__0,7666fa5d__0,78332cb0__1,7b0280bc__0,7b3084d4__0,7b5033c1__0,7b80bb43__0,7c66cb00__0,7ed72f31__1,800d221b__0,8698868d__0,88bcf3b4__0,88bcf3b4__1,88e364bc__1,8b7bacbf__1,8b9c3697__0,8e5c0c38__0,8e5c0c38__1,8f215267__0,8f3a5a89__0,9385bd28__1,97d7923e__0,981571dc__0,9aaea919__0,9bbf930d__0,a251c730__0,a25697e4__1,a32d8b75__0,a32d8b75__1,a395ee82__0,a47bf94d__0,aa4ec2a5__0,b0039139__1,b10624e5__0,b5ca7ac4__0,b99e7126__0,b9e38dc0__0,bf45cf4b__0,c4d067a0__0,c7f57c3e__0,cb2d8a2c__1,cbebaa4b__1,d35bdbdc__1,d59b0160__0,d8e07eb2__0,d8e07eb2__1,da515329__0,db695cfb__0,dbff022c__0,dd6b8c4b__1,de809cff__0,dfadab01__0,e12f9a14__0,e12f9a14__1,e3721c99__1,e8686506__0,e87109e9__0,edb79dae__0,f931b4a8__0,f931b4a8__1,fc7cae8d__0
_git_backup_nested_20260407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001-thinking-16k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001-thinking-1k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001-thinking-32k,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001-thinking-8k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
claude-opus-4-5-20251101-thinking-16k,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
claude-opus-4-5-20251101-thinking-1k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
claude-opus-4-5-20251101-thinking-32k,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
claude-opus-4-5-20251101-thinking-64k,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
claude-opus-4-5-20251101-thinking-8k,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
