task_id,benchmark,split,json_hash,n_train_pairs,n_test_pairs,mean_input_cells,max_input_cells,mean_output_cells,max_output_cells
007bbfb7,arc1,train,8fce05f6ec8b958e511291e75c6fb76fe8da3198,5,1,9.0,9.0,81.0,81.0
00d62c1b,arc1,train,297e568032870c0c07ae423f07cd7357daa417f4,5,1,189.33333333333334,400.0,189.33333333333334,400.0
017c7c7b,arc1,train,c5d1cf4389f36f6cffbeb731ae40a996790e32f2,3,1,18.0,18.0,27.0,27.0
025d127b,arc1,train,5485dde99be6ae6e2eaef188b410f6dd7caa1961,2,1,99.33333333333333,126.0,99.33333333333333,126.0
045e512c,arc1,train,603dd0994f885203ac4fe2c39e3d7197be31bfa3,3,1,441.0,441.0,441.0,441.0
0520fde7,arc1,train,74fec05e1350a6f2c45dc4278ccdf7a1ec84fd73,3,1,21.0,21.0,9.0,9.0
05269061,arc1,train,3296ab648caa69e3773ef4655af0aacd3f07698b,3,1,49.0,49.0,49.0,49.0
05f2a901,arc1,train,640ecbb45b2ff591dda33051884effbc11d84103,3,1,109.0,126.0,109.0,126.0
06df4c85,arc1,train,8b09df9347036ddbe90b5c94cb582ad22c65edea,3,1,533.5,676.0,533.5,676.0
08ed6ac7,arc1,train,676863e382d48f80e293d8fde5e9436ec0fa04e5,2,1,81.0,81.0,81.0,81.0
09629e4f,arc1,train,f03a3e4d5f4a3b30be6af41ddb3ac3ccb6f3b601,4,1,121.0,121.0,121.0,121.0
0962bcdd,arc1,train,dfa66397582717ff788f7ddd59ad68cb53c3330d,2,1,144.0,144.0,144.0,144.0
0a938d79,arc1,train,ec87b897c2b5bc0ba4e1ddbf8276cfa67f623626,4,1,219.6,297.0,219.6,297.0
0b148d64,arc1,train,3391058621c2dbb016ad8d3a75f89050a190482a,3,1,340.25,441.0,63.25,100.0
0ca9ddb6,arc1,train,b7e9fe3aa30c234d81e1ca9c642136a57d8737d0,3,1,81.0,81.0,81.0,81.0
0d3d703e,arc1,train,e6a4b3e38eb64e65708b1fdcf19ae70cb25af580,4,1,9.0,9.0,9.0,9.0
0dfd9992,arc1,train,66a6d99a41d1352b7ca1da4ae71908b09f610969,3,1,441.0,441.0,441.0,441.0
0e206a2e,arc1,train,1d79ac8d6c2ce845bf288db4d36e61ff6d2ee646,3,1,285.5,456.0,285.5,456.0
10fcaaa3,arc1,train,915b89b346f6489a771ba507eabdce8a5884f59e,4,1,16.2,30.0,64.8,120.0
11852cab,arc1,train,4493e3a18c1a3e5f435b6ec869c2b768954fc2b0,3,1,100.0,100.0,100.0,100.0
1190e5a7,arc1,train,74d991c086da6faf7b20f9f34a12b74b0e137536,3,1,389.75,729.0,14.75,30.0
137eaa0f,arc1,train,b7038203f4c8e9a4406977fdfe9dca70f4c28ae6,3,1,121.0,121.0,9.0,9.0
150deff5,arc1,train,25cc2ec985761409871042efa9e77ed8aad1abe4,3,1,84.75,99.0,84.75,99.0
178fcbfb,arc1,train,63024625e1272b9da2332337f9c2dac635943c0b,3,1,100.75,132.0,100.75,132.0
1a07d186,arc1,train,fc6106a7f787cafa043219204ff5ae44c47ff399,3,1,321.5,494.0,321.5,494.0
1b2d62fb,arc1,train,c701ec487453af1d91eda3064d18f6c4bc772940,5,1,35.0,35.0,15.0,15.0
1b60fb0c,arc1,train,13bf101925618f18ff9a1c2d92b86cc006023d5f,3,1,100.0,100.0,100.0,100.0
1bfc4729,arc1,train,13d5c92bb4d8d3a39424100d3c34727bc57384dd,2,1,100.0,100.0,100.0,100.0
1c786137,arc1,train,a341cf82a0d4979e03048a666c6afe2bfeb15b3b,3,1,317.25,483.0,53.75,80.0
1caeab9d,arc1,train,a7daa917cad006a4da429ba2af1fda9cb061d1f5,3,1,75.0,100.0,75.0,100.0
1cf80156,arc1,train,af419e75d7035d9e91e5795976d22a4a7b90d6f6,3,1,135.0,144.0,17.5,24.0
1e0a9b12,arc1,train,29f6f0e751a0725a39309bb8552121578691e402,3,1,25.5,36.0,25.5,36.0
1e32b0e9,arc1,train,265ff3d51aeb065dff1e8f4dece4d28d4a0b9d19,3,1,289.0,289.0,289.0,289.0
1f0c79e5,arc1,train,6f003a1b2e6e879cd1b89e47b56bd42f34a03ce2,4,1,81.0,81.0,81.0,81.0
1f642eb9,arc1,train,9c897934831f011034f0fa357a8df322f009967b,3,1,100.0,100.0,100.0,100.0
1f85a75f,arc1,train,d4968602d1bc0ee4e2348ed50561999431a5ee97,2,1,900.0,900.0,13.333333333333334,16.0
1f876c06,arc1,train,4735639d729d2f36299fda884a0ec3f423baab84,3,1,100.0,100.0,100.0,100.0
1fad071e,arc1,train,4555ea2bb445a3617d40ae90b7b6e8c5ee896ab1,3,1,81.0,81.0,5.0,5.0
2013d3e2,arc1,train,defaa5301469bf4af79481f94fd4d19a5cb5befc,2,1,100.0,100.0,9.0,9.0
2204b7a8,arc1,train,da9c7431138802748acf122a9af5160246292430,3,1,100.0,100.0,100.0,100.0
22168020,arc1,train,ea0f1b8e13da5b57ce6222c7d2f4e204ff6b774d,3,1,100.0,100.0,100.0,100.0
22233c11,arc1,train,bdcb511a435a759e1e1fc24a10d05a7a0170c3e9,3,1,100.0,100.0,100.0,100.0
2281f1f4,arc1,train,b9c035d6957bbd4723fc799c914e54d995685e8a,3,1,100.0,100.0,100.0,100.0
228f6490,arc1,train,64a5608df726aa13af03b714e92bb70f5ab9e092,3,1,100.0,100.0,100.0,100.0
22eb0ac0,arc1,train,fc8904ff8674274f1602d95c5d51a2eb2176f987,3,1,100.0,100.0,100.0,100.0
234bbc79,arc1,train,347c94241c7b5d2f95f90d53349a7bdeab6e9646,4,1,31.8,33.0,24.6,27.0
23581191,arc1,train,dc0d4c4f906e5b145f8566771ee74193015752d5,2,1,81.0,81.0,81.0,81.0
239be575,arc1,train,afccf14d451f37aaea2bc0d71fd14db4a7980d05,6,2,39.75,48.0,1.0,1.0
23b5c85d,arc1,train,cafb8c66e159e4f31b15b9fdebe4b74b98741d5e,5,1,239.83333333333334,400.0,7.666666666666667,12.0
253bf280,arc1,train,ac1cf170546a692381e3bced927cbfc5133bb799,8,1,84.0,156.0,84.0,156.0
25d487eb,arc1,train,8aba2b0e9df1d1f4beb8f8be22d486df03d83578,3,1,162.5,180.0,162.5,180.0
25d8a9c8,arc1,train,c381f0fcc93faa5d5c84f9080a4c8b9b3eb842b0,4,1,9.0,9.0,9.0,9.0
25ff71a9,arc1,train,7fe55134c9a557b921b53c9eafb0b418b9a61636,4,2,9.0,9.0,9.0,9.0
264363fd,arc1,train,1c5d51d3f7ce37be4d574e3d82ee820977f76b9f,3,1,900.0,900.0,900.0,900.0
272f95fa,arc1,train,41c8a17e08289f2e0ec142abb06070f53f25bfce,2,1,255.0,342.0,255.0,342.0
27a28665,arc1,train,bf22b7c2cc474e11f95faef0a8ebf1eec1c540d3,7,3,9.0,9.0,1.0,1.0
28bf18c6,arc1,train,1a3f674ac14ee551cb71b6d5c8e278bcdaa7a73c,3,1,64.0,64.0,18.0,18.0
28e73c20,arc1,train,3f3ee1ad9e691b844133fa738562adee5e1b5e37,5,1,153.0,324.0,153.0,324.0
29623171,arc1,train,8cd4e6caff4364da1868681cc81171305aabc5b2,3,1,121.0,121.0,121.0,121.0
29c11459,arc1,train,0d5f5a1c6e932800042fbfcce3678654a74e3cd9,2,1,55.0,55.0,55.0,55.0
29ec7d0e,arc1,train,363801e377297563a9af72cf6776690c3dc5e6b5,4,1,324.0,324.0,324.0,324.0
2bcee788,arc1,train,046b859c125d920548364fb95b447ca791d9dd56,4,1,100.0,100.0,100.0,100.0
2bee17df,arc1,train,381d38fd91ede9dd85e753e0cd147f2adacc56b6,3,1,146.0,196.0,146.0,196.0
2c608aff,arc1,train,83ec03668bff2749973466dbea08861f7b30d7b3,4,1,209.4,399.0,209.4,399.0
2dc579da,arc1,train,55e0162a0366f6416c08568ad8b528f07ff020fb,3,1,91.0,169.0,18.5,36.0
2dd70a9a,arc1,train,e99780a5e0bac968dfd4b3e6c6c987e2521828a4,3,1,223.5,400.0,223.5,400.0
2dee498d,arc1,train,f31518c7bfa4fb05750d8a28afb2856a5f378273,3,1,40.5,75.0,13.5,25.0
