human_metric,pooling,n,pearson_r,spearman_r
raw_solve_rate,naive_concat,345,-0.4027124993466662,-0.42777195176983057
raw_solve_rate,benchmark_centered,345,-0.29355686146076615,-0.30413669240722535
raw_solve_rate,benchmark_z,345,-0.32049336013990004,-0.31423698409910633
latent_human_difficulty,naive_concat,345,0.47317437705386983,0.5079580588788817
latent_human_difficulty,benchmark_centered,345,0.3070141253585341,0.3221362735758079
latent_human_difficulty,benchmark_z,345,0.3243675151393501,0.32664891844976834
human_difficulty_pc1,naive_concat,345,0.5009302759268387,0.530067739352531
human_difficulty_pc1,benchmark_centered,345,0.3457605658983511,0.364247473655295
human_difficulty_pc1,benchmark_z,345,0.35541523233986966,0.3707250857700603
latent_duration_log,naive_concat,345,0.37816054770875474,0.37910308187753156
latent_duration_log,benchmark_centered,345,0.26961920164343633,0.2711789218981046
latent_duration_log,benchmark_z,345,0.26161164326065506,0.27575176654178624
