task_pair_id,task_ID,benchmark_label,dataset_key,test_index,attempts,session_count,raw_solve_rate,mean_duration_seconds,median_duration_seconds,mean_submissions,latent_correct_logit,latent_correct_prob,latent_duration_log,latent_duration_seconds
00576224__0,00576224,arc1_sidecar,arc_agi_1_eval,0,9,9,0.8888888888888888,125.20377777777779,98.04,1.5555555555555556,1.7970059488378483,0.8577840802595462,4.890014486098062,131.95550004374422
009d5c81__0,009d5c81,arc1_sidecar,arc_agi_1_eval,0,9,9,1.0,65.14222222222222,68.584,2.111111111111111,2.5303947827352715,0.9262453274875218,4.305309042558692,73.09210953015233
00dbd492__0,00dbd492,arc1_sidecar,arc_agi_1_eval,0,9,9,1.0,165.57855555555554,135.891,1.1111111111111112,2.7453353142473054,0.9396493646581563,4.839702989835812,125.4317946248898
03560426__0,03560426,arc1_sidecar,arc_agi_1_eval,0,9,9,0.6666666666666666,146.0917777777778,79.77,1.1111111111111112,1.1024937619935424,0.7507270698101742,4.7032413895716285,109.30413228073652
05a7bcf2__0,05a7bcf2,arc1_sidecar,arc_agi_1_eval,0,9,9,0.6666666666666666,437.0467777777778,453.831,1.8888888888888888,0.7708861411171255,0.683712552673893,6.116794325385964,452.4088809744805
0607ce86__0,0607ce86,arc1_sidecar,arc_agi_1_eval,0,9,9,0.8888888888888888,112.94566666666667,113.331,0.8888888888888888,1.9128954999512824,0.8713440928824159,4.935007863486522,138.0742361361601
09c534e7__0,09c534e7,arc1_sidecar,arc_agi_1_eval,0,9,9,0.8888888888888888,161.78866666666667,118.364,1.3333333333333333,2.303847893684057,0.9091952188839684,5.32624548280573,204.66435242959864
0a1d4ef5__0,0a1d4ef5,arc1_sidecar,arc_agi_1_eval,0,463,463,0.9287257019438445,177.22845788336932,119.158,1.323974082073434,2.859731236977667,0.9458195284217722,4.957605908889926,141.25282168241102
0a2355a6__0,0a2355a6,arc1_sidecar,arc_agi_1_eval,0,9,9,0.8888888888888888,172.54933333333332,129.731,1.3333333333333333,1.5007705400202975,0.8176893713828701,4.9919396771929385,146.22170931691642
0b17323b__0,0b17323b,arc1_sidecar,arc_agi_1_eval,0,9,9,1.0,74.47,66.294,1.1111111111111112,2.878968746053628,0.9467969406975902,4.2482579704376064,68.9833929574451
0becf7df__0,0becf7df,arc1_sidecar,arc_agi_1_eval,0,9,9,0.7777777777777778,146.998,108.691,1.0,1.8500763445575026,0.8641360664671395,5.023048064409089,150.87351927369897
0d87d2a6__0,0d87d2a6,arc1_sidecar,arc_agi_1_eval,0,9,9,0.6666666666666666,116.04466666666667,69.377,1.6666666666666667,0.9652580646103511,0.7241733212095582,4.704721517878097,109.46751743491305
0e671a1a__0,0e671a1a,arc1_sidecar,arc_agi_1_eval,0,9,9,0.5555555555555556,187.7881111111111,111.258,2.2222222222222223,0.6925234735089152,0.6665280506949715,4.689656290065498,107.81577231714533
103eff5b__0,103eff5b,arc1_sidecar,arc_agi_1_eval,0,9,9,1.0,155.91322222222223,74.299,1.0,2.6494323723344424,0.933975996463991,4.7601025700994555,115.75790115436146
11e1fe23__0,11e1fe23,arc1_sidecar,arc_agi_1_eval,0,9,9,1.0,114.18111111111112,122.581,1.6666666666666667,2.5895142345157547,0.9301836771309144,4.815334793152639,122.38811489186475
12422b43__0,12422b43,arc1_sidecar,arc_agi_1_eval,0,8,8,0.875,109.650125,80.755,1.5,1.7110664803139786,0.8469745604681839,4.8631803806016585,128.4352013975579
13713586__0,13713586,arc1_sidecar,arc_agi_1_eval,0,9,9,0.8888888888888888,142.82955555555554,95.375,1.1111111111111112,2.100123864497845,0.8909152171947878,4.696387051234472,108.55065567985498
15113be4__0,15113be4,arc1_sidecar,arc_agi_1_eval,0,9,9,1.0,97.42355555555555,82.388,1.1111111111111112,2.6924557287530018,0.9365800032772656,4.628207308174355,101.33045261433644
15663ba9__0,15663ba9,arc1_sidecar,arc_agi_1_eval,0,9,9,0.7777777777777778,220.02599999999998,162.062,2.111111111111111,1.585153478374548,0.8299331384323809,5.097528679010331,162.61705698122057
15696249__0,15696249,arc1_sidecar,arc_agi_1_eval,0,9,9,1.0,143.49588888888889,90.898,2.0,2.3479853180887376,0.9127739566356817,4.928310363956355,137.14589874476238
17cae0c1__0,17cae0c1,arc1_sidecar,arc_agi_1_eval,0,9,9,1.0,74.65488888888889,71.958,1.0,2.5655484162854103,0.9286111518651223,4.482500493815396,87.45557900133015
184a9768__0,184a9768,arc1_sidecar,arc_agi_1_eval,0,9,9,1.0,138.94788888888888,123.236,1.2222222222222223,2.442727523464375,0.9200279994490147,5.103436881509525,163.58660099706702
1990f7a8__0,1990f7a8,arc1_sidecar,arc_agi_1_eval,0,9,9,0.8888888888888888,85.34455555555556,61.044,0.8888888888888888,2.3582375396080697,0.9135867677162609,4.312906411016071,73.65715831004361
1acc24af__0,1acc24af,arc1_sidecar,arc_agi_1_eval,0,9,9,0.8888888888888888,100.961,74.959,3.6666666666666665,1.8314602004981477,0.8619355863826519,4.7310994866677305,112.42019781393576
1c56ad9f__0,1c56ad9f,arc1_sidecar,arc_agi_1_eval,0,8,8,0.25,402.57925,415.3295,2.75,-0.7194508548057019,0.3275139199080397,5.7691041467571225,319.2507064659635
1da012fc__0,1da012fc,arc1_sidecar,arc_agi_1_eval,0,9,9,0.8888888888888888,125.5977777777778,83.598,1.3333333333333333,2.1658196797056077,0.897137840112027,4.726026507556339,111.84627649587203
1e81d6f9__0,1e81d6f9,arc1_sidecar,arc_agi_1_eval,0,9,9,1.0,68.12744444444444,40.211,1.0,2.711150057079231,0.9376813860475093,4.333481186139531,75.20912347279203
