human_metric,predictor,pooling,n,pearson_r,spearman_r
latent_human_difficulty,cyclomatic_complexity,naive_concat,36,0.3104214823541568,0.27142216108354383
latent_human_difficulty,cyclomatic_complexity,benchmark_centered,36,0.17627959314169434,0.1737899130722305
latent_human_difficulty,cyclomatic_complexity,benchmark_z,36,0.17523015090150088,0.13336766662431912
latent_human_difficulty,structure_pc1,naive_concat,36,0.3301070713128945,0.28803088803088805
latent_human_difficulty,structure_pc1,benchmark_centered,36,0.14942300367716846,0.15727155727155726
latent_human_difficulty,structure_pc1,benchmark_z,36,0.1406682854288483,0.1070785070785071
human_difficulty_pc1,cyclomatic_complexity,naive_concat,36,0.282661227659773,0.34893456192429023
human_difficulty_pc1,cyclomatic_complexity,benchmark_centered,36,0.13829322178003328,0.13208033393489518
human_difficulty_pc1,cyclomatic_complexity,benchmark_z,36,0.2139121055279813,0.18589084035281542
human_difficulty_pc1,structure_pc1,naive_concat,36,0.31647928715224494,0.3598455598455599
human_difficulty_pc1,structure_pc1,benchmark_centered,36,0.12797815973800583,0.11480051480051481
human_difficulty_pc1,structure_pc1,benchmark_z,36,0.1965027374875911,0.16422136422136424
latent_duration_log,cyclomatic_complexity,naive_concat,36,0.18787854452553338,0.2767012448617342
latent_duration_log,cyclomatic_complexity,benchmark_centered,36,0.058770175106033475,0.07260556368350964
latent_duration_log,cyclomatic_complexity,benchmark_z,36,0.15321334807936088,0.1042739478433383
latent_duration_log,structure_pc1,naive_concat,36,0.21481381959870938,0.28725868725868725
latent_duration_log,structure_pc1,benchmark_centered,36,0.050614168315946034,0.051994851994851994
latent_duration_log,structure_pc1,benchmark_z,36,0.14171362805684093,0.08648648648648649
