simulation,pearson,spearman,n_items,benchmark,population,subset_note
0,0.4037757216909315,0.33520882951187775,217,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
1,0.5222387607043838,0.38097117114577905,217,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
2,0.4278574455622713,0.36767985591515007,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
3,0.4346041781075931,0.3381722211431901,219,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
4,0.4492157456739621,0.3794314897117461,219,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
5,0.4397389559345178,0.36547451041544843,226,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
6,0.4163717288641403,0.3100703747762571,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
7,0.41727566087164364,0.3071943660508683,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
8,0.41739567696098934,0.3296785885021179,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
9,0.47470035876685523,0.3927413560261094,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
10,0.45562393664737905,0.41015264544676305,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
11,0.4396436108328757,0.39454041221384933,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
12,0.41851719275736016,0.3376151648512648,220,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
13,0.38863136821436667,0.3273685186109349,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
14,0.3787460075882202,0.32132144155686754,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
15,0.5690501458229876,0.42208461389057095,219,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
16,0.37470661840349295,0.2886908643048613,215,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
17,0.4444263475148548,0.3227772796382207,226,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
18,0.4504252248829112,0.3567678744149332,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
19,0.4807583337157487,0.3686546152913866,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
20,0.4241543879708113,0.35757738036518744,217,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
21,0.45914875336885697,0.3812016292397458,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
22,0.38084124692906135,0.32343763168984413,225,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
23,0.48179214918744906,0.41981328665499706,216,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
24,0.4538189211380364,0.35963020899392606,217,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
25,0.43092144162823864,0.33722859016976664,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
26,0.40760053257223083,0.3406662395900064,224,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
27,0.41941389872045726,0.3439269266062988,223,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
28,0.5107983164982962,0.45592119856208685,218,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
29,0.4587258191473225,0.3355436156763591,225,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
30,0.4438385200626215,0.34803569675635104,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
31,0.4529531083834499,0.36798447974918563,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
32,0.5128608198231303,0.42883375546132024,212,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
33,0.4467994354604061,0.3439792322145263,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
34,0.3943779447606632,0.3234015586956763,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
35,0.4095231356642018,0.34315599206129416,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
36,0.45124536544860855,0.3625848724767216,222,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
37,0.5166847889358325,0.4236057982161028,218,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
38,0.4959209779818745,0.4015553603788898,221,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
39,0.41239329402680475,0.2898136512963265,220,ARC1,human,ARC1 sidecar from ARC-AGI-2 Public Train human attempts
