model_name,arc1_accuracy,arc2_accuracy,accuracy_diff_arc2_minus_arc1,arc1_rank,arc2_rank,latent_model_ability
claude-haiku-4-5-20251001,0.2225,0.0,-0.2225,16.0,16.0,-1.1240227158342648
claude-haiku-4-5-20251001-thinking-16k,0.4175,0.016666666666666666,-0.4008333333333333,11.0,12.0,0.2740667904999518
claude-haiku-4-5-20251001-thinking-1k,0.22,0.0,-0.22,17.0,16.0,-1.14482103961166
claude-haiku-4-5-20251001-thinking-32k,0.5575,0.03333333333333333,-0.5241666666666667,8.0,9.0,1.1301241858698916
claude-haiku-4-5-20251001-thinking-8k,0.3425,0.016666666666666666,-0.32583333333333336,13.0,12.0,-0.20572822159269946
claude-sonnet-4-5-20250929,0.2875,0.025,-0.26249999999999996,15.0,11.0,-0.5676813299153961
claude-sonnet-4-5-20250929-thinking-16k,0.56,0.041666666666666664,-0.5183333333333334,7.0,7.0,1.1586071740658646
claude-sonnet-4-5-20250929-thinking-1k,0.3,0.016666666666666666,-0.2833333333333333,14.0,12.0,-0.4966088066976803
claude-sonnet-4-5-20250929-thinking-32k,0.65,0.075,-0.5750000000000001,5.0,5.0,1.7200010044333942
claude-sonnet-4-5-20250929-thinking-8k,0.4625,0.041666666666666664,-0.42083333333333334,10.0,7.0,0.5921941794946954
gemini-3-deep-think-preview,0.8975,0.325,-0.5725,1.0,1.0,3.536092914564229
gemini-3-pro-preview,0.8,0.175,-0.625,2.0,2.0,2.715144611210394
gpt-4-1-2025-04-14,0.0975,0.0,-0.0975,19.0,16.0,-2.426954514502325
gpt-4-1-mini-2025-04-14,0.0525,0.0,-0.0525,21.0,16.0,-3.2006145711216316
gpt-4-1-nano-2025-04-14,0.005,0.0,-0.005,22.0,16.0,-5.034323519458084
gpt-5-1-2025-11-13-thinking-high,0.6775,0.08333333333333333,-0.5941666666666666,4.0,3.0,1.8862609246918394
gpt-5-1-2025-11-13-thinking-low,0.3525,0.008333333333333333,-0.3441666666666666,12.0,15.0,-0.15603721737910722
gpt-5-1-2025-11-13-thinking-medium,0.6125,0.05,-0.5625,6.0,6.0,1.46904916373845
gpt-5-1-2025-11-13-thinking-none,0.095,0.0,-0.095,20.0,16.0,-2.4623145233273362
gpt-5-pro-2025-10-06,0.7225,0.08333333333333333,-0.6391666666666667,3.0,3.0,2.134709193283744
grok-4-fast-reasoning,0.47,0.03333333333333333,-0.43666666666666665,9.0,9.0,0.621920666065751
qwen3-235b-a22b-instruct-2507,0.155,0.0,-0.155,18.0,16.0,-1.743352873184641
