llm_metric,predictor,pooling,n,pearson_r,spearman_r
llm_latent_difficulty,cyclomatic_complexity,naive_concat,59,0.6646127621672858,0.6668227857262023
llm_latent_difficulty,cyclomatic_complexity,benchmark_centered,59,0.5716517169667231,0.5682213806034012
llm_latent_difficulty,cyclomatic_complexity,benchmark_z,59,0.5979948512095195,0.5979508354893802
llm_latent_difficulty,structure_pc1,naive_concat,59,0.6863145924048024,0.6668420129756268
llm_latent_difficulty,structure_pc1,benchmark_centered,59,0.5720967948249698,0.558094681472823
llm_latent_difficulty,structure_pc1,benchmark_z,59,0.588991563154073,0.5688486265341907
llm_pass_rate,cyclomatic_complexity,naive_concat,59,-0.651547976501755,-0.6732818093695483
llm_pass_rate,cyclomatic_complexity,benchmark_centered,59,-0.5536199531497644,-0.5663703857221939
llm_pass_rate,cyclomatic_complexity,benchmark_z,59,-0.5834221274469801,-0.5965252794852839
llm_pass_rate,structure_pc1,naive_concat,59,-0.675358176105654,-0.6750258812952981
llm_pass_rate,structure_pc1,benchmark_centered,59,-0.5563395368508934,-0.5586730960639
llm_pass_rate,structure_pc1,benchmark_z,59,-0.5754758210845079,-0.5727504054675742
