simulation,mask_kind,pearson,spearman,n_items,observed_cells,capped_items,benchmark
0,uniform_budget,0.6392996062040195,0.6388956062074688,229,2507,0,ARC1
1,uniform_budget,0.6781041669501116,0.6182425795430281,224,2460,0,ARC1
2,uniform_budget,0.6935472449910636,0.6802033291192583,225,2392,0,ARC1
3,uniform_budget,0.68871852670221,0.6573077073018595,226,2444,0,ARC1
4,uniform_budget,0.7338192921343558,0.6927963822073213,226,2471,0,ARC1
5,uniform_budget,0.748560813396502,0.7197547483421922,223,2469,0,ARC1
6,uniform_budget,0.7147708205474971,0.6734667947896649,224,2402,0,ARC1
7,uniform_budget,0.7011227766455856,0.6519634849455479,224,2488,0,ARC1
8,uniform_budget,0.7390397749783162,0.7108171035144346,229,2537,0,ARC1
9,uniform_budget,0.7267094393872133,0.6942577295518472,221,2448,0,ARC1
10,uniform_budget,0.7110240984615884,0.6679957896378309,226,2512,0,ARC1
11,uniform_budget,0.6972379546181291,0.698261536262394,226,2503,0,ARC1
12,uniform_budget,0.6173056637784933,0.5935502668409358,227,2425,0,ARC1
13,uniform_budget,0.6971449791110971,0.6614546678184292,227,2557,0,ARC1
14,uniform_budget,0.6846192704954956,0.6758253256459534,224,2425,0,ARC1
15,uniform_budget,0.7252556463388296,0.7046086356959421,229,2482,0,ARC1
16,uniform_budget,0.7384872060459033,0.7288360427793588,226,2490,0,ARC1
17,uniform_budget,0.7055633391807046,0.6804967078332846,227,2551,0,ARC1
18,uniform_budget,0.7454281927875425,0.7296668802049969,224,2444,0,ARC1
19,uniform_budget,0.7291996886388178,0.7032339220043403,226,2514,0,ARC1
20,uniform_budget,0.6810617258476319,0.652996504359804,226,2448,0,ARC1
21,uniform_budget,0.6954253522512825,0.6482476316712799,226,2444,0,ARC1
22,uniform_budget,0.7798817702667094,0.7558364938895913,225,2476,0,ARC1
23,uniform_budget,0.6421478007316237,0.6364935095177877,228,2510,0,ARC1
24,uniform_budget,0.7301435409864233,0.7097725816784114,224,2497,0,ARC1
25,uniform_budget,0.7348286704342589,0.7056439781766999,227,2452,0,ARC1
26,uniform_budget,0.7206829622465022,0.7101582641018146,222,2452,0,ARC1
27,uniform_budget,0.7358402846148585,0.716613990729035,225,2478,0,ARC1
28,uniform_budget,0.7563809497566804,0.7425948166877371,225,2501,0,ARC1
29,uniform_budget,0.6978656592298631,0.6386064768173602,227,2441,0,ARC1
30,uniform_budget,0.7363630473212026,0.701271914935856,222,2508,0,ARC1
31,uniform_budget,0.7271337148374887,0.6969433290450016,226,2496,0,ARC1
32,uniform_budget,0.7410547357179535,0.6998950765940865,229,2543,0,ARC1
33,uniform_budget,0.6785772476989373,0.6482871363039777,226,2436,0,ARC1
34,uniform_budget,0.6930817757204505,0.6730926669525557,227,2492,0,ARC1
35,uniform_budget,0.724191541286549,0.6787849669015589,224,2377,0,ARC1
36,uniform_budget,0.7182894928561583,0.6985856712265246,227,2483,0,ARC1
37,uniform_budget,0.7176527986598933,0.6971227140010958,227,2520,0,ARC1
38,uniform_budget,0.7320872914776438,0.670019885483597,229,2481,0,ARC1
39,uniform_budget,0.7504289305734192,0.7060668200070173,226,2458,0,ARC1
40,uniform_budget,0.777359475234112,0.7648065428863962,227,2417,0,ARC1
41,uniform_budget,0.7330488843652212,0.7139493914157593,224,2464,0,ARC1
42,uniform_budget,0.72349089198955,0.7103931750967168,228,2468,0,ARC1
43,uniform_budget,0.7458533435554588,0.6976167397799607,229,2538,0,ARC1
44,uniform_budget,0.7583174234269286,0.7215752500674508,229,2500,0,ARC1
45,uniform_budget,0.7724311136514078,0.7421670880741679,225,2538,0,ARC1
46,uniform_budget,0.6493214909894341,0.6248498596024903,229,2523,0,ARC1
47,uniform_budget,0.685471174826118,0.623335706620651,227,2481,0,ARC1
48,uniform_budget,0.7083778410615696,0.6757897571777008,228,2566,0,ARC1
49,uniform_budget,0.7206935693219475,0.689814585132589,228,2570,0,ARC1
50,uniform_budget,0.7132791125145168,0.6993383902233461,225,2471,0,ARC1
51,uniform_budget,0.7242988770042204,0.6734259483698946,223,2409,0,ARC1
52,uniform_budget,0.6675473493671406,0.6658312262958281,225,2555,0,ARC1
53,uniform_budget,0.7130107993869739,0.6707767078606421,226,2437,0,ARC1
54,uniform_budget,0.6576607571651332,0.6368808849147156,227,2428,0,ARC1
55,uniform_budget,0.6843849391105066,0.6579636921237639,226,2449,0,ARC1
56,uniform_budget,0.7596820367707927,0.7429194443361533,226,2531,0,ARC1
57,uniform_budget,0.6693933535063608,0.6013805253042923,224,2498,0,ARC1
58,uniform_budget,0.679138361159884,0.6540180787081342,222,2432,0,ARC1
59,uniform_budget,0.7483995569599713,0.735435331847888,222,2391,0,ARC1
60,uniform_budget,0.7405825950659549,0.7480684474782748,228,2484,0,ARC1
61,uniform_budget,0.7400985707031548,0.713663495333899,223,2443,0,ARC1
62,uniform_budget,0.662902769154382,0.6359927253105234,229,2494,0,ARC1
63,uniform_budget,0.6929475762446203,0.6457335201869632,227,2567,0,ARC1
64,uniform_budget,0.7131229068522061,0.6630348394474549,226,2443,0,ARC1
65,uniform_budget,0.7167385979263688,0.7054593341761485,225,2494,0,ARC1
66,uniform_budget,0.7269622864922911,0.701258808456118,224,2466,0,ARC1
67,uniform_budget,0.7510100652416986,0.7216701807680396,229,2451,0,ARC1
68,uniform_budget,0.6972574971136984,0.6490781729337585,229,2532,0,ARC1
69,uniform_budget,0.7461851018906106,0.7260831378478436,221,2366,0,ARC1
70,uniform_budget,0.7562156820016652,0.7402581120943954,225,2480,0,ARC1
71,uniform_budget,0.7582691077158302,0.7300224215246638,224,2459,0,ARC1
72,uniform_budget,0.677159366315411,0.6197901384782374,227,2528,0,ARC1
73,uniform_budget,0.7123208068137558,0.6874719155301221,227,2459,0,ARC1
74,uniform_budget,0.689612355362469,0.6643180478250877,229,2541,0,ARC1
75,uniform_budget,0.6436336816620576,0.6197491975621483,226,2483,0,ARC1
76,uniform_budget,0.7196915660007609,0.6923835600011993,229,2506,0,ARC1
77,uniform_budget,0.7155841721417593,0.6886827024287552,226,2499,0,ARC1
78,uniform_budget,0.668538733251524,0.6567535211692427,222,2428,0,ARC1
79,uniform_budget,0.7664115019969365,0.7397433977130267,227,2549,0,ARC1
80,uniform_budget,0.7365822917436018,0.7251123240473016,223,2480,0,ARC1
81,uniform_budget,0.6896115043711263,0.6621286950955027,227,2514,0,ARC1
82,uniform_budget,0.7032409756632841,0.6815687497563448,226,2416,0,ARC1
83,uniform_budget,0.734565060797731,0.7025326590813318,225,2447,0,ARC1
84,uniform_budget,0.7055052783646091,0.6589720998531571,226,2448,0,ARC1
85,uniform_budget,0.6678768223727731,0.616150117604252,226,2477,0,ARC1
86,uniform_budget,0.6926851971977305,0.6849420564686053,225,2412,0,ARC1
87,uniform_budget,0.6991962770652026,0.6797889620937455,226,2489,0,ARC1
88,uniform_budget,0.7460037633260704,0.735297065741128,228,2527,0,ARC1
89,uniform_budget,0.7202670580093266,0.6911510544439123,228,2530,0,ARC1
90,uniform_budget,0.7468503002697191,0.6959911278723103,227,2440,0,ARC1
91,uniform_budget,0.7190654244893936,0.6755680247692313,228,2505,0,ARC1
92,uniform_budget,0.7149707206536201,0.6966845764854616,225,2501,0,ARC1
93,uniform_budget,0.6298098003496472,0.6073047321434069,227,2507,0,ARC1
94,uniform_budget,0.6556931163156559,0.6708746350301313,227,2465,0,ARC1
95,uniform_budget,0.7246791360391371,0.6892763115148207,226,2451,0,ARC1
96,uniform_budget,0.7564364690733257,0.7255004214075012,225,2428,0,ARC1
97,uniform_budget,0.6966215651081394,0.6965129190689731,224,2461,0,ARC1
98,uniform_budget,0.7024836925821619,0.6714285714285716,224,2496,0,ARC1
99,uniform_budget,0.686085555245917,0.639060431347427,224,2407,0,ARC1
100,uniform_budget,0.7094456535127043,0.6627333567242342,226,2463,0,ARC1
101,uniform_budget,0.7117605257239819,0.6695844226673823,223,2440,0,ARC1
102,uniform_budget,0.7452683254409102,0.7273458195543397,223,2436,0,ARC1
103,uniform_budget,0.6869920779771131,0.6731111334532973,227,2547,0,ARC1
104,uniform_budget,0.724003447491662,0.70714489432032,227,2495,0,ARC1
105,uniform_budget,0.7229600343967985,0.6987422592355329,224,2444,0,ARC1
106,uniform_budget,0.7329228962947231,0.6831953223767384,225,2533,0,ARC1
107,uniform_budget,0.7368849201551403,0.7014302236430029,226,2489,0,ARC1
108,uniform_budget,0.684388878292886,0.6527792013666455,224,2472,0,ARC1
109,uniform_budget,0.7389845176572328,0.7081532883708238,226,2451,0,ARC1
110,uniform_budget,0.7309208472723387,0.6999851857627383,226,2524,0,ARC1
111,uniform_budget,0.6958164724353791,0.6888916611438151,226,2454,0,ARC1
112,uniform_budget,0.6881485452070559,0.6802863949081703,227,2475,0,ARC1
113,uniform_budget,0.7195305522739431,0.6986090430597156,223,2439,0,ARC1
114,uniform_budget,0.7208715561053141,0.7187966680961106,226,2458,0,ARC1
115,uniform_budget,0.7179304498102593,0.6907783472133249,224,2497,0,ARC1
116,uniform_budget,0.6784964082167848,0.6536225911912498,228,2459,0,ARC1
117,uniform_budget,0.7182790987662521,0.6756929318812728,224,2446,0,ARC1
118,uniform_budget,0.7286344021814714,0.7253538942545967,230,2541,0,ARC1
119,uniform_budget,0.6892342935826211,0.6728327459005382,222,2387,0,ARC1
120,uniform_budget,0.7027860244043281,0.6749680426945499,227,2504,0,ARC1
121,uniform_budget,0.6961923737194781,0.6513253265908133,225,2425,0,ARC1
122,uniform_budget,0.7054376897629081,0.6878250360609722,226,2505,0,ARC1
123,uniform_budget,0.6194440543635118,0.5934391121853598,226,2446,0,ARC1
124,uniform_budget,0.6599437234435976,0.6372617988868128,229,2470,0,ARC1
125,uniform_budget,0.6600558505986865,0.63172533884319,226,2454,0,ARC1
126,uniform_budget,0.7134061737955811,0.6729365976933755,228,2477,0,ARC1
127,uniform_budget,0.6919811497703451,0.6833901252085979,229,2552,0,ARC1
128,uniform_budget,0.7388752493529748,0.6965232560847322,228,2513,0,ARC1
129,uniform_budget,0.7422755645772645,0.7096679791561082,226,2518,0,ARC1
130,uniform_budget,0.6994458541696725,0.6472555836493891,225,2482,0,ARC1
131,uniform_budget,0.7346943714945977,0.7229772486349283,228,2520,0,ARC1
132,uniform_budget,0.7197155081533306,0.6896339324002964,226,2461,0,ARC1
133,uniform_budget,0.7100555085697232,0.6898200200122152,226,2481,0,ARC1
134,uniform_budget,0.7310096006567837,0.7116561314791404,225,2422,0,ARC1
135,uniform_budget,0.6717376047593406,0.6638707016654732,227,2518,0,ARC1
136,uniform_budget,0.7157205196906191,0.7041550779603878,225,2461,0,ARC1
137,uniform_budget,0.7174713049578788,0.6965688175385273,228,2483,0,ARC1
138,uniform_budget,0.7097326228595273,0.692975537549219,228,2517,0,ARC1
139,uniform_budget,0.7220330184271502,0.6963685208596714,225,2497,0,ARC1
140,uniform_budget,0.7172282191286624,0.6843636746734093,225,2499,0,ARC1
141,uniform_budget,0.7151318344681935,0.665766595741625,227,2463,0,ARC1
142,uniform_budget,0.6739183733132076,0.6445006321112516,225,2522,0,ARC1
143,uniform_budget,0.7487835505486927,0.7350034474833373,229,2527,0,ARC1
144,uniform_budget,0.7152485140340371,0.711738853585955,226,2497,0,ARC1
