analysis,predictor,n,estimate,p_value,ci_lo,ci_hi,notes
human_pooled_benchmark_z,variant_count,19,0.022160430123116283,0.9282492099945749,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,variant_count,20,-5.209886105016735e-05,0.9998260694926961,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,variant_count,19,0.022160430123116283,0.9282492099945749,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,variant_count,19,0.0052522837602602445,0.9829745054142524,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,variant_count,19,-0.01690814636285604,0.9198606271777003,-0.4674701409800973,0.3610161481923593,shared pooled delta with human_r=0.022160 and llm_r=0.005252
human_pooled_benchmark_z,test_case_count_total,19,0.13242793959997579,0.5888924296038248,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,test_case_count_total,59,0.007160440366088989,0.9570751843256017,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,test_case_count_total,19,0.13242793959997579,0.5888924296038248,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,test_case_count_total,19,0.12050553127400358,0.6231375122877874,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,test_case_count_total,19,-0.011922408325972203,0.922,-0.5358837934533665,0.5369428582073514,shared pooled delta with human_r=0.132428 and llm_r=0.120506
human_pooled_benchmark_z,file_bytes,36,0.1256454991429283,0.46528706449135193,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,file_bytes,59,0.5572115149782062,4.565657361687439e-06,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,file_bytes,36,0.1256454991429283,0.46528706449135193,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,file_bytes,36,0.5995481032543342,0.00011144680501686577,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,file_bytes,36,0.47390260411140583,0.002,0.18404005133736293,0.8039394996665216,shared pooled delta with human_r=0.125645 and llm_r=0.599548
human_pooled_benchmark_z,total_lines,36,0.14733777280252267,0.3911565776784437,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,total_lines,59,0.5440005818264633,8.45990426577604e-06,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,total_lines,36,0.14733777280252267,0.3911565776784437,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,total_lines,36,0.5882839379233337,0.00016101763447051782,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,total_lines,36,0.440946165120811,0.008,0.13102045902839984,0.7976042307674511,shared pooled delta with human_r=0.147338 and llm_r=0.588284
human_pooled_benchmark_z,nonblank_lines,36,0.14934223820429166,0.3846721402223715,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,nonblank_lines,59,0.5527618331425339,5.6364026991914715e-06,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,nonblank_lines,36,0.14934223820429166,0.3846721402223715,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,nonblank_lines,36,0.5986352074457418,0.00011487934011829661,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,nonblank_lines,36,0.4492929692414502,0.008,0.13814011518169608,0.7954970066075274,shared pooled delta with human_r=0.149342 and llm_r=0.598635
human_pooled_benchmark_z,comment_lines,36,0.2118744453534645,0.21478160483455833,,,human pooled benchmark-z correlation
llm_pooled_benchmark_z,comment_lines,59,0.5476101511491818,7.16649135727283e-06,,,llm pooled benchmark-z correlation
shared_human_pooled_benchmark_z,comment_lines,36,0.2118744453534645,0.21478160483455833,,,shared pooled human benchmark-z correlation
shared_llm_pooled_benchmark_z,comment_lines,36,0.6015727578510203,0.00010416117224354506,,,shared pooled llm benchmark-z correlation
shared_delta_pooled_benchmark_z,comment_lines,36,0.38969831249755577,0.002,0.16289514438230362,0.6618238426611637,shared pooled delta with human_r=0.211874 and llm_r=0.601573
human_pooled_benchmark_z,token_count,36,0.1533404476876729,0.37192702691939417,,,human pooled benchmark-z correlation
