analysis,predictor,n,estimate,p_value,ci_lo,ci_hi,notes
human_pooled_benchmark_z,cyclomatic_complexity,36,0.17523015090150088,0.30938453077346134,,,latent_human_difficulty vs predictor on pooled ARC1 sidecar plus ARC2 eval human tasks
llm_pooled_benchmark_z,cyclomatic_complexity,59,0.5979948512095195,4.999750012499375e-05,,,llm_latent_difficulty vs predictor on pooled ARC1 eval plus ARC2 eval LLM tasks
shared_human_pooled_benchmark_z,cyclomatic_complexity,36,0.17523015090150088,0.30938453077346134,,,latent_human_difficulty vs predictor on the shared pooled ARC1 sidecar plus ARC2 eval tasks
shared_llm_pooled_benchmark_z,cyclomatic_complexity,36,0.6492168660761893,9.99950002499875e-05,,,llm_latent_difficulty vs predictor on the shared pooled ARC1 sidecar plus ARC2 eval tasks
shared_delta_pooled_benchmark_z,cyclomatic_complexity,36,0.4739867151746885,0.01864906754662267,0.18969676581690287,0.7958911019123696,shared pooled delta with human_r=0.175230 and llm_r=0.649217
human_pooled_benchmark_z,structure_pc1,36,0.14066828542884827,0.41727913604319783,,,latent_human_difficulty vs predictor on pooled ARC1 sidecar plus ARC2 eval human tasks
llm_pooled_benchmark_z,structure_pc1,59,0.5889915631540729,4.999750012499375e-05,,,llm_latent_difficulty vs predictor on pooled ARC1 eval plus ARC2 eval LLM tasks
shared_human_pooled_benchmark_z,structure_pc1,36,0.14066828542884827,0.41727913604319783,,,latent_human_difficulty vs predictor on the shared pooled ARC1 sidecar plus ARC2 eval tasks
shared_llm_pooled_benchmark_z,structure_pc1,36,0.6248589292355409,0.00014999250037498125,,,llm_latent_difficulty vs predictor on the shared pooled ARC1 sidecar plus ARC2 eval tasks
shared_delta_pooled_benchmark_z,structure_pc1,36,0.48419064380669263,0.01629918504074796,0.176627657654607,0.8103800391875395,shared pooled delta with human_r=0.140668 and llm_r=0.624859
