"benchmark_a","benchmark_b","correlation"
"GPQA Diamond (Scientific Reasoning)","SciCode (Coding)",0.91851816417597
"GPQA Diamond (Scientific Reasoning)","LiveCodeBench (Coding)",0.908080154559434
"AIME 2025 (Competition Math)","LiveCodeBench (Coding)",0.907738042934985
"GDPval-AA ((ELO-500)/2000)","Terminal-Bench Hard (Agentic Coding & Terminal Use)",0.870135913111334
"AIME 2025 (Competition Math)","GPQA Diamond (Scientific Reasoning)",0.860499417523983
"LiveCodeBench (Coding)","SciCode (Coding)",0.82718375512221
"AA-Omniscience Accuracy (Knowledge)","SciCode (Coding)",0.821655173234053
"AA-Omniscience Accuracy (Knowledge)","Terminal-Bench Hard (Agentic Coding & Terminal Use)",0.807975441919579
"AA-LCR (Long Context Reasoning)","GPQA Diamond (Scientific Reasoning)",0.802695817296846
"AA-LCR (Long Context Reasoning)","SciCode (Coding)",0.787089735679794
"AA-Omniscience Accuracy (Knowledge)","GPQA Diamond (Scientific Reasoning)",0.775775917292141
"CritPt (Physics Reasoning)","Humanity's Last Exam (Reasoning & Knowledge)",0.76205615841775
"IFBench (Instruction Following)","LiveCodeBench (Coding)",0.759963340652763
"AA-LCR (Long Context Reasoning)","IFBench (Instruction Following)",0.756659879344431
"SciCode (Coding)","Terminal-Bench Hard (Agentic Coding & Terminal Use)",0.75239565938722
"AA-LCR (Long Context Reasoning)","LiveCodeBench (Coding)",0.750818658335553
"t2-Bench Telecom (Agentic Tool Use)","Terminal-Bench Hard (Agentic Coding & Terminal Use)",0.749335307271446
"AA-Omniscience Accuracy (Knowledge)","GDPval-AA ((ELO-500)/2000)",0.74754803484665
"AA-LCR (Long Context Reasoning)","Terminal-Bench Hard (Agentic Coding & Terminal Use)",0.747266485420921
"GPQA Diamond (Scientific Reasoning)","IFBench (Instruction Following)",0.745772804844429
"AIME 2025 (Competition Math)","SciCode (Coding)",0.737185484015577
"Humanity's Last Exam (Reasoning & Knowledge)","Terminal-Bench Hard (Agentic Coding & Terminal Use)",0.732309656590754
"GDPval-AA ((ELO-500)/2000)","SciCode (Coding)",0.729900525096501
"GPQA Diamond (Scientific Reasoning)","Terminal-Bench Hard (Agentic Coding & Terminal Use)",0.728636076969389
"AIME 2025 (Competition Math)","IFBench (Instruction Following)",0.728016672305898
"IFBench (Instruction Following)","t2-Bench Telecom (Agentic Tool Use)",0.727559172558448
"AA-Omniscience Accuracy (Knowledge)","Humanity's Last Exam (Reasoning & Knowledge)",0.725959504852274
"AA-LCR (Long Context Reasoning)","AA-Omniscience Accuracy (Knowledge)",0.72515286611028
"AA-LCR (Long Context Reasoning)","GDPval-AA ((ELO-500)/2000)",0.721663844492031
"IFBench (Instruction Following)","SciCode (Coding)",0.705875627038968
"GDPval-AA ((ELO-500)/2000)","t2-Bench Telecom (Agentic Tool Use)",0.70436052397561
"AA-LCR (Long Context Reasoning)","AIME 2025 (Competition Math)",0.699587422438832
"AIME 2025 (Competition Math)","Humanity's Last Exam (Reasoning & Knowledge)",0.69760701340879
"GDPval-AA ((ELO-500)/2000)","GPQA Diamond (Scientific Reasoning)",0.69398883427349
"GPQA Diamond (Scientific Reasoning)","t2-Bench Telecom (Agentic Tool Use)",0.692260291504079
"Humanity's Last Exam (Reasoning & Knowledge)","LiveCodeBench (Coding)",0.687330090945082
"SciCode (Coding)","t2-Bench Telecom (Agentic Tool Use)",0.685255681932581
"GDPval-AA ((ELO-500)/2000)","Humanity's Last Exam (Reasoning & Knowledge)",0.684721765820341
"AA-Omniscience Accuracy (Knowledge)","LiveCodeBench (Coding)",0.675295918477084
"AA-LCR (Long Context Reasoning)","t2-Bench Telecom (Agentic Tool Use)",0.671636192325148
"Humanity's Last Exam (Reasoning & Knowledge)","IFBench (Instruction Following)",0.671580897244154
"AA-LCR (Long Context Reasoning)","Humanity's Last Exam (Reasoning & Knowledge)",0.663345889840223
"GPQA Diamond (Scientific Reasoning)","Humanity's Last Exam (Reasoning & Knowledge)",0.660715811962755
"LiveCodeBench (Coding)","Terminal-Bench Hard (Agentic Coding & Terminal Use)",0.660639426770256
"IFBench (Instruction Following)","Terminal-Bench Hard (Agentic Coding & Terminal Use)",0.64850845531209
"LiveCodeBench (Coding)","t2-Bench Telecom (Agentic Tool Use)",0.648197217660325
"Humanity's Last Exam (Reasoning & Knowledge)","t2-Bench Telecom (Agentic Tool Use)",0.637102436990597
"GDPval-AA ((ELO-500)/2000)","LiveCodeBench (Coding)",0.633642355552249
"AA-Omniscience Accuracy (Knowledge)","t2-Bench Telecom (Agentic Tool Use)",0.624938659996962
"AIME 2025 (Competition Math)","t2-Bench Telecom (Agentic Tool Use)",0.620011814008851
"AA-Omniscience Accuracy (Knowledge)","CritPt (Physics Reasoning)",0.616912494368189
"Humanity's Last Exam (Reasoning & Knowledge)","SciCode (Coding)",0.615542175265594
"GDPval-AA ((ELO-500)/2000)","IFBench (Instruction Following)",0.610409619681431
"CritPt (Physics Reasoning)","Terminal-Bench Hard (Agentic Coding & Terminal Use)",0.606744130267269
"AA-Omniscience Accuracy (Knowledge)","IFBench (Instruction Following)",0.606595068282577
"AIME 2025 (Competition Math)","Terminal-Bench Hard (Agentic Coding & Terminal Use)",0.591281291215411
"AIME 2025 (Competition Math)","GDPval-AA ((ELO-500)/2000)",0.582034634420797
"AA-Omniscience Accuracy (Knowledge)","AIME 2025 (Competition Math)",0.570699655085712
"CritPt (Physics Reasoning)","GDPval-AA ((ELO-500)/2000)",0.539259943516396
"CritPt (Physics Reasoning)","IFBench (Instruction Following)",0.476072567732435
"CritPt (Physics Reasoning)","LiveCodeBench (Coding)",0.446761609024304
"CritPt (Physics Reasoning)","t2-Bench Telecom (Agentic Tool Use)",0.446455953529542
"AA-LCR (Long Context Reasoning)","CritPt (Physics Reasoning)",0.445687432900824
"CritPt (Physics Reasoning)","GPQA Diamond (Scientific Reasoning)",0.435058306124498
"CritPt (Physics Reasoning)","SciCode (Coding)",0.43456871654625
"AIME 2025 (Competition Math)","CritPt (Physics Reasoning)",0.425917336979636
"AA-Omniscience Non-Hallucination Rate (1 - Hallucination Rate)","Terminal-Bench Hard (Agentic Coding & Terminal Use)",0.3396124591041
"AA-Omniscience Non-Hallucination Rate (1 - Hallucination Rate)","GDPval-AA ((ELO-500)/2000)",0.300073050352692
"AA-LCR (Long Context Reasoning)","AA-Omniscience Non-Hallucination Rate (1 - Hallucination Rate)",0.279023630743198
"AA-Omniscience Non-Hallucination Rate (1 - Hallucination Rate)","SciCode (Coding)",0.237042686892612
"AA-Omniscience Non-Hallucination Rate (1 - Hallucination Rate)","t2-Bench Telecom (Agentic Tool Use)",0.202203938468972
