Model,Type,V1_Accuracy,V1_Solved,V1_Total,V2_Accuracy,V2_Solved
gemini-3-deep-think-preview,Thinking,96.0,357,372,32.5,39.0
gemini-3-pro-preview,Thinking,85.5,318,372,17.5,21.0
gpt-5-pro-2025-10-06,Thinking,77.2,287,372,8.3,10.0
gpt-5-1-2025-11-13-thinking-high,Thinking,72.3,269,372,8.3,10.0
claude-sonnet-4-5-20250929-thinking-32k,Thinking,69.4,258,372,7.5,9.0
gpt-5-1-2025-11-13-thinking-medium,Thinking,65.3,243,372,5.0,6.0
claude-sonnet-4-5-20250929-thinking-16k,Thinking,59.7,222,372,4.2,5.0
claude-haiku-4-5-20251001-thinking-32k,Thinking,59.4,221,372,3.3,4.0
grok-4-fast-reasoning,Thinking,50.0,186,372,3.3,4.0
claude-sonnet-4-5-20250929-thinking-8k,Thinking,49.2,183,372,4.2,5.0
claude-haiku-4-5-20251001-thinking-16k,Thinking,44.4,165,372,1.7,2.0
gpt-5-1-2025-11-13-thinking-low,Thinking,37.4,139,372,0.8,1.0
claude-haiku-4-5-20251001-thinking-8k,Thinking,36.3,135,372,1.7,2.0
claude-sonnet-4-5-20250929-thinking-1k,Thinking,31.7,118,372,1.7,2.0
claude-sonnet-4-5-20250929,Standard,30.4,113,372,2.5,3.0
claude-haiku-4-5-20251001,Standard,23.4,87,372,0.0,0.0
claude-haiku-4-5-20251001-thinking-1k,Thinking,23.1,86,372,0.0,0.0
qwen3-235b-a22b-instruct-2507,Standard,16.1,60,372,0.0,0.0
gpt-4-5-2025-02-27,Standard,13.7,51,372,,
gpt-4-1-2025-04-14,Standard,9.9,37,372,0.0,0.0
gpt-5-1-2025-11-13-thinking-none,Standard,9.7,36,372,0.0,0.0
QwQ-32B-Fireworks,Standard,6.7,25,372,,
gpt-4-1-mini-2025-04-14,Standard,5.1,19,372,0.0,0.0
gpt-4-1-nano-2025-04-14,Standard,0.0,0,372,0.0,0.0
