Model,Score,Outfit_MSQ,P_Misfit,P_Consistency
gemini-3-deep-think-preview,0.9597,0.3512,1.0,1.0
gemini-3-pro-preview,0.8548,0.5361,1.0,1.0
gpt-5-pro-2025-10-06,0.7715,0.6395,1.0,1.0
gpt-5-1-2025-11-13-thinking-high,0.7231,0.6959,1.0,1.0
claude-sonnet-4-5-20250929-thinking-32k,0.6935,0.6644,1.0,1.0
gpt-5-1-2025-11-13-thinking-medium,0.6532,0.6795,1.0,1.0
claude-sonnet-4-5-20250929-thinking-16k,0.5968,0.6991,1.0,1.0
claude-haiku-4-5-20251001-thinking-32k,0.5941,0.6853,1.0,1.0
grok-4-fast-reasoning,0.5,0.7763,1.0,1.0
claude-sonnet-4-5-20250929-thinking-8k,0.4919,0.6931,1.0,1.0
claude-haiku-4-5-20251001-thinking-16k,0.4435,0.6807,1.0,1.0
gpt-5-1-2025-11-13-thinking-low,0.3737,0.6966,1.0,1.0
claude-haiku-4-5-20251001-thinking-8k,0.3629,0.6266,1.0,1.0
claude-sonnet-4-5-20250929-thinking-1k,0.3172,0.5892,1.0,1.0
claude-sonnet-4-5-20250929,0.3038,0.6203,1.0,1.0
claude-haiku-4-5-20251001,0.2339,0.5512,1.0,1.0
claude-haiku-4-5-20251001-thinking-1k,0.2312,0.5522,1.0,1.0
qwen3-235b-a22b-instruct-2507,0.1613,0.5255,1.0,1.0
gpt-4-5-2025-02-27,0.1371,0.4358,1.0,1.0
gpt-4-1-2025-04-14,0.0995,0.3569,1.0,1.0
gpt-5-1-2025-11-13-thinking-none,0.0968,0.3474,1.0,1.0
QwQ-32B-Fireworks,0.0672,0.3106,1.0,1.0
gpt-4-1-mini-2025-04-14,0.0511,0.2798,1.0,1.0
gpt-4-1-nano-2025-04-14,0.0,0.0989,1.0,1.0
