system,difficulty_bin,mean_success
Human,"(0.132, 0.381]",0.30530421958993387
Human,"(0.381, 0.556]",0.5009148557535654
Human,"(0.556, 0.778]",0.717111111111111
Human,"(0.778, 1.0]",0.9020299145299144
LLM average,"(0.132, 0.381]",0.0641025641025641
LLM average,"(0.381, 0.556]",0.06699751861042184
LLM average,"(0.556, 0.778]",0.11794871794871793
LLM average,"(0.778, 1.0]",0.1952662721893491
gpt-5-2-2025-12-11-thinking-xhigh,"(0.132, 0.381]",0.32142857142857145
gpt-5-2-2025-12-11-thinking-xhigh,"(0.381, 0.556]",0.3870967741935484
gpt-5-2-2025-12-11-thinking-xhigh,"(0.556, 0.778]",0.76
gpt-5-2-2025-12-11-thinking-xhigh,"(0.778, 1.0]",0.5384615384615384
TRM 651522 pass@2,"(0.132, 0.381]",0.07142857142857142
TRM 651522 pass@2,"(0.381, 0.556]",0.06451612903225806
TRM 651522 pass@2,"(0.556, 0.778]",0.24
TRM 651522 pass@2,"(0.778, 1.0]",0.07692307692307693
TRM 361957 pass@2,"(0.132, 0.381]",0.0
TRM 361957 pass@2,"(0.381, 0.556]",0.0
TRM 361957 pass@2,"(0.556, 0.778]",0.16
TRM 361957 pass@2,"(0.778, 1.0]",0.038461538461538464
VARC ARC-2_ViT pass@2,"(0.132, 0.381]",0.0
VARC ARC-2_ViT pass@2,"(0.381, 0.556]",0.0
VARC ARC-2_ViT pass@2,"(0.556, 0.778]",0.12
VARC ARC-2_ViT pass@2,"(0.778, 1.0]",0.038461538461538464
