left_outcome,right_outcome,n,pearson_r,spearman_rho
log1p_two_pl_discrimination,log1p_two_pl_max_info,55,0.9980267533128582,1.0
thinking_advantage,abs_thinking_advantage,56,0.9960961272972372,0.9952110556201683
latent_difficulty_prev_intersection22,rasch_difficulty_all_models_pooled,55,0.9909232241394522,0.9919143459680831
rasch_difficulty_all_models_pooled,two_pl_difficulty_all_models,55,0.9892406248585514,0.9949463792236883
response_sd_all,binary_entropy_bits,56,0.9888306764194936,0.998730717951018
pc1_discrimination,item_total_corr,55,0.9848559036385773,0.9854967890901222
fail_rate_all,logit_difficulty_all,56,0.979436075259754,0.9999144232727499
thinking_logit_advantage,abs_thinking_logit_advantage,56,0.9782013576179808,0.9907641786960389
two_pl_info_theta0,log1p_two_pl_info_theta0,55,0.975823479795806,0.9999999999999998
latent_difficulty_prev_intersection22,two_pl_difficulty_all_models,55,0.974570831577719,0.9874539916308106
rasch_difficulty_all_models_pooled,logit_difficulty_all,55,0.9697495423230861,0.9695809476339541
latent_difficulty_prev_intersection22,fail_rate_all,56,0.9674921624534839,0.9674499521645389
rasch_difficulty_all_models_pooled,fail_rate_all,55,0.9673313281028714,0.9692733156216552
two_pl_discrimination,two_pl_max_info,55,0.9672228094097006,1.0
thinking_advantage,thinking_logit_advantage,56,0.9594572416147045,0.9588834918245878
abs_thinking_advantage,abs_thinking_logit_advantage,56,0.9559026005130802,0.9536840664979134
two_pl_difficulty_all_models,logit_difficulty_all,55,0.9557069847390587,0.9589835492249696
latent_difficulty_prev_intersection22,logit_difficulty_all,56,0.9546245853540558,0.9680504670743562
two_pl_discrimination,log1p_two_pl_max_info,55,0.9533084404366254,1.0
thinking_advantage,abs_thinking_logit_advantage,56,0.9504303864980628,0.9494424300472053
abs_thinking_advantage,thinking_logit_advantage,56,0.9481504732800169,0.9532051720599302
two_pl_difficulty_all_models,fail_rate_all,55,0.9453307551852731,0.9588925552479078
rasch_abs_z_infit,rasch_abs_z_misfit,55,0.9429810189380242,0.9177429828991993
two_pl_discrimination,log1p_two_pl_discrimination,55,0.942034952709189,1.0
rasch_outfit,rasch_rmsea_x2,55,0.932281343245722,0.6093653564105069
two_pl_max_info,log1p_two_pl_max_info,55,0.8545295271884693,1.0
log1p_two_pl_discrimination,two_pl_max_info,55,0.8410073777875984,1.0
response_sd_all,pc1_discrimination,55,0.7262694682901635,0.650978347624616
binary_entropy_bits,pc1_discrimination,55,0.725426030212333,0.6536074794093648
binary_entropy_bits,thinking_advantage,56,0.7195267277656858,0.7166424891631422
binary_entropy_bits,abs_thinking_advantage,56,0.7110480538188965,0.7165397299877532
logit_difficulty_all,pc1_difficulty_z,55,0.7088535832011169,0.6862726024141189
