complexity_metric,target_metric,target_label,n,nonzero_count,pearson_r,spearman_rho,abs_pearson_r
dsl_distinct_function_count_dynamic,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.3173423563301625,0.3072706967231277,0.3173423563301625
bundle_distinct_function_count_dynamic,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.3173423563301625,0.3072706967231277,0.3173423563301625
dsl_complexity_pc1,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.2807736157913128,0.24792455578802455,0.2807736157913128
gzip_bytes,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.25518876867879287,0.2307253039866103,0.25518876867879287
halstead_vocabulary,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.2530742000684572,0.2275532816145952,0.2530742000684572
halstead_distinct_operands,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.25287936371252057,0.2276271483120606,0.25287936371252057
name_load_count,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.2463197113357375,0.2313156507711329,0.2463197113357375
halstead_total_operators,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.2463197113357375,0.2313156507711329,0.2463197113357375
halstead_total_operands,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.2463197113357375,0.2313156507711329,0.2463197113357375
halstead_length,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.2463197113357375,0.2313156507711329,0.2463197113357375
mean_line_length,gpt_failure,GPT-4o failure rate,391,391,0.3370273748739748,0.31114958832876577,0.3370273748739748
dsl_distinct_function_count_dynamic,gpt_failure,GPT-4o failure rate,391,391,0.33622246362639213,0.33148091579446676,0.33622246362639213
bundle_distinct_function_count_dynamic,gpt_failure,GPT-4o failure rate,391,391,0.33622246362639213,0.33148091579446676,0.33622246362639213
dsl_complexity_pc1,gpt_failure,GPT-4o failure rate,391,391,0.3307840482911558,0.2942649230495063,0.3307840482911558
max_fan_in,gpt_failure,GPT-4o failure rate,391,377,0.258394527224406,0.2131508016554123,0.258394527224406
gzip_bytes,gpt_failure,GPT-4o failure rate,391,391,0.25745471711333406,0.28171802982477556,0.25745471711333406
halstead_vocabulary,gpt_failure,GPT-4o failure rate,391,391,0.25528787667589503,0.2798859181547469,0.25528787667589503
halstead_distinct_operands,gpt_failure,GPT-4o failure rate,391,391,0.2544529205972529,0.2799424968480853,0.2544529205972529
object_op_count,gpt_failure,GPT-4o failure rate,391,268,0.24273521919076424,0.2794344422109448,0.24273521919076424
input_cells_total,gpt_failure,GPT-4o failure rate,391,391,0.2391630851548111,0.3369608981671405,0.2391630851548111
prim_branch_count,human_difficulty_complete,Human latent difficulty (complete participants),50,50,0.3237860995786504,0.1946891843829338,0.3237860995786504
prim_lbind_count,human_difficulty_complete,Human latent difficulty (complete participants),95,95,0.28545485763983197,0.153155201767144,0.28545485763983197
prim_sfilter_count,human_difficulty_complete,Human latent difficulty (complete participants),64,64,0.2732295470180795,0.2173784803088641,0.2732295470180795
solver_opcode_count_dynamic,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.2717107269011744,0.26557630252894776,0.2717107269011744
bundle_opcode_count_dynamic,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.2717107269011744,0.26557630252894776,0.2717107269011744
prim_fork_count,human_difficulty_complete,Human latent difficulty (complete participants),101,101,0.2709616477524473,0.29438184830901365,0.2709616477524473
halstead_difficulty,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.2696333928362271,0.265110985056982,0.2696333928362271
prim_compose_count,human_difficulty_complete,Human latent difficulty (complete participants),124,124,0.25785132847248426,0.31363896211904724,0.25785132847248426
prim_chain_count,human_difficulty_complete,Human latent difficulty (complete participants),56,56,0.23728278280408885,0.346951809460962,0.23728278280408885
train_pairs,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.2361243104223998,0.292588429504406,0.2361243104223998
dsl_complexity_pc1,icecuber_failure,IceCuber failure rate,391,391,0.4153997481588446,0.4027171446012747,0.4153997481588446
halstead_vocabulary,icecuber_failure,IceCuber failure rate,391,391,0.40956613930568964,0.4170554950863641,0.40956613930568964
halstead_distinct_operands,icecuber_failure,IceCuber failure rate,391,391,0.40919993764634,0.41689735848219495,0.40919993764634
gzip_bytes,icecuber_failure,IceCuber failure rate,391,391,0.40839571868303487,0.41582903716740327,0.40839571868303487
name_load_count,icecuber_failure,IceCuber failure rate,391,391,0.3953574420666335,0.4213859974195938,0.3953574420666335
halstead_total_operators,icecuber_failure,IceCuber failure rate,391,391,0.3953574420666335,0.4213859974195938,0.3953574420666335
halstead_total_operands,icecuber_failure,IceCuber failure rate,391,391,0.3953574420666335,0.4213859974195938,0.3953574420666335
halstead_length,icecuber_failure,IceCuber failure rate,391,391,0.3953574420666335,0.4213859974195938,0.3953574420666335
named_call_count,icecuber_failure,IceCuber failure rate,391,391,0.39508487695514055,0.4178586457465897,0.39508487695514055
token_count,icecuber_failure,IceCuber failure rate,391,391,0.3943283279273475,0.42048758115163537,0.3943283279273475
dsl_distinct_function_count_dynamic,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.36212867855962133,0.35154539729111944,0.36212867855962133
bundle_distinct_function_count_dynamic,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.36212867855962133,0.35154539729111944,0.36212867855962133
dsl_complexity_pc1,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.33763234518936985,0.29686677423657815,0.33763234518936985
mean_line_length,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.31042811010031907,0.273964684340505,0.31042811010031907
gzip_bytes,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.28452014753810245,0.28039436973373266,0.28452014753810245
halstead_vocabulary,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.2821451991522177,0.27631296232788877,0.2821451991522177
halstead_distinct_operands,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.2815976496863207,0.27637561291971896,0.2815976496863207
name_load_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.2665032006399745,0.28262666006256637,0.2665032006399745
halstead_total_operators,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.2665032006399745,0.28262666006256637,0.2665032006399745
halstead_total_operands,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.2665032006399745,0.28262666006256637,0.2665032006399745
