complexity_metric,target_metric,target_label,n,nonzero_count,pearson_r,spearman_rho
dsl_complexity_pc1,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.19260029497993006,0.1752313634483894
dsl_complexity_pc1,gpt_failure,GPT-4o failure rate,391,391,0.3307840482911558,0.2942649230495063
dsl_complexity_pc1,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.2807736157913128,0.24792455578802455
dsl_complexity_pc1,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.33763234518936985,0.29686677423657815
dsl_complexity_pc1,icecuber_failure,IceCuber failure rate,391,391,0.4153997481588446,0.4027171446012747
source_bytes,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.21630049828804143,0.1954727960449895
source_bytes,gpt_failure,GPT-4o failure rate,391,391,0.2276618226188334,0.28390494907453356
source_bytes,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.24609069114396503,0.23586907388600722
source_bytes,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.2637101274828658,0.28685314515237165
source_bytes,icecuber_failure,IceCuber failure rate,391,391,0.3920606717178017,0.42085595012413834
total_lines,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.2203887893795104,0.20246838927294386
total_lines,gpt_failure,GPT-4o failure rate,391,391,0.22263944423906562,0.2716395353440501
total_lines,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.24428118958607453,0.2331731328665894
total_lines,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.26003853358429835,0.28208044105269936
total_lines,icecuber_failure,IceCuber failure rate,391,391,0.3847029796454672,0.41289108263965185
nonblank_lines,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.2203887893795104,0.20246838927294386
nonblank_lines,gpt_failure,GPT-4o failure rate,391,391,0.22263944423906562,0.2716395353440501
nonblank_lines,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.24428118958607453,0.2331731328665894
nonblank_lines,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.26003853358429835,0.28208044105269936
nonblank_lines,icecuber_failure,IceCuber failure rate,391,391,0.3847029796454672,0.41289108263965185
comment_lines,human_difficulty_complete,Human latent difficulty (complete participants),391,0,,
comment_lines,gpt_failure,GPT-4o failure rate,391,0,,
comment_lines,claude_failure,Claude 3.5 Sonnet failure rate,391,0,,
comment_lines,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,0,,
comment_lines,icecuber_failure,IceCuber failure rate,391,0,,
token_count,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.21380361222518698,0.19175259071286785
token_count,gpt_failure,GPT-4o failure rate,391,391,0.23176576827836992,0.28141680961148036
token_count,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.24618259476857793,0.23154043761711587
token_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.26588810220178677,0.2826436464666328
token_count,icecuber_failure,IceCuber failure rate,391,391,0.3943283279273475,0.42048758115163537
ast_node_count,human_difficulty_complete,Human latent difficulty (complete participants),391,391,0.21450835207691346,0.19272754265015532
ast_node_count,gpt_failure,GPT-4o failure rate,391,391,0.23092292979679835,0.28036221130238165
ast_node_count,claude_failure,Claude 3.5 Sonnet failure rate,391,391,0.24605715665134262,0.23169794924514753
ast_node_count,llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,391,391,0.2653776218362712,0.2825071232110136
ast_node_count,icecuber_failure,IceCuber failure rate,391,391,0.3934773963780565,0.41973577476492074
