target_metric,target_label,model,train_pearson_r,train_spearman_rho,loo_pearson_r,loo_spearman_rho,n
human_difficulty_complete,Human latent difficulty (complete participants),ridge,0.6266167605886888,0.594760847482806,0.35862519279664135,0.3649827154942245,391
human_difficulty_complete,Human latent difficulty (complete participants),pcr_1,0.1926002949799298,0.1752313634483894,0.16860164392758545,0.15393147225445364,391
human_difficulty_complete,Human latent difficulty (complete participants),pls_1,0.32139125212077235,0.31502928930769636,0.25853599373914715,0.2589186845306685,391
human_difficulty_complete,Human latent difficulty (complete participants),pcr_2,0.24148627012464638,0.26299409395865375,0.21780590854846585,0.24034978539910953,391
human_difficulty_complete,Human latent difficulty (complete participants),pls_2,0.5652705785397625,0.5528466235992726,0.37506900873195287,0.37833936250085326,391
human_difficulty_complete,Human latent difficulty (complete participants),pcr_3,0.3290806704191243,0.35302508963451606,0.30577763345084896,0.3221241673927096,391
human_difficulty_complete,Human latent difficulty (complete participants),pls_3,0.644748143910164,0.6291762858989751,0.33732182473266553,0.35004577081668786,391
human_difficulty_complete,Human latent difficulty (complete participants),pcr_4,0.34192962730675996,0.34753018264161856,0.3137828814324512,0.33021395849309626,391
human_difficulty_complete,Human latent difficulty (complete participants),pls_4,0.680466888928686,0.6457397005624994,0.2976060220351738,0.3101577085683772,391
human_difficulty_complete,Human latent difficulty (complete participants),pcr_5,0.3470815119258528,0.36739873206807816,0.30934117538471284,0.33697639590953443,391
human_difficulty_complete,Human latent difficulty (complete participants),pls_5,0.7109387014082975,0.6848295840075161,0.2535204761565749,0.28406733931030614,391
human_difficulty_complete,Human latent difficulty (complete participants),pcr_6,0.3498871318928946,0.3757137637663762,0.30834934400088415,0.3380206932271237,391
human_difficulty_complete,Human latent difficulty (complete participants),pls_6,0.7316450370200598,0.7045965543407999,0.2175415289169952,0.252294964808666,391
human_difficulty_complete,Human latent difficulty (complete participants),pcr_7,0.3499451328129566,0.37405477241063656,0.30026255621120923,0.3311038796789619,391
human_difficulty_complete,Human latent difficulty (complete participants),pls_7,0.742574365219933,0.7153725704328555,0.20708388051684795,0.23604030240858892,391
human_difficulty_complete,Human latent difficulty (complete participants),pcr_8,0.3742279389592494,0.3864418008005878,0.32209265560253864,0.34104357462048374,391
human_difficulty_complete,Human latent difficulty (complete participants),pls_8,0.7514811517672917,0.7218202331099666,0.2047930499367909,0.23991295514861463,391
gpt_failure,GPT-4o failure rate,ridge,0.6157765228105595,0.5590415688321695,0.43608563540298567,0.39677179164377024,391
gpt_failure,GPT-4o failure rate,pcr_1,0.33078404829115593,0.2942649230495063,0.3168459006805591,0.28224493955406926,391
gpt_failure,GPT-4o failure rate,pls_1,0.39208283202853156,0.35003989319422085,0.3560699569122036,0.3119017212624372,391
gpt_failure,GPT-4o failure rate,pcr_2,0.3538930649652631,0.3257190854674722,0.3313556460050357,0.3031956584503216,391
gpt_failure,GPT-4o failure rate,pls_2,0.5860177590874124,0.5237118042591328,0.44248472672674416,0.40300645598018847,391
gpt_failure,GPT-4o failure rate,pcr_3,0.3951193908438172,0.37812396678169047,0.35955381994978974,0.3415023348236301,391
gpt_failure,GPT-4o failure rate,pls_3,0.6474730255483889,0.5931356341673576,0.4168278466479897,0.39216600357542525,391
gpt_failure,GPT-4o failure rate,pcr_4,0.40272175936444277,0.37396752389074495,0.3753747975848154,0.3567239027080386,391
gpt_failure,GPT-4o failure rate,pls_4,0.6781646523991952,0.6099299101726644,0.37325203093666126,0.3667218329051778,391
gpt_failure,GPT-4o failure rate,pcr_5,0.4133160820315318,0.3771129401325415,0.3734657951657224,0.34060364446883107,391
gpt_failure,GPT-4o failure rate,pls_5,0.7012961049435382,0.622343070698326,0.30882373800176055,0.3244272180824486,391
gpt_failure,GPT-4o failure rate,pcr_6,0.4148756775191775,0.37773078975146585,0.37099021030358703,0.33824458228748366,391
gpt_failure,GPT-4o failure rate,pls_6,0.7209255025660404,0.624982973615548,0.25512913973350376,0.2837614795277926,391
gpt_failure,GPT-4o failure rate,pcr_7,0.42151484264642736,0.37475387795119414,0.37957078258068566,0.33841308672900844,391
gpt_failure,GPT-4o failure rate,pls_7,0.7334915313820531,0.6368344526694603,0.22856272704577615,0.2661808494620367,391
gpt_failure,GPT-4o failure rate,pcr_8,0.43322271465808315,0.38840273771470435,0.38671650129724383,0.3459396184504503,391
gpt_failure,GPT-4o failure rate,pls_8,0.7438285986985071,0.6384633289375334,0.2095967140567843,0.25275666228722626,391
claude_failure,Claude 3.5 Sonnet failure rate,ridge,0.5654827955947612,0.5659914681068247,0.336043891628044,0.32664476863807734,391
claude_failure,Claude 3.5 Sonnet failure rate,pcr_1,0.280773615791313,0.24792455578802453,0.2653275629434251,0.2333667082061654,391
claude_failure,Claude 3.5 Sonnet failure rate,pls_1,0.3322735381698702,0.3012543139330167,0.29125373105646274,0.2576788038310883,391
claude_failure,Claude 3.5 Sonnet failure rate,pcr_2,0.28734401434452966,0.2544927429124996,0.2631766442998922,0.22939638613838567,391
claude_failure,Claude 3.5 Sonnet failure rate,pls_2,0.5421579017263052,0.5352582343228999,0.3417919281441615,0.32556640955793964,391
claude_failure,Claude 3.5 Sonnet failure rate,pcr_3,0.3124345512933555,0.2870395806039287,0.2732820905684879,0.24253276038733595,391
claude_failure,Claude 3.5 Sonnet failure rate,pls_3,0.6105355631053935,0.6261835113072387,0.3201710083432394,0.3261055890980085,391
claude_failure,Claude 3.5 Sonnet failure rate,pcr_4,0.3209318334685828,0.28762777646582205,0.2871414558868471,0.25709060796919503,391
claude_failure,Claude 3.5 Sonnet failure rate,pls_4,0.6449436643624932,0.6471134807262752,0.297017959235697,0.3038031626678877,391
claude_failure,Claude 3.5 Sonnet failure rate,pcr_5,0.3302518937397297,0.29429399623394603,0.28500749903515854,0.25307126957959086,391
claude_failure,Claude 3.5 Sonnet failure rate,pls_5,0.669269570994897,0.6639750954338829,0.27343004184258723,0.2909608863498841,391
claude_failure,Claude 3.5 Sonnet failure rate,pcr_6,0.3321514178449192,0.2973820245088859,0.28240937888038237,0.2519438941776287,391
claude_failure,Claude 3.5 Sonnet failure rate,pls_6,0.6875025662602604,0.6691708255472738,0.25535730412698393,0.2796381160084381,391
claude_failure,Claude 3.5 Sonnet failure rate,pcr_7,0.33489904264995596,0.29669579600334367,0.2820236665981689,0.2503753718792466,391
claude_failure,Claude 3.5 Sonnet failure rate,pls_7,0.6979560309629032,0.6786799919812154,0.2425896106912817,0.2696878026780765,391
claude_failure,Claude 3.5 Sonnet failure rate,pcr_8,0.3420990579755718,0.3139985576073715,0.2856027575547188,0.25836503233663055,391
claude_failure,Claude 3.5 Sonnet failure rate,pls_8,0.706956030193859,0.6829934283017662,0.22540974252859294,0.25184586153397986,391
llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,ridge,0.6630541792891972,0.6173290852837955,0.44737656112871654,0.41260189782736323,391
llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,pcr_1,0.3376323451893701,0.29686677423657815,0.3242365069961789,0.2852176077862765,391
llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,pls_1,0.3951531398986189,0.3499382996448089,0.35956134880308527,0.31390109271603084,391
llm_pooled_difficulty,Pooled GPT+Claude smoothed difficulty,pcr_2,0.3525044241676861,0.3076396041071467,0.33058148429303147,0.285888030527895,391
