task_id,source_bytes,total_lines,nonblank_lines,comment_lines,token_count,ast_node_count,function_count,call_count_static,comprehension_count,branch_node_count,return_count,name_load_count,constant_count,assignment_node_count,cyclomatic_complexity,max_nesting_depth,max_line_length,mean_line_length,gzip_bytes,halstead_distinct_operators,halstead_distinct_operands,halstead_total_operators,halstead_total_operands,halstead_vocabulary,halstead_length,halstead_volume,halstead_difficulty,halstead_effort,dynamic_status,input_cells_total,output_cells_total,elapsed_ms_total,elapsed_ms_per_test,opcode_count_dynamic,branch_opcode_count_dynamic,python_call_count_dynamic,peak_memory_bytes,current_memory_bytes,opcode_per_input_cell,elapsed_ms_per_input_cell,branch_opcode_per_input_cell,python_calls_per_input_cell,distinct_function_count_dynamic,expanded_source_bytes,expanded_function_inventory_count,expanded_constant_count,expanded_function_inventory,expanded_constant_inventory,complexity_pc1_score,log1p_opcode_count_dynamic,log1p_branch_opcode_count_dynamic,log1p_python_call_count_dynamic,log1p_elapsed_ms_total,log1p_elapsed_ms_per_test,log1p_peak_memory_bytes,log1p_ast_node_count,log1p_cyclomatic_complexity
007bbfb7,1496,70,62,1,431,386,6,22,3,6,6,123,8,22,10,3,63,20.371429,560,17.0,51.0,177.0,160.0,68.0,337.0,2051.4749775013643,26.666666666666668,54705.99940003638,ok,54,486,17.0915,17.0915,13055,2332,384,30019,28539,241.75925925925927,0.31650925925925927,43.18518518518518,7.111111111111111,7,1496,5,2,hupscale|vupscale|hconcat|vconcat|cellwise,ZERO|THREE,-3.9500130107153533,9.477003077203888,7.75491027202143,5.953243334287785,2.8954422147092704,2.8954422147092704,10.309619105187453,5.958424693029782,2.3978952727983707
00d62c1b,3955,150,133,1,1107,1007,13,62,10,19,20,290,42,27,41,5,103,25.366667,1374,29.0,128.0,494.0,403.0,157.0,897.0,6543.274811755789,45.65234375,298715.8309569918,ok,1136,1136,442.2868,442.2868,289970,56780,5636,200360,104136,255.25528169014083,0.3893369718309859,49.982394366197184,4.961267605633803,20,3955,12,4,add|merge|sfilter|mfilter|compose|rbind|mostcolor|colorfilter|asindices|toindices|objects|fill,F|T|ZERO|FOUR,2.2174407693168727,12.577536196962324,10.946957041707028,8.637107288081575,6.094216964632736,6.094216964632736,12.207876018475268,6.915723448631314,3.7376696182833684
017c7c7b,1365,70,58,1,397,332,8,13,3,2,8,91,22,11,6,2,87,18.5,591,19.0,54.0,159.0,150.0,73.0,309.0,1912.6557886939254,26.38888888888889,50472.86109053414,ok,72,108,2.8718,2.8718,2246,516,232,14422,12302,31.194444444444443,0.03988611111111111,7.166666666666667,3.2222222222222223,9,1365,7,4,equality|branch|crop|vconcat|replace|tophalf|bottomhalf,ONE|TWO|TWO_BY_ZERO|THREE_BY_THREE,-6.012296909704815,7.717351272185329,6.248042874508429,5.4510384535657,1.353719515187712,1.353719515187712,9.576579433583511,5.808142489980444,1.9459101490553132
025d127b,5310,203,182,1,1524,1387,18,85,14,25,29,401,53,34,51,5,103,25.157635,1625,30.0,147.0,683.0,554.0,177.0,1237.0,9237.428065452668,56.53061224489796,522197.46410824265,ok,298,298,45.9543,45.9543,33528,7487,1029,33086,21790,112.51006711409396,0.1542090604026846,25.124161073825505,3.453020134228188,24,5310,17,3,add|difference|merge|compose|rbind|lbind|apply|mapply|mostcolor|asindices|toindices|shift|objects|fill|paint|cover|move,F|T|RIGHT,1.346941963292265,10.420166014977355,8.921057018157429,6.937314081223682,3.8491747882549197,3.8491747882549197,10.406895734974256,7.23561914106675,3.9512437185814275
045e512c,5456,217,194,1,1538,1377,20,88,12,19,27,417,48,45,44,5,103,24.142857,1739,30.0,169.0,672.0,573.0,199.0,1245.0,9507.597652576842,50.857988165680474,483537.28889880446,ok,1764,1764,176.2235,176.2235,135734,29319,7150,72696,30168,76.94671201814059,0.0998999433106576,16.62074829931973,4.053287981859411,40,5456,19,3,add|difference|merge|maximum|sfilter|totuple|first|interval|product|compose|rbind|lbind|apply|papply|mpapply|mostcolor|asindices|objects|paint,T|ONE|FOUR,2.6334184289122327,11.818459734453343,10.286025156000587,8.875007486048396,5.177411647888081,5.177411647888081,11.194055397195614,7.228388451573604,3.8066624897703196
0520fde7,2582,111,95,1,753,667,13,51,8,8,17,184,29,17,17,2,82,22.261261,877,20.0,81.0,341.0,261.0,101.0,602.0,4008.24331261658,32.22222222222222,129154.50673986757,ok,84,36,3.5555,3.5555,3138,556,244,12766,10606,37.357142857142854,0.04232738095238095,6.619047619047619,2.9047619047619047,11,2582,12,3,ulcorner|lrcorner|toindices|rot90|rot270|vmirror|cellwise|replace|tophalf|bottomhalf|lefthalf|righthalf,ZERO|ONE|TWO,-3.4356926164426422,8.051659556841953,6.322565239927284,5.501258210544727,1.5163352941717763,1.5163352941717763,9.45461899582035,6.504288173536645,2.8903717578961645
05269061,4788,177,157,1,1432,1334,15,70,10,21,24,360,77,37,41,5,126,26.050847,1542,30.0,136.0,665.0,520.0,166.0,1185.0,8739.421726146105,57.352941176470594,501231.5401760267,ok,196,196,177.105,177.105,150611,29703,5756,82366,41774,768.4234693877551,0.9035969387755102,151.54591836734693,29.367346938775512,17,4788,14,5,add|merge|rbind|lbind|apply|mapply|mostcolor|asindices|shift|dneighbors|ineighbors|neighbors|objects|paint,T|THREE|ORIGIN|UP_RIGHT|DOWN_LEFT,2.1386828619691354,11.922462272448447,10.299036995856916,8.65817178467581,5.182373264017211,5.182373264017211,11.31894015024496,7.19668657083435,3.7376696182833684
05f2a901,6407,248,220,1,1804,1695,24,109,19,29,35,483,76,39,61,5,103,24.834677,1889,32.0,153.0,799.0,659.0,185.0,1458.0,10980.754169432783,68.91503267973856,756739.0324346357,ok,436,436,78.5257,78.5257,62682,13274,3458,30750,18718,143.76605504587155,0.18010481651376148,30.44495412844037,7.931192660550459,25,6407,23,4,add|first|mostcolor|height|width|colorfilter|asindices|toindices|shift|objects|uppermost|lowermost|leftmost|rightmost|vmatching|manhattan|adjacent|fill|paint|center|cover|move|gravitate,F|T|TWO|EIGHT,2.5249836691454655,11.045845557481588,9.49363784611014,8.148734808937169,4.376080239859907,4.376080239859907,10.333677793031093,7.4360278163518485,4.127134385045092
06df4c85,4627,184,162,1,1249,1117,20,81,19,9,24,352,32,31,43,2,103,24.146739,1464,25.0,140.0,537.0,470.0,165.0,1007.0,7417.8864697455365,41.964285714285715,311286.30721253593,ok,2134,2134,1380.971,1380.971,942572,156135,86580,329818,81618,441.6925960637301,0.6471279287722587,73.16541705716963,40.571696344892224,38,4627,19,2,difference|merge|argmax|sfilter|mfilter|remove|product|compose|power|fork|apply|mostcolor|colorfilter|ofcolor|toindices|partition|palette|fill|paint,ZERO|TWO,3.287010799081353,13.75636864888583,11.958482701311038,11.36883567094082,7.231266020026404,7.231266020026404,12.70629929812134,7.0192966537150445,3.784189633918261
08ed6ac7,3548,142,125,1,1005,915,13,54,8,15,16,269,37,27,33,5,103,23.985915,1256,28.0,118.0,443.0,370.0,146.0,813.0,5845.3273663694545,43.898305084745765,256599.9640490998,ok,243,243,61.702,61.702,33684,7226,1060,26408,11432,138.6172839506173,0.25391769547325105,29.736625514403293,4.362139917695473,19,3548,12,4,add|order|size|merge|totuple|interval|papply|mpapply|mostcolor|asindices|objects|paint,F|T|ZERO|NEG_ONE,-0.06421469686382379,10.42480791339476,8.885579291282982,6.966967138613983,4.138393345056782,4.138393345056782,10.181460140129015,6.82001636467413,3.5263605246161616
