subset_name,complexity_metric,target_metric,target_label,surface_pearson_r,expanded_pearson_r,pearson_improvement
full_set,nonblank_lines,human_difficulty_complete,Human latent difficulty,0.2203887893795104,0.159549601618165,-0.06083918776134539
full_set,nonblank_lines,gpt_pair_difficulty,GPT pair-level smoothed difficulty,0.22227951734725135,0.30725727265396957,0.08497775530671822
full_set,nonblank_lines,claude_pair_difficulty,Claude pair-level smoothed difficulty,0.24854109816048695,0.2883140174851798,0.039772919324692874
full_set,nonblank_lines,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,0.2618641253037274,0.3299843512395772,0.06812022593584982
full_set,token_count,human_difficulty_complete,Human latent difficulty,0.21380361222518698,0.14891811342597697,-0.06488549879921002
full_set,token_count,gpt_pair_difficulty,GPT pair-level smoothed difficulty,0.23084773519924243,0.31072388616973395,0.07987615097049153
full_set,token_count,claude_pair_difficulty,Claude pair-level smoothed difficulty,0.250074046764585,0.2866664910539491,0.03659244428936409
full_set,token_count,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,0.2673441852632608,0.33067297727764944,0.06332879201438862
full_set,ast_node_count,human_difficulty_complete,Human latent difficulty,0.21450835207691346,0.14321871640154485,-0.07128963567536861
full_set,ast_node_count,gpt_pair_difficulty,GPT pair-level smoothed difficulty,0.23005979904887305,0.3111998340766107,0.08114003502773767
full_set,ast_node_count,claude_pair_difficulty,Claude pair-level smoothed difficulty,0.2499859946660822,0.28480543777824724,0.03481944311216503
full_set,ast_node_count,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,0.2668705775496364,0.32973674932779923,0.06286617177816284
full_set,function_count,human_difficulty_complete,Human latent difficulty,,0.17842268722237442,
full_set,function_count,gpt_pair_difficulty,GPT pair-level smoothed difficulty,,0.2797983980604801,
full_set,function_count,claude_pair_difficulty,Claude pair-level smoothed difficulty,,0.28040313187628185,
full_set,function_count,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,,0.31057675657429257,
