complexity_metric,target_metric,target_label,n,pearson_r,spearman_rho
log1p_cyclomatic_complexity,human_difficulty_complete,Human latent difficulty,391,0.06417602619693141,0.05462545796841193
log1p_cyclomatic_complexity,pooled_pair_difficulty,Pooled GPT+Claude pair difficulty,391,0.3220452302642782,0.29822923367301984
log1p_cyclomatic_complexity,llm4_pair_difficulty,Pooled GPT+Claude+Nemotron+Gemma pair difficulty,391,0.37855736706732906,0.3261386373963304
log1p_cyclomatic_complexity,gpt_pair_difficulty,GPT pair difficulty,391,0.34468489404549413,0.2843629287594922
log1p_cyclomatic_complexity,claude_pair_difficulty,Claude pair difficulty,391,0.2405923704162887,0.2524147521309354
log1p_cyclomatic_complexity,nemotron_pair_difficulty,Nemotron pair difficulty,391,0.38758344774186476,0.28915767057444186
log1p_cyclomatic_complexity,gemma_pair_difficulty,Gemma pair difficulty,390,0.29393150874190216,0.23965923473679357
ast_node_count,human_difficulty_complete,Human latent difficulty,391,0.14321871640154485,0.12712254082744756
ast_node_count,pooled_pair_difficulty,Pooled GPT+Claude pair difficulty,391,0.32973674932779923,0.3081442343674225
ast_node_count,llm4_pair_difficulty,Pooled GPT+Claude+Nemotron+Gemma pair difficulty,391,0.36415828690006585,0.3371982666340022
ast_node_count,gpt_pair_difficulty,GPT pair difficulty,391,0.3111998340766107,0.2892791036266927
ast_node_count,claude_pair_difficulty,Claude pair difficulty,391,0.28480543777824724,0.26007395886469203
ast_node_count,nemotron_pair_difficulty,Nemotron pair difficulty,391,0.3175184822445679,0.28695518921008883
ast_node_count,gemma_pair_difficulty,Gemma pair difficulty,390,0.27343216325156017,0.24299270799684808
complexity_pc1_score,human_difficulty_complete,Human latent difficulty,391,0.12518183293980645,0.13473041390469234
complexity_pc1_score,pooled_pair_difficulty,Pooled GPT+Claude pair difficulty,391,0.3652783352105745,0.32034904791464824
complexity_pc1_score,llm4_pair_difficulty,Pooled GPT+Claude+Nemotron+Gemma pair difficulty,391,0.4182235438524203,0.3470655699299498
complexity_pc1_score,gpt_pair_difficulty,GPT pair difficulty,391,0.3828878541928815,0.3114478741935609
complexity_pc1_score,claude_pair_difficulty,Claude pair difficulty,391,0.2810030689709327,0.27091433775011026
complexity_pc1_score,nemotron_pair_difficulty,Nemotron pair difficulty,391,0.41788073266231185,0.32376828930981866
complexity_pc1_score,gemma_pair_difficulty,Gemma pair difficulty,390,0.3127138367415858,0.2484121748757993
log1p_branch_opcode_count_dynamic,human_difficulty_complete,Human latent difficulty,391,0.11820489387860175,0.10528830438940144
log1p_branch_opcode_count_dynamic,pooled_pair_difficulty,Pooled GPT+Claude pair difficulty,391,0.38206079334639564,0.2944348720312133
log1p_branch_opcode_count_dynamic,llm4_pair_difficulty,Pooled GPT+Claude+Nemotron+Gemma pair difficulty,391,0.43399939440404683,0.3136119180705642
log1p_branch_opcode_count_dynamic,gpt_pair_difficulty,GPT pair difficulty,391,0.38838168095327363,0.31220413334045516
log1p_branch_opcode_count_dynamic,claude_pair_difficulty,Claude pair difficulty,391,0.3045563911204199,0.2485852646235001
log1p_branch_opcode_count_dynamic,nemotron_pair_difficulty,Nemotron pair difficulty,391,0.4325538149253686,0.33743785744019394
log1p_branch_opcode_count_dynamic,gemma_pair_difficulty,Gemma pair difficulty,390,0.3221036740715151,0.22564792463138175
