complexity_metric,target_metric,target_label,n,pearson_r,spearman_rho
complexity_pc1_score,human_difficulty_complete,Human latent difficulty,156,0.13561209392978874,0.14093976703387018
complexity_pc1_score,llm4_pair_difficulty,Pooled GPT+Claude+Nemotron+Gemma pair difficulty,156,0.396189307965589,0.35920181471191287
complexity_pc1_score,llm5_pair_difficulty,Pooled GPT+Claude+Nemotron+Gemma+Gemini pair difficulty,156,0.4930019141533855,0.5251622900938563
complexity_pc1_score,gemini_pair_difficulty,Gemini pair difficulty,156,0.4116437260591603,0.4746004000412539
complexity_pc1_score,complexity_pc1_score,Complexity PC1 self-check,156,1.0,0.9999999999999999
log1p_cyclomatic_complexity,human_difficulty_complete,Human latent difficulty,156,0.04800672870561985,0.044848801537927974
log1p_cyclomatic_complexity,llm4_pair_difficulty,Pooled GPT+Claude+Nemotron+Gemma pair difficulty,156,0.328935350890637,0.3145735133795389
log1p_cyclomatic_complexity,llm5_pair_difficulty,Pooled GPT+Claude+Nemotron+Gemma+Gemini pair difficulty,156,0.4060762330469383,0.45777181748278045
log1p_cyclomatic_complexity,gemini_pair_difficulty,Gemini pair difficulty,156,0.3197474308749788,0.40037195133753417
log1p_cyclomatic_complexity,complexity_pc1_score,Complexity PC1 self-check,156,0.9383962508444553,0.9013143503348303
ast_node_count,human_difficulty_complete,Human latent difficulty,156,0.16294469091164512,0.12535531934210467
ast_node_count,llm4_pair_difficulty,Pooled GPT+Claude+Nemotron+Gemma pair difficulty,156,0.3089742527758397,0.29385244254651294
ast_node_count,llm5_pair_difficulty,Pooled GPT+Claude+Nemotron+Gemma+Gemini pair difficulty,156,0.43246867363620217,0.45857660596229627
ast_node_count,gemini_pair_difficulty,Gemini pair difficulty,156,0.44510241133395223,0.43164763608620205
ast_node_count,complexity_pc1_score,Complexity PC1 self-check,156,0.8713887006532034,0.9304945191955661
log1p_branch_opcode_count_dynamic,human_difficulty_complete,Human latent difficulty,156,0.11975311638475325,0.1051446200823929
log1p_branch_opcode_count_dynamic,llm4_pair_difficulty,Pooled GPT+Claude+Nemotron+Gemma pair difficulty,156,0.47733459528882083,0.38316767681228997
log1p_branch_opcode_count_dynamic,llm5_pair_difficulty,Pooled GPT+Claude+Nemotron+Gemma+Gemini pair difficulty,156,0.5436009779096683,0.517303769291574
log1p_branch_opcode_count_dynamic,gemini_pair_difficulty,Gemini pair difficulty,156,0.3771004130182219,0.42810692232762293
log1p_branch_opcode_count_dynamic,complexity_pc1_score,Complexity PC1 self-check,156,0.905137490235347,0.875585082885863
