task_id,source_bytes_x,total_lines_x,comment_lines_x,comprehension_count_x,return_count_x,name_load_count_x,constant_count_x,assignment_node_count_x,max_line_length_x,mean_line_length_x,halstead_distinct_operators_x,halstead_distinct_operands_x,halstead_total_operators_x,halstead_total_operands_x,halstead_vocabulary_x,halstead_length_x,halstead_difficulty_x,source_line_count,assignment_count,temp_var_count,ast_call_count,named_call_count,closure_call_count,distinct_primitive_count,max_dependency_depth,max_fan_in,higher_order_count,object_op_count,selection_op_count,geometry_op_count,set_op_count,decision_op_count,direct_primitive_names,prim_vmirror_count,prim_hmirror_count,prim_dmirror_count,prim_rot180_count,prim_upscale_count,prim_hconcat_count,prim_replace_count,prim_crop_count,prim_switch_count,prim_rot270_count,prim_vconcat_count,prim_downscale_count,prim_tojvec_count,prim_canvas_count,prim_mostcolor_count,prim_first_count,prim_hsplit_count,prim_objects_count,prim_subgrid_count,prim_delta_count,prim_fill_count,prim_ofcolor_count,prim_move_count,prim_argmin_count,prim_partition_count,prim_argmax_count,prim_colorcount_count,prim_subtract_count,prim_leastcolor_count,prim_bottomhalf_count,prim_frontiers_count,prim_merge_count,prim_decrement_count,prim_numcolors_count,prim_mapply_count,prim_underfill_count,prim_branch_count,prim_portrait_count,prim_rbind_count,prim_vsplit_count,prim_equality_count,prim_compose_count,prim_extract_count,prim_fork_count,prim_cover_count,prim_sizefilter_count,prim_fgpartition_count,prim_paint_count,prim_apply_count,prim_colorfilter_count,prim_mfilter_count,prim_rot90_count,prim_trim_count,prim_color_count,prim_asindices_count,prim_lefthalf_count,prim_tophalf_count,prim_shape_count,prim_last_count,prim_palette_count,prim_compress_count,prim_valmin_count,prim_intersection_count,prim_shift_count,prim_cellwise_count,prim_righthalf_count,prim_combine_count,prim_inbox_count,prim_astuple_count,prim_shoot_count,prim_size_count,prim_lbind_count,prim_matcher_count,prim_sfilter_count,prim_cmirror_count,prim_difference_count,prim_other_count,prim_hupscale_count,prim_vupscale_count,prim_halve_count,prim_height_count,prim_width_count,prim_power_count,prim_gravitate_count,prim_mostcommon_count,prim_totuple_count,prim_dedupe_count,prim_remove_count,prim_backdrop_count,prim_product_count,prim_interval_count,prim_mpapply_count,prim_order_count,prim_chain_count,prim_asobject_count,prim_recolor_count,prim_dneighbors_count,prim_insert_count,prim_toindices_count,prim_greater_count,prim_neighbors_count,prim_lrcorner_count,prim_ulcorner_count,prim_increment_count,prim_sign_count,prim_contained_count,prim_normalize_count,prim_leastcommon_count,prim_add_count,prim_connect_count,prim_pair_count,prim_papply_count,prim_prapply_count,prim_initset_count,prim_valmax_count,prim_index_count,prim_center_count,prim_underpaint_count,prim_urcorner_count,prim_box_count,prim_position_count,prim_repeat_count,prim_divide_count,prim_occurrences_count,prim_hfrontier_count,prim_vfrontier_count,prim_hperiod_count,prim_multiply_count,prim_lowermost_count,prim_toobject_count,prim_double_count,prim_vline_count,prim_invert_count,prim_crement_count,prim_leftmost_count,prim_toivec_count,prim_uppermost_count,prim_positive_count,prim_outbox_count,prim_llcorner_count,prim_maximum_count,prim_minimum_count,prim_vperiod_count,prim_vmatching_count,prim_even_count,prim_rightmost_count,prim_rapply_count,prim_hline_count,prim_corners_count,prim_flip_count,prim_centerofmass_count,prim_both_count,status,train_pairs,test_pairs,example_count,elapsed_ms_per_example,current_memory_bytes_x,solver_opcode_count_dynamic,dsl_opcode_count_dynamic,primitives_opcode_count_dynamic,bundle_opcode_count_dynamic,solver_branch_opcode_count_dynamic,dsl_branch_opcode_count_dynamic,primitives_branch_opcode_count_dynamic,bundle_branch_opcode_count_dynamic,solver_python_call_count_dynamic,dsl_python_call_count_dynamic,primitives_python_call_count_dynamic,bundle_python_call_count_dynamic,solver_distinct_function_count_dynamic,dsl_distinct_function_count_dynamic,primitives_distinct_function_count_dynamic,bundle_distinct_function_count_dynamic,elapsed_ms_per_output_cell,bundle_opcode_per_input_cell,bundle_opcode_per_output_cell,bundle_branch_opcode_per_input_cell,bundle_python_calls_per_example,peak_memory_per_input_cell,dsl_complexity_pc1,human_difficulty_complete,human_difficulty_complete_solve_rate,human_difficulty_complete_n_people,human_difficulty_all,gpt_solved,gpt_solved_pair_mean,claude_solved,claude_solved_pair_mean,icecuber_solved,icecuber_solved_pair_mean,gpt_failure,claude_failure,icecuber_failure,llm_success_count,llm_pooled_difficulty,gpt_pair_successes,claude_pair_successes,icecuber_pair_successes,pooled_pair_successes,gpt_pair_difficulty,claude_pair_difficulty,icecuber_pair_difficulty,pooled_pair_difficulty,llm_pair_mean_rate,llm_pair_failure,human_gpt_pair_gap,human_claude_pair_gap,human_llm_pair_gap,human_ice_pair_gap,source_bytes_y,total_lines_y,nonblank_lines,comment_lines_y,token_count,ast_node_count,function_count,call_count_static,comprehension_count_y,branch_node_count,return_count_y,name_load_count_y,constant_count_y,assignment_node_count_y,cyclomatic_complexity,max_nesting_depth,max_line_length_y,mean_line_length_y,gzip_bytes,halstead_distinct_operators_y,halstead_distinct_operands_y,halstead_total_operators_y,halstead_total_operands_y,halstead_vocabulary_y,halstead_length_y,halstead_volume,halstead_difficulty_y,halstead_effort,dynamic_status,input_cells_total,output_cells_total,elapsed_ms_total,elapsed_ms_per_test,opcode_count_dynamic,branch_opcode_count_dynamic,python_call_count_dynamic,peak_memory_bytes,current_memory_bytes_y,opcode_per_input_cell,elapsed_ms_per_input_cell,branch_opcode_per_input_cell,python_calls_per_input_cell,distinct_function_count_dynamic,expanded_source_bytes,expanded_function_inventory_count,expanded_constant_count,expanded_function_inventory,expanded_constant_inventory,complexity_pc1_score,log1p_opcode_count_dynamic,log1p_branch_opcode_count_dynamic,log1p_python_call_count_dynamic,log1p_elapsed_ms_total,log1p_elapsed_ms_per_test,log1p_peak_memory_bytes,log1p_ast_node_count,log1p_cyclomatic_complexity,nemotron_solved,nemotron_solved_pair_mean,nemotron_status,nemotron_has_artifact,nemotron_error_flag,gemma_solved,gemma_solved_pair_mean,gemma_status,gemma_has_artifact,gemma_error_flag,nemotron_failure,nemotron_pair_successes,nemotron_pair_difficulty,gemma_failure,gemma_pair_successes,gemma_pair_difficulty,llm4_available_models,llm4_success_count,llm4_task_difficulty,llm4_pair_available_models,llm4_pair_successes,llm4_pair_total,llm4_pair_difficulty,llm4_pair_mean_rate,llm4_pair_failure,human_llm4_pair_gap,llm4_common_mask,gemini_solved,gemini_solved_pair_mean,gemini_status,gemini_has_artifact,gemini_error_flag,gemini_failure,gemini_pair_successes,gemini_pair_difficulty,llm5_available_models,llm5_success_count,llm5_task_difficulty,llm5_pair_available_models,llm5_pair_successes,llm5_pair_total,llm5_pair_difficulty,llm5_pair_mean_rate,human_llm5_pair_gap
007bbfb7,220,9,0,0,1,30,0,7,30,23.555556,6.0,17.0,33.0,33.0,23.0,66.0,5.823529411764706,9,7,6,7,7,0,5,5,2,0,0,0,4,0,0,cellwise|hconcat|hupscale|vconcat|vupscale,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,5,1,6,0.170783,33702,165,0,0,165,0,0,0,0,6,378,0,384,1,6,0,7,0.0021084362139917,3.055555555555556,0.3395061728395062,0.0,64.0,652.2592592592592,-3.904910025628156,2.7473948987006165,0.0,10,2.867296391700585,0,0.0,0,0.0,1,1.0,1,1,0,0,1.6094379124341005,0.0,0.0,1.0,0.0,1.0986122886681098,1.0986122886681098,-1.0986122886681098,1.6094379124341005,0.0,1.0,0.0,0.0,0.0,1.0,1496,70,62,1,431,386,6,22,3,6,6,123,8,22,10,3,63,20.371429,560,17.0,51.0,177.0,160.0,68.0,337.0,2051.4749775013643,26.666666666666668,54705.99940003638,ok,54,486,17.0915,17.0915,13055,2332,384,30019,28539,241.75925925925927,0.3165092592592592,43.18518518518518,7.111111111111111,7,1496,5,2,hupscale|vupscale|hconcat|vconcat|cellwise,ZERO|THREE,-3.950013010715353,9.477003077203888,7.75491027202143,5.953243334287785,2.8954422147092704,2.8954422147092704,10.309619105187451,5.958424693029782,2.3978952727983707,0,0.0,ok,1,0,0.0,0.0,ok,1.0,0.0,1.0,0.0,1.0986122886681098,1.0,0.0,1.0986122886681098,4,0.0,2.197224577336219,4,0.0,4,2.197224577336219,0.0,1.0,0.0,1,1,1.0,ok,1,0,0.0,1.0,-1.0986122886681098,5,1.0,1.0986122886681098,5,1.0,5,1.0986122886681098,0.2,0.2
00d62c1b,202,8,0,0,1,28,0,6,30,24.375,6.0,21.0,31.0,31.0,27.0,62.0,4.428571428571429,8,6,5,6,6,0,6,4,2,2,2,0,0,1,0,colorfilter|compose|fill|mfilter|objects|rbind,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,5,1,6,2.262867,58110,170,0,0,170,0,0,0,0,6,5630,0,5636,1,19,0,20,0.0119517605633802,0.1496478873239436,0.1496478873239436,0.0,939.3333333333334,132.01232394366198,-1.6605358368006102,0.4180748603068874,0.6,10,0.4343800362035759,0,0.0,0,0.0,1,1.0,1,1,0,0,1.6094379124341005,0.0,0.0,1.0,0.0,1.0986122886681098,1.0986122886681098,-1.0986122886681098,1.6094379124341005,0.0,1.0,0.6,0.6,0.6,0.4,3955,150,133,1,1107,1007,13,62,10,19,20,290,42,27,41,5,103,25.366667,1374,29.0,128.0,494.0,403.0,157.0,897.0,6543.274811755789,45.65234375,298715.8309569918,ok,1136,1136,442.2868,442.2868,289970,56780,5636,200360,104136,255.25528169014083,0.3893369718309859,49.982394366197184,4.961267605633803,20,3955,12,4,add|merge|sfilter|mfilter|compose|rbind|mostcolor|colorfilter|asindices|toindices|objects|fill,F|T|ZERO|FOUR,2.2174407693168727,12.577536196962324,10.946957041707028,8.637107288081575,6.094216964632736,6.094216964632736,12.207876018475268,6.915723448631314,3.737669618283368,0,0.0,ok,1,0,0.0,0.0,ok,1.0,0.0,1.0,0.0,1.0986122886681098,1.0,0.0,1.0986122886681098,4,0.0,2.197224577336219,4,0.0,4,2.197224577336219,0.0,1.0,0.6,1,0,0.0,error,1,1,1.0,0.0,1.0986122886681098,5,0.0,2.3978952727983707,5,0.0,5,2.3978952727983707,0.0,0.6
017c7c7b,232,9,0,0,1,30,0,7,45,24.888889,6.0,21.0,33.0,33.0,27.0,66.0,4.714285714285714,9,7,6,7,7,0,7,5,3,1,0,0,2,0,2,bottomhalf|branch|crop|equality|replace|tophalf|vconcat,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,3,1,4,0.12605,12793,105,0,0,105,0,0,0,0,4,228,0,232,1,8,0,9,0.0046685185185185,1.4583333333333333,0.9722222222222222,0.0,58.0,199.4583333333333,-3.4301385560403914,0.5272421446431658,0.5555555555555556,9,0.5958148323828225,1,1.0,1,1.0,0,0.0,0,0,1,2,-1.6094379124341007,1.0,1.0,0.0,2.0,-1.0986122886681098,-1.0986122886681098,1.0986122886681098,-1.6094379124341007,1.0,0.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5555555555555556,1365,70,58,1,397,332,8,13,3,2,8,91,22,11,6,2,87,18.5,591,19.0,54.0,159.0,150.0,73.0,309.0,1912.6557886939247,26.38888888888889,50472.86109053414,ok,72,108,2.8718,2.8718,2246,516,232,14422,12302,31.194444444444443,0.0398861111111111,7.166666666666667,3.2222222222222223,9,1365,7,4,equality|branch|crop|vconcat|replace|tophalf|bottomhalf,ONE|TWO|TWO_BY_ZERO|THREE_BY_THREE,-6.012296909704815,7.717351272185329,6.248042874508429,5.4510384535657,1.353719515187712,1.353719515187712,9.576579433583513,5.808142489980444,1.9459101490553128,1,1.0,ok,1,0,0.0,0.0,ok,1.0,0.0,0.0,1.0,-1.0986122886681098,1.0,0.0,1.0986122886681098,4,3.0,-0.8472978603872034,4,3.0,4,-0.8472978603872034,0.75,0.25,0.1944444444444444,1,0,0.0,error,1,1,1.0,0.0,1.0986122886681098,5,3.0,-0.336472236621213,5,3.0,5,-0.336472236621213,0.6,0.0444444444444444
025d127b,279,11,0,0,1,39,0,9,33,24.454545,6.0,28.0,42.0,42.0,34.0,84.0,4.5,11,9,8,9,9,0,9,6,2,3,2,0,0,3,0,apply|compose|difference|lbind|mapply|merge|move|objects|rbind,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,2,1,3,0.7621,19737,90,0,0,90,0,0,0,0,3,1026,0,1029,1,23,0,24,0.0076721476510067,0.3020134228187919,0.3020134228187919,0.0,343.0,103.46644295302012,-0.4785859355276062,0.1107689327027577,0.8461538461538461,13,-0.0599576865310696,1,1.0,1,1.0,1,1.0,0,0,0,2,-1.6094379124341007,1.0,1.0,1.0,2.0,-1.0986122886681098,-1.0986122886681098,-1.0986122886681098,-1.6094379124341007,1.0,0.0,0.1538461538461538,0.1538461538461538,0.1538461538461538,0.1538461538461538,5310,203,182,1,1524,1387,18,85,14,25,29,401,53,34,51,5,103,25.157635,1625,30.0,147.0,683.0,554.0,177.0,1237.0,9237.428065452668,56.53061224489796,522197.46410824265,ok,298,298,45.9543,45.9543,33528,7487,1029,33086,21790,112.51006711409396,0.1542090604026846,25.124161073825505,3.453020134228188,24,5310,17,3,add|difference|merge|compose|rbind|lbind|apply|mapply|mostcolor|asindices|toindices|shift|objects|fill|paint|cover|move,F|T|RIGHT,1.346941963292265,10.420166014977356,8.921057018157429,6.937314081223682,3.84917478825492,3.84917478825492,10.406895734974256,7.23561914106675,3.951243718581428,0,0.0,ok,1,0,1.0,1.0,ok,1.0,0.0,1.0,0.0,1.0986122886681098,0.0,1.0,-1.0986122886681098,4,3.0,-0.8472978603872034,4,3.0,4,-0.8472978603872034,0.75,0.25,0.0961538461538461,1,0,0.0,ok,1,0,1.0,0.0,1.0986122886681098,5,3.0,-0.336472236621213,5,3.0,5,-0.336472236621213,0.6,0.24615384615384617
045e512c,691,26,0,0,1,99,0,24,36,25.615385,6.0,53.0,102.0,102.0,59.0,204.0,5.773584905660377,26,24,23,24,24,0,15,14,2,5,1,1,0,10,0,apply|compose|difference|first|interval|lbind|maximum|mpapply|objects|paint|papply|product|rbind|sfilter|totuple,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,1.0,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,passed,3,1,4,2.991225,24507,360,0,0,360,0,0,0,0,4,7146,0,7150,1,39,0,40,0.0067828231292517,0.2040816326530612,0.2040816326530612,0.0,1787.5,38.01077097505669,7.50113242879623,2.079700474209981,0.125,8,2.1364183185228223,0,0.0,0,0.0,0,0.0,1,1,1,0,1.6094379124341005,0.0,0.0,0.0,0.0,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.6094379124341005,0.0,1.0,0.125,0.125,0.125,0.125,5456,217,194,1,1538,1377,20,88,12,19,27,417,48,45,44,5,103,24.142857,1739,30.0,169.0,672.0,573.0,199.0,1245.0,9507.597652576842,50.85798816568048,483537.28889880446,ok,1764,1764,176.2235,176.2235,135734,29319,7150,72696,30168,76.94671201814059,0.0998999433106576,16.62074829931973,4.053287981859411,40,5456,19,3,add|difference|merge|maximum|sfilter|totuple|first|interval|product|compose|rbind|lbind|apply|papply|mpapply|mostcolor|asindices|objects|paint,T|ONE|FOUR,2.6334184289122327,11.818459734453343,10.286025156000589,8.875007486048396,5.177411647888081,5.177411647888081,11.194055397195614,7.228388451573604,3.80666248977032,0,0.0,ok,1,0,0.0,0.0,ok,1.0,0.0,1.0,0.0,1.0986122886681098,1.0,0.0,1.0986122886681098,4,0.0,2.197224577336219,4,0.0,4,2.197224577336219,0.0,1.0,0.125,1,0,0.0,error,1,1,1.0,0.0,1.0986122886681098,5,0.0,2.3978952727983707,5,0.0,5,2.3978952727983707,0.0,0.125
0520fde7,183,8,0,0,1,23,0,6,31,22.0,6.0,17.0,26.0,26.0,23.0,52.0,4.588235294117647,8,6,5,6,6,0,5,5,2,0,0,0,2,0,0,cellwise|lefthalf|replace|righthalf|vmirror,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,3,1,4,0.124025,8746,87,0,0,87,0,0,0,0,4,240,0,244,1,10,0,11,0.0137805555555555,1.0357142857142858,2.4166666666666665,0.0,61.0,124.78571428571428,-5.599894651577023,0.53259105489435,0.5555555555555556,9,0.5471122011560121,0,0.0,0,0.0,1,1.0,1,1,0,0,1.6094379124341005,0.0,0.0,1.0,0.0,1.0986122886681098,1.0986122886681098,-1.0986122886681098,1.6094379124341005,0.0,1.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4444444444444444,2582,111,95,1,753,667,13,51,8,8,17,184,29,17,17,2,82,22.261261,877,20.0,81.0,341.0,261.0,101.0,602.0,4008.24331261658,32.22222222222222,129154.50673986756,ok,84,36,3.5555,3.5555,3138,556,244,12766,10606,37.35714285714285,0.0423273809523809,6.619047619047619,2.9047619047619047,11,2582,12,3,ulcorner|lrcorner|toindices|rot90|rot270|vmirror|cellwise|replace|tophalf|bottomhalf|lefthalf|righthalf,ZERO|ONE|TWO,-3.4356926164426422,8.051659556841953,6.322565239927284,5.501258210544727,1.5163352941717765,1.5163352941717765,9.45461899582035,6.504288173536645,2.8903717578961645,0,0.0,ok,1,0,0.0,0.0,ok,1.0,0.0,1.0,0.0,1.0986122886681098,1.0,0.0,1.0986122886681098,4,0.0,2.197224577336219,4,0.0,4,2.197224577336219,0.0,1.0,0.5555555555555556,1,0,0.0,error,1,1,1.0,0.0,1.0986122886681098,5,0.0,2.3978952727983707,5,0.0,5,2.3978952727983707,0.0,0.5555555555555556
05269061,378,15,0,0,1,53,0,13,31,24.266667,6.0,31.0,56.0,56.0,37.0,112.0,5.419354838709677,15,13,12,13,13,0,9,7,2,2,2,0,2,3,0,apply|lbind|mapply|merge|neighbors|objects|paint|rbind|shift,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,2.0,,,,1.0,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,3,1,4,1.9574,44666,186,0,0,186,0,0,0,0,4,5752,0,5756,1,16,0,17,0.0399469387755102,0.9489795918367347,0.9489795918367347,0.0,1439.0,431.3163265306122,2.1130479186168976,0.44401736422652,0.5,2,0.1124786438388671,0,0.0,1,1.0,1,1.0,1,0,0,1,-0.0,0.0,1.0,1.0,1.0,1.0986122886681098,-1.0986122886681098,-1.0986122886681098,-0.0,0.5,0.5,0.5,0.5,0.0,0.5,4788,177,157,1,1432,1334,15,70,10,21,24,360,77,37,41,5,126,26.050847,1542,30.0,136.0,665.0,520.0,166.0,1185.0,8739.421726146105,57.352941176470594,501231.5401760267,ok,196,196,177.105,177.105,150611,29703,5756,82366,41774,768.4234693877551,0.9035969387755102,151.54591836734693,29.367346938775512,17,4788,14,5,add|merge|rbind|lbind|apply|mapply|mostcolor|asindices|shift|dneighbors|ineighbors|neighbors|objects|paint,T|THREE|ORIGIN|UP_RIGHT|DOWN_LEFT,2.138682861969136,11.922462272448447,10.299036995856916,8.65817178467581,5.182373264017211,5.182373264017211,11.31894015024496,7.19668657083435,3.737669618283368,0,0.0,ok,1,0,0.0,0.0,ok,1.0,0.0,1.0,0.0,1.0986122886681098,1.0,0.0,1.0986122886681098,4,1.0,0.8472978603872036,4,1.0,4,0.8472978603872036,0.25,0.75,0.25,1,0,0.0,error,1,1,1.0,0.0,1.0986122886681098,5,1.0,1.0986122886681098,5,1.0,5,1.0986122886681098,0.2,0.3
05f2a901,215,9,0,0,1,30,0,7,31,23.0,6.0,19.0,33.0,33.0,25.0,66.0,5.210526315789474,9,7,6,7,7,0,5,5,2,0,3,2,1,0,0,colorfilter|first|gravitate|move|objects,,,,,,,,,,,,,,,,2.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,3,1,4,1.704475,17991,108,0,0,108,0,0,0,0,4,3454,0,3458,1,24,0,25,0.0156373853211009,0.2477064220183486,0.2477064220183486,0.0,864.5,68.47477064220183,-2.0017305905801464,-0.6459684485628001,1.0,4,-0.9120763499854776,0,0.0,0,0.0,0,0.0,1,1,1,0,1.6094379124341005,0.0,0.0,0.0,0.0,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.6094379124341005,0.0,1.0,1.0,1.0,1.0,1.0,6407,248,220,1,1804,1695,24,109,19,29,35,483,76,39,61,5,103,24.834677,1889,32.0,153.0,799.0,659.0,185.0,1458.0,10980.754169432785,68.91503267973856,756739.0324346357,ok,436,436,78.5257,78.5257,62682,13274,3458,30750,18718,143.76605504587155,0.1801048165137614,30.44495412844037,7.931192660550459,25,6407,23,4,add|first|mostcolor|height|width|colorfilter|asindices|toindices|shift|objects|uppermost|lowermost|leftmost|rightmost|vmatching|manhattan|adjacent|fill|paint|center|cover|move|gravitate,F|T|TWO|EIGHT,2.524983669145465,11.045845557481588,9.49363784611014,8.148734808937169,4.376080239859907,4.376080239859907,10.333677793031091,7.436027816351848,4.127134385045092,0,0.0,ok,1,0,0.0,0.0,ok,1.0,0.0,1.0,0.0,1.0986122886681098,1.0,0.0,1.0986122886681098,4,0.0,2.197224577336219,4,0.0,4,2.197224577336219,0.0,1.0,1.0,1,0,0.0,error,1,1,1.0,0.0,1.0986122886681098,5,0.0,2.3978952727983707,5,0.0,5,2.3978952727983707,0.0,1.0
06df4c85,646,24,0,0,1,91,0,22,36,25.958333,6.0,54.0,94.0,94.0,60.0,188.0,5.222222222222222,24,22,21,22,22,0,17,11,3,8,3,2,0,6,0,apply|argmax|colorfilter|compose|difference|fill|fork|merge|mfilter|mostcolor|ofcolor|paint|partition|power|product|remove|sfilter,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,2.0,,4.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,3,1,4,36.827075,95623,318,0,0,318,0,0,0,0,4,86576,0,86580,1,37,0,38,0.0690291940018744,0.1490159325210871,0.1490159325210871,0.0,21645.0,161.28912839737583,8.550355550775222,-1.0505607923062212,1.0,5,-1.2250112492062892,0,0.0,0,0.0,1,1.0,1,1,0,0,1.6094379124341005,0.0,0.0,1.0,0.0,1.0986122886681098,1.0986122886681098,-1.0986122886681098,1.6094379124341005,0.0,1.0,1.0,1.0,1.0,0.0,4627,184,162,1,1249,1117,20,81,19,9,24,352,32,31,43,2,103,24.146739,1464,25.0,140.0,537.0,470.0,165.0,1007.0,7417.886469745536,41.96428571428572,311286.30721253593,ok,2134,2134,1380.971,1380.971,942572,156135,86580,329818,81618,441.6925960637301,0.6471279287722587,73.16541705716963,40.571696344892224,38,4627,19,2,difference|merge|argmax|sfilter|mfilter|remove|product|compose|power|fork|apply|mostcolor|colorfilter|ofcolor|toindices|partition|palette|fill|paint,ZERO|TWO,3.287010799081353,13.75636864888583,11.958482701311038,11.36883567094082,7.231266020026404,7.231266020026404,12.70629929812134,7.0192966537150445,3.784189633918261,0,0.0,ok,1,0,0.0,0.0,ok,1.0,0.0,1.0,0.0,1.0986122886681098,1.0,0.0,1.0986122886681098,4,0.0,2.197224577336219,4,0.0,4,2.197224577336219,0.0,1.0,1.0,1,0,0.0,error,1,1,1.0,0.0,1.0986122886681098,5,0.0,2.3978952727983707,5,0.0,5,2.3978952727983707,0.0,1.0
08ed6ac7,222,9,0,0,1,31,0,7,36,23.777778,6.0,23.0,34.0,34.0,29.0,68.0,4.434782608695652,9,7,6,7,7,0,7,6,2,0,1,1,0,0,0,interval|mpapply|objects|order|paint|size|totuple,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,2,1,3,0.6778,13607,74,0,0,74,0,0,0,0,3,1057,0,1060,1,18,0,19,0.0083679012345679,0.3045267489711934,0.3045267489711934,0.0,353.3333333333333,112.19341563786008,-2.3383434955246747,-0.4163674911023664,0.8,5,-0.5127435460642391,1,1.0,1,1.0,0,0.0,0,0,1,2,-1.6094379124341007,1.0,1.0,0.0,2.0,-1.0986122886681098,-1.0986122886681098,1.0986122886681098,-1.6094379124341007,1.0,0.0,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.8,3548,142,125,1,1005,915,13,54,8,15,16,269,37,27,33,5,103,23.985915,1256,28.0,118.0,443.0,370.0,146.0,813.0,5845.327366369455,43.898305084745765,256599.9640490998,ok,243,243,61.702,61.702,33684,7226,1060,26408,11432,138.6172839506173,0.253917695473251,29.736625514403293,4.362139917695473,19,3548,12,4,add|order|size|merge|totuple|interval|papply|mpapply|mostcolor|asindices|objects|paint,F|T|ZERO|NEG_ONE,-0.0642146968638237,10.42480791339476,8.885579291282982,6.966967138613983,4.138393345056782,4.138393345056782,10.181460140129015,6.82001636467413,3.5263605246161616,0,0.0,ok,1,0,1.0,1.0,ok,1.0,0.0,1.0,0.0,1.0986122886681098,0.0,1.0,-1.0986122886681098,4,3.0,-0.8472978603872034,4,3.0,4,-0.8472978603872034,0.75,0.25,0.05,1,0,0.0,error,1,1,1.0,0.0,1.0986122886681098,5,3.0,-0.336472236621213,5,3.0,5,-0.336472236621213,0.6,0.20000000000000007
