complexity_metric,target_metric,target_label,n,pearson_r,spearman_rho
complexity_pc1_score,human_difficulty_complete,Human latent difficulty,391,0.12518183293980645,0.13473041390469234
complexity_pc1_score,llm6_pair_difficulty,Pooled LLM difficulty without GPT OSS,391,0.5227677476923415,0.5020479681109483
complexity_pc1_score,llm7_pair_difficulty,Pooled LLM difficulty with GPT OSS,391,0.5560437044835571,0.5404790287355977
complexity_pc1_score,gpt_oss_pair_difficulty,GPT OSS pair difficulty,391,0.4403999335872822,0.4693272892338723
complexity_pc1_score,gemini_pair_difficulty,Gemini pair difficulty,391,0.30452589097340493,0.31588325198905426
complexity_pc1_score,gpt5_nano_pair_difficulty,GPT-5.4 Nano pair difficulty,391,0.44041786604641586,0.4351489883496545
log1p_cyclomatic_complexity,human_difficulty_complete,Human latent difficulty,391,0.06417602619693141,0.05462545796841193
log1p_cyclomatic_complexity,llm6_pair_difficulty,Pooled LLM difficulty without GPT OSS,391,0.4490543099171438,0.43766473457841815
log1p_cyclomatic_complexity,llm7_pair_difficulty,Pooled LLM difficulty with GPT OSS,391,0.4590917973231064,0.4475162104270318
log1p_cyclomatic_complexity,gpt_oss_pair_difficulty,GPT OSS pair difficulty,391,0.32483807333650816,0.3441392234202755
log1p_cyclomatic_complexity,gemini_pair_difficulty,Gemini pair difficulty,391,0.24999183537307143,0.28219874242331683
log1p_cyclomatic_complexity,gpt5_nano_pair_difficulty,GPT-5.4 Nano pair difficulty,391,0.3367044945859782,0.3304256893170894
ast_node_count,human_difficulty_complete,Human latent difficulty,391,0.14321871640154485,0.12712254082744756
ast_node_count,llm6_pair_difficulty,Pooled LLM difficulty without GPT OSS,391,0.46914931311322644,0.468127557520064
ast_node_count,llm7_pair_difficulty,Pooled LLM difficulty with GPT OSS,391,0.5004919716406359,0.4903868146823253
ast_node_count,gpt_oss_pair_difficulty,GPT OSS pair difficulty,391,0.4053362829980971,0.39757473590481507
ast_node_count,gemini_pair_difficulty,Gemini pair difficulty,391,0.3209022899402744,0.30499014360599164
ast_node_count,gpt5_nano_pair_difficulty,GPT-5.4 Nano pair difficulty,391,0.36410248109847065,0.37326471686029034
log1p_branch_opcode_count_dynamic,human_difficulty_complete,Human latent difficulty,391,0.11820489387860175,0.10528830438940144
log1p_branch_opcode_count_dynamic,llm6_pair_difficulty,Pooled LLM difficulty without GPT OSS,391,0.5304615069447376,0.47641905176727234
log1p_branch_opcode_count_dynamic,llm7_pair_difficulty,Pooled LLM difficulty with GPT OSS,391,0.5709930367358543,0.5318342324180627
log1p_branch_opcode_count_dynamic,gpt_oss_pair_difficulty,GPT OSS pair difficulty,391,0.4561904152138492,0.5059105627106143
log1p_branch_opcode_count_dynamic,gemini_pair_difficulty,Gemini pair difficulty,391,0.285714919991064,0.2798196911307496
log1p_branch_opcode_count_dynamic,gpt5_nano_pair_difficulty,GPT-5.4 Nano pair difficulty,391,0.46025957741328416,0.4651810076599147
