metric,category
dsl_complexity_pc1,composite
prim_add_count,dsl_primitive_usage
prim_apply_count,dsl_primitive_usage
prim_argmax_count,dsl_primitive_usage
prim_argmin_count,dsl_primitive_usage
prim_asindices_count,dsl_primitive_usage
prim_asobject_count,dsl_primitive_usage
prim_astuple_count,dsl_primitive_usage
prim_backdrop_count,dsl_primitive_usage
prim_both_count,dsl_primitive_usage
prim_bottomhalf_count,dsl_primitive_usage
prim_box_count,dsl_primitive_usage
prim_branch_count,dsl_primitive_usage
prim_canvas_count,dsl_primitive_usage
prim_cellwise_count,dsl_primitive_usage
prim_center_count,dsl_primitive_usage
prim_centerofmass_count,dsl_primitive_usage
prim_chain_count,dsl_primitive_usage
prim_cmirror_count,dsl_primitive_usage
prim_color_count,dsl_primitive_usage
prim_colorcount_count,dsl_primitive_usage
prim_colorfilter_count,dsl_primitive_usage
prim_combine_count,dsl_primitive_usage
prim_compose_count,dsl_primitive_usage
prim_compress_count,dsl_primitive_usage
prim_connect_count,dsl_primitive_usage
prim_contained_count,dsl_primitive_usage
prim_corners_count,dsl_primitive_usage
prim_cover_count,dsl_primitive_usage
prim_crement_count,dsl_primitive_usage
prim_crop_count,dsl_primitive_usage
prim_decrement_count,dsl_primitive_usage
prim_dedupe_count,dsl_primitive_usage
prim_delta_count,dsl_primitive_usage
prim_difference_count,dsl_primitive_usage
prim_divide_count,dsl_primitive_usage
prim_dmirror_count,dsl_primitive_usage
prim_dneighbors_count,dsl_primitive_usage
prim_double_count,dsl_primitive_usage
prim_downscale_count,dsl_primitive_usage
prim_equality_count,dsl_primitive_usage
prim_even_count,dsl_primitive_usage
prim_extract_count,dsl_primitive_usage
prim_fgpartition_count,dsl_primitive_usage
prim_fill_count,dsl_primitive_usage
prim_first_count,dsl_primitive_usage
prim_flip_count,dsl_primitive_usage
prim_fork_count,dsl_primitive_usage
prim_frontiers_count,dsl_primitive_usage
prim_gravitate_count,dsl_primitive_usage
prim_greater_count,dsl_primitive_usage
prim_halve_count,dsl_primitive_usage
prim_hconcat_count,dsl_primitive_usage
prim_height_count,dsl_primitive_usage
prim_hfrontier_count,dsl_primitive_usage
prim_hline_count,dsl_primitive_usage
prim_hmirror_count,dsl_primitive_usage
prim_hperiod_count,dsl_primitive_usage
prim_hsplit_count,dsl_primitive_usage
prim_hupscale_count,dsl_primitive_usage
prim_inbox_count,dsl_primitive_usage
prim_increment_count,dsl_primitive_usage
prim_index_count,dsl_primitive_usage
prim_initset_count,dsl_primitive_usage
prim_insert_count,dsl_primitive_usage
prim_intersection_count,dsl_primitive_usage
prim_interval_count,dsl_primitive_usage
prim_invert_count,dsl_primitive_usage
prim_last_count,dsl_primitive_usage
prim_lbind_count,dsl_primitive_usage
prim_leastcolor_count,dsl_primitive_usage
prim_leastcommon_count,dsl_primitive_usage
