metric,availability_type,compat_notes,current_n,current_unique_count,current_nonzero_count,current_is_degenerate,current_min,current_max,old_best_outcome,old_best_pearson_r,old_best_spearman_rho,old_n,full_human_pearson_r,full_pooled_pearson_r,gap30_human_pearson_r,gap30_pooled_pearson_r
nonblank_lines,direct,,391,45,391,False,3.0,63.0,latent_difficulty_prev_intersection22,0.6358803641287939,0.5986480098610449,56,0.2203887893795104,0.2618641253037274,0.3271718122364995,0.37330847918241267
token_count,direct,,391,181,391,False,20.0,587.0,latent_difficulty_prev_intersection22,0.6596399437155099,0.6154441599763184,56,0.21380361222518698,0.2673441852632608,0.33906605418234914,0.390748462851729
ast_node_count,direct,,391,138,391,False,15.0,641.0,latent_difficulty_prev_intersection22,0.6657651819409323,0.6367514218879999,56,0.21450835207691346,0.2668705775496364,0.33799927456272627,0.3891415215245912
function_count,direct,,391,1,391,True,1.0,1.0,item_total_corr,-0.4490122080265979,-0.2302955464547237,55,,,,
call_count_static,direct,,391,45,391,False,1.0,61.0,two_pl_difficulty_all_models,0.5628177753970977,0.5144482350248885,55,0.2203887893795104,0.2618641253037274,0.3271718122364995,0.37330847918241267
branch_node_count,direct,,391,1,0,True,0.0,0.0,latent_difficulty_prev_intersection22,0.6441398748934914,0.611535389691096,56,,,,
cyclomatic_complexity,direct,,391,1,391,True,1.0,1.0,latent_difficulty_prev_intersection22,0.643300568140091,0.6475788446371733,56,,,,
max_nesting_depth,direct,,391,1,0,True,0.0,0.0,logit_difficulty_all,0.6117610401070142,0.5961652964563094,56,,,,
gzip_bytes,direct,,391,227,391,False,67.0,716.0,latent_difficulty_prev_intersection22,0.5968153148918336,0.569567917185125,56,0.20565707456371665,0.2839528072516587,0.3265953184400165,0.39076238723842904
halstead_volume,direct,,391,275,391,False,46.50699332842307,3573.3458065929635,latent_difficulty_prev_intersection22,0.6526962110139292,0.60818187778134,56,0.20952498788910665,0.25834020528898505,0.33942320965693834,0.38197531160991927
halstead_effort,direct,,391,275,391,False,162.77447664948076,26258.47628072408,latent_difficulty_prev_intersection22,0.6410421812919763,0.641307476283906,56,0.212402644126084,0.24196921841926142,0.35821723807223227,0.3913315246238719
input_cells_total,direct,,391,239,391,False,24.0,4500.0,rasch_infit,0.4685925509990363,0.3823848048973582,55,0.1788513432685796,0.2542672698226591,0.3572107111105247,0.4235851866723315
output_cells_total,direct,,391,226,391,False,4.0,4500.0,rasch_rmsea_x2,0.4414811686573412,0.3191051304181493,55,0.16415911920075835,0.21795298362503457,0.32514514061808203,0.4186095685635178
