metric,subset_name,target_metric,target_label,n,pearson_r,spearman_rho
nonblank_lines,full_set,human_difficulty_complete,Human latent difficulty,391,0.2203887893795104,0.20246838927294386
nonblank_lines,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.22227951734725135,0.25899976185344087
nonblank_lines,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.24854109816048695,0.23027348380426543
nonblank_lines,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.2618641253037274,0.2745834057715074
token_count,full_set,human_difficulty_complete,Human latent difficulty,391,0.21380361222518698,0.19175259071286785
token_count,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.23084773519924243,0.2663107187534548
token_count,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.250074046764585,0.22701784447339998
token_count,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.2673441852632608,0.27419557720794846
ast_node_count,full_set,human_difficulty_complete,Human latent difficulty,391,0.21450835207691346,0.19272754265015532
ast_node_count,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.23005979904887305,0.2654433615773896
ast_node_count,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.2499859946660822,0.22729526167519262
ast_node_count,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.2668705775496364,0.27410772153791396
function_count,full_set,human_difficulty_complete,Human latent difficulty,391,,
function_count,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,,
function_count,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,,
function_count,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,,
call_count_static,full_set,human_difficulty_complete,Human latent difficulty,391,0.2203887893795104,0.20246838927294386
call_count_static,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.22227951734725135,0.25899976185344087
call_count_static,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.24854109816048695,0.23027348380426543
call_count_static,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.2618641253037274,0.2745834057715074
branch_node_count,full_set,human_difficulty_complete,Human latent difficulty,391,,
branch_node_count,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,,
branch_node_count,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,,
branch_node_count,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,,
cyclomatic_complexity,full_set,human_difficulty_complete,Human latent difficulty,391,,
cyclomatic_complexity,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,,
cyclomatic_complexity,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,,
cyclomatic_complexity,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,,
max_nesting_depth,full_set,human_difficulty_complete,Human latent difficulty,391,,
max_nesting_depth,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,,
max_nesting_depth,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,,
max_nesting_depth,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,,
gzip_bytes,full_set,human_difficulty_complete,Human latent difficulty,391,0.20565707456371665,0.17727428020019756
gzip_bytes,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.25436010234291806,0.2642022344330108
gzip_bytes,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.25744382612894634,0.2236321144008994
gzip_bytes,full_set,pooled_pair_difficulty,Pooled GPT+Claude pair-level smoothed difficulty,391,0.2839528072516587,0.2702060366492867
halstead_volume,full_set,human_difficulty_complete,Human latent difficulty,391,0.20952498788910665,0.18551896424332995
halstead_volume,full_set,gpt_pair_difficulty,GPT pair-level smoothed difficulty,391,0.2194377698153544,0.26608211279410937
halstead_volume,full_set,claude_pair_difficulty,Claude pair-level smoothed difficulty,391,0.24483728811545888,0.22545986411441446
