subset_family,subset_name,n,human_mean_solve_rate,gpt_mean_pair_rate,claude_mean_pair_rate,pooled_mean_pair_rate,icecuber_mean_pair_rate,mean_human_pooled_gap,human_vs_gpt_pair_difficulty_r,human_vs_claude_pair_difficulty_r,human_vs_pooled_pair_difficulty_r,human_vs_icecuber_pair_difficulty_r
all_tasks,full_set,391,0.7669198059982248,0.20971867007672634,0.3167092924126172,0.26321398124467177,0.5183290707587382,0.5644135469332097,0.16935197837699303,0.2618982794341966,0.24489496835720878,0.12226875658540222
matched_pooled_gap,gap_le_0.10,38,0.8072930532071806,0.7763157894736842,0.8552631578947368,0.8157894736842105,0.7368421052631579,0.021238802748498035,0.8538932599801173,0.8561539608001894,0.9421253481412933,0.3216930142872004
matched_pooled_gap,gap_le_0.15,49,0.7709995071165855,0.7448979591836735,0.8163265306122449,0.7806122448979592,0.6938775510204082,0.04529044472653495,0.8561015297471049,0.8546352557421736,0.9369385741325235,0.34158041451637466
matched_pooled_gap,gap_le_0.20,68,0.7646799601327465,0.7426470588235294,0.8382352941176471,0.7904411764705882,0.7058823529411765,0.08149466202871775,0.7923413719145996,0.7831654451073002,0.8941592563831562,0.2611935833883495
matched_pooled_gap,gap_le_0.25,80,0.7502580332679016,0.71875,0.8375,0.778125,0.66875,0.10518087175981912,0.7483774272304559,0.7795583490867791,0.8659670798548987,0.2913397867521545
matched_pooled_gap,gap_le_0.30,91,0.7288264479560026,0.6758241758241759,0.8131868131868132,0.7445054945054945,0.6648351648351648,0.12671779733665214,0.6862207552413558,0.8089255551728948,0.852866413136911,0.2826343834602379
matched_pooled_gap,gap_le_0.35,116,0.7084351277344745,0.5991379310344828,0.7586206896551724,0.6788793103448276,0.6379310344827587,0.1688498931968809,0.6255274806955297,0.7765958392717821,0.8096301316109927,0.22467882375288364
matched_pooled_gap,gap_le_0.40,132,0.7021558446840589,0.5265151515151515,0.7348484848484849,0.6306818181818182,0.6212121212121212,0.19388397190859744,0.5621514130943764,0.8055377878379255,0.7921892386366168,0.20895890266455533
matched_pooled_gap,gap_le_0.45,148,0.6989084841810648,0.4966216216216216,0.7162162162162162,0.606418918918919,0.6216216216216216,0.21918352057452206,0.5060705929366377,0.7916026573402996,0.7551508693302,0.18779281617988355
matched_pooled_gap,gap_le_0.50,180,0.7077599388451715,0.45,0.6805555555555556,0.5652777777777778,0.5888888888888889,0.26836991826363055,0.41702060915576655,0.7202808014210185,0.6738408066612742,0.23070106249885963
