task_id,source_bytes,total_lines,nonblank_lines,comment_lines,token_count,ast_node_count,function_count,call_count_static,comprehension_count,branch_node_count,return_count,name_load_count,constant_count,assignment_node_count,cyclomatic_complexity,max_nesting_depth,max_line_length,mean_line_length,gzip_bytes,halstead_distinct_operators,halstead_distinct_operands,halstead_total_operators,halstead_total_operands,halstead_vocabulary,halstead_length,halstead_volume,halstead_difficulty,halstead_effort,source_line_count,assignment_count,temp_var_count,ast_call_count,named_call_count,closure_call_count,distinct_primitive_count,max_dependency_depth,max_fan_in,higher_order_count,object_op_count,selection_op_count,geometry_op_count,set_op_count,decision_op_count,direct_primitive_names,prim_vmirror_count,prim_hmirror_count,prim_dmirror_count,prim_rot180_count,prim_upscale_count,prim_hconcat_count,prim_replace_count,prim_crop_count,prim_switch_count,prim_rot270_count,prim_vconcat_count,prim_downscale_count,prim_tojvec_count,prim_canvas_count,prim_mostcolor_count,prim_first_count,prim_hsplit_count,prim_objects_count,prim_subgrid_count,prim_delta_count,prim_fill_count,prim_ofcolor_count,prim_move_count,prim_argmin_count,prim_partition_count,prim_argmax_count,prim_colorcount_count,prim_subtract_count,prim_leastcolor_count,prim_bottomhalf_count,prim_frontiers_count,prim_merge_count,prim_decrement_count,prim_numcolors_count,prim_mapply_count,prim_underfill_count,prim_branch_count,prim_portrait_count,prim_rbind_count,prim_vsplit_count,prim_equality_count,prim_compose_count,prim_extract_count,prim_fork_count,prim_cover_count,prim_sizefilter_count,prim_fgpartition_count,prim_paint_count,prim_apply_count,prim_colorfilter_count,prim_mfilter_count,prim_rot90_count,prim_trim_count,prim_color_count,prim_asindices_count,prim_lefthalf_count,prim_tophalf_count,prim_shape_count,prim_last_count,prim_palette_count,prim_compress_count,prim_valmin_count,prim_intersection_count,prim_shift_count,prim_cellwise_count,prim_righthalf_count,prim_combine_count,prim_inbox_count,prim_astuple_count,prim_shoot_count,prim_size_count,prim_lbind_count,prim_matcher_count,prim_sfilter_count,prim_cmirror_count,prim_difference_count,prim_other_count,prim_hupscale_count,prim_vupscale_count,prim_halve_count,prim_height_count,prim_width_count,prim_power_count,prim_gravitate_count,prim_mostcommon_count,prim_totuple_count,prim_dedupe_count,prim_remove_count,prim_backdrop_count,prim_product_count,prim_interval_count,prim_mpapply_count,prim_order_count,prim_chain_count,prim_asobject_count,prim_recolor_count,prim_dneighbors_count,prim_insert_count,prim_toindices_count,prim_greater_count,prim_neighbors_count,prim_lrcorner_count,prim_ulcorner_count,prim_increment_count,prim_sign_count,prim_contained_count,prim_normalize_count,prim_leastcommon_count,prim_add_count,prim_connect_count,prim_pair_count,prim_papply_count,prim_prapply_count,prim_initset_count,prim_valmax_count,prim_index_count,prim_center_count,prim_underpaint_count,prim_urcorner_count,prim_box_count,prim_position_count,prim_repeat_count,prim_divide_count,prim_occurrences_count,prim_hfrontier_count,prim_vfrontier_count,prim_hperiod_count,prim_multiply_count,prim_lowermost_count,prim_toobject_count,prim_double_count,prim_vline_count,prim_invert_count,prim_crement_count,prim_leftmost_count,prim_toivec_count,prim_uppermost_count,prim_positive_count,prim_outbox_count,prim_llcorner_count,prim_maximum_count,prim_minimum_count,prim_vperiod_count,prim_vmatching_count,prim_even_count,prim_rightmost_count,prim_rapply_count,prim_hline_count,prim_corners_count,prim_flip_count,prim_centerofmass_count,prim_both_count,status,train_pairs,test_pairs,example_count,elapsed_ms_total,elapsed_ms_per_example,peak_memory_bytes,current_memory_bytes,input_cells_total,output_cells_total,solver_opcode_count_dynamic,dsl_opcode_count_dynamic,primitives_opcode_count_dynamic,bundle_opcode_count_dynamic,solver_branch_opcode_count_dynamic,dsl_branch_opcode_count_dynamic,primitives_branch_opcode_count_dynamic,bundle_branch_opcode_count_dynamic,solver_python_call_count_dynamic,dsl_python_call_count_dynamic,primitives_python_call_count_dynamic,bundle_python_call_count_dynamic,solver_distinct_function_count_dynamic,dsl_distinct_function_count_dynamic,primitives_distinct_function_count_dynamic,bundle_distinct_function_count_dynamic,elapsed_ms_per_input_cell,elapsed_ms_per_output_cell,bundle_opcode_per_input_cell,bundle_opcode_per_output_cell,bundle_branch_opcode_per_input_cell,bundle_python_calls_per_example,peak_memory_per_input_cell,dsl_complexity_pc1,human_difficulty_complete,human_difficulty_complete_solve_rate,human_difficulty_complete_n_people,human_difficulty_all,gpt_solved,gpt_solved_pair_mean,claude_solved,claude_solved_pair_mean,icecuber_solved,icecuber_solved_pair_mean,gpt_failure,claude_failure,icecuber_failure,llm_success_count,llm_pooled_difficulty,gpt_pair_successes,claude_pair_successes,icecuber_pair_successes,pooled_pair_successes,gpt_pair_difficulty,claude_pair_difficulty,icecuber_pair_difficulty,pooled_pair_difficulty,llm_pair_mean_rate,llm_pair_failure,human_gpt_pair_gap,human_claude_pair_gap,human_llm_pair_gap,human_ice_pair_gap
007bbfb7,220,9,9,0,78,79,1,7,0,0,1,30,0,7,1,0,30,23.555556,149,6.0,17.0,33.0,33.0,23.0,66.0,298.5550890997629,5.823529411764706,1738.6443424045017,9,7,6,7,7,0,5,5,2,0,0,0,4,0,0,cellwise|hconcat|hupscale|vconcat|vupscale,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,5,1,6,1.0247,0.170783,35222,33702,54,486,165,0,0,165,0,0,0,0,6,378,0,384,1,6,0,7,0.0189759259259259,0.0021084362139917,3.055555555555556,0.3395061728395062,0.0,64.0,652.2592592592592,-3.904910025628156,2.7473948987006165,0.0,10,2.867296391700585,0,0.0,0,0.0,1,1.0,1,1,0,0,1.6094379124341005,0.0,0.0,1.0,0.0,1.0986122886681098,1.0986122886681098,-1.0986122886681098,1.6094379124341005,0.0,1.0,0.0,0.0,0.0,1.0
00d62c1b,202,8,8,0,73,73,1,6,0,0,1,28,0,6,1,0,30,24.375,165,6.0,21.0,31.0,31.0,27.0,62.0,294.80302513413505,4.428571428571429,1305.5562541654554,8,6,5,6,6,0,6,4,2,2,2,0,0,1,0,colorfilter|compose|fill|mfilter|objects|rbind,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,5,1,6,13.5772,2.262867,149966,58110,1136,1136,170,0,0,170,0,0,0,0,6,5630,0,5636,1,19,0,20,0.0119517605633802,0.0119517605633802,0.1496478873239436,0.1496478873239436,0.0,939.3333333333334,132.01232394366198,-1.6605358368006102,0.4180748603068874,0.6,10,0.4343800362035759,0,0.0,0,0.0,1,1.0,1,1,0,0,1.6094379124341005,0.0,0.0,1.0,0.0,1.0986122886681098,1.0986122886681098,-1.0986122886681098,1.6094379124341005,0.0,1.0,0.6,0.6,0.6,0.4
017c7c7b,232,9,9,0,78,79,1,7,0,0,1,30,0,7,1,0,45,24.888889,182,6.0,21.0,33.0,33.0,27.0,66.0,313.8225751427889,4.714285714285714,1479.4492828160048,9,7,6,7,7,0,7,5,3,1,0,0,2,0,2,bottomhalf|branch|crop|equality|replace|tophalf|vconcat,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,3,1,4,0.5042,0.12605,14361,12793,72,108,105,0,0,105,0,0,0,0,4,228,0,232,1,8,0,9,0.0070027777777777,0.0046685185185185,1.4583333333333333,0.9722222222222222,0.0,58.0,199.45833333333331,-3.4301385560403914,0.5272421446431658,0.5555555555555556,9,0.5958148323828225,1,1.0,1,1.0,0,0.0,0,0,1,2,-1.6094379124341007,1.0,1.0,0.0,2.0,-1.0986122886681098,-1.0986122886681098,1.0986122886681098,-1.6094379124341007,1.0,0.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5555555555555556
025d127b,279,11,11,0,98,101,1,9,0,0,1,39,0,9,1,0,33,24.454545,200,6.0,28.0,42.0,42.0,34.0,84.0,427.3468786650285,4.5,1923.060953992628,11,9,8,9,9,0,9,6,2,3,2,0,0,3,0,apply|compose|difference|lbind|mapply|merge|move|objects|rbind,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,2,1,3,2.2863,0.7621,30833,19737,298,298,90,0,0,90,0,0,0,0,3,1026,0,1029,1,23,0,24,0.0076721476510067,0.0076721476510067,0.3020134228187919,0.3020134228187919,0.0,343.0,103.46644295302012,-0.4785859355276062,0.1107689327027577,0.8461538461538461,13,-0.0599576865310696,1,1.0,1,1.0,1,1.0,0,0,0,2,-1.6094379124341007,1.0,1.0,1.0,2.0,-1.0986122886681098,-1.0986122886681098,-1.0986122886681098,-1.6094379124341007,1.0,0.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385
045e512c,691,26,26,0,233,251,1,24,0,0,1,99,0,24,1,0,36,25.615385,352,6.0,53.0,102.0,102.0,59.0,204.0,1200.0591820698155,5.773584905660377,6928.643579497427,26,24,23,24,24,0,15,14,2,5,1,1,0,10,0,apply|compose|difference|first|interval|lbind|maximum|mpapply|objects|paint|papply|product|rbind|sfilter|totuple,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,1.0,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,passed,3,1,4,11.9649,2.991225,67051,24507,1764,1764,360,0,0,360,0,0,0,0,4,7146,0,7150,1,39,0,40,0.0067828231292517,0.0067828231292517,0.2040816326530612,0.2040816326530612,0.0,1787.5,38.01077097505669,7.50113242879623,2.079700474209981,0.125,8,2.1364183185228223,0,0.0,0,0.0,0,0.0,1,1,1,0,1.6094379124341005,0.0,0.0,0.0,0.0,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.6094379124341005,0.0,1.0,0.125,0.125,0.125,0.125
0520fde7,183,8,8,0,63,63,1,6,0,0,1,23,0,6,1,0,31,22.0,147,6.0,17.0,26.0,26.0,23.0,52.0,235.22522171496468,4.588235294117647,1079.2686643392497,8,6,5,6,6,0,5,5,2,0,0,0,2,0,0,cellwise|lefthalf|replace|righthalf|vmirror,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,3,1,4,0.4961,0.124025,10482,8746,84,36,87,0,0,87,0,0,0,0,4,240,0,244,1,10,0,11,0.0059059523809523,0.0137805555555555,1.0357142857142858,2.4166666666666665,0.0,61.0,124.78571428571428,-5.599894651577023,0.53259105489435,0.5555555555555556,9,0.5471122011560121,0,0.0,0,0.0,1,1.0,1,1,0,0,1.6094379124341005,0.0,0.0,1.0,0.0,1.0986122886681098,1.0986122886681098,-1.0986122886681098,1.6094379124341005,0.0,1.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4444444444444444
05269061,378,15,15,0,130,137,1,13,0,0,1,53,0,13,1,0,31,24.266667,234,6.0,31.0,56.0,56.0,37.0,112.0,583.4587769504424,5.419354838709677,3161.97014605401,15,13,12,13,13,0,9,7,2,2,2,0,2,3,0,apply|lbind|mapply|merge|neighbors|objects|paint|rbind|shift,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,2.0,,,,1.0,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,3,1,4,7.8296,1.9574,84538,44666,196,196,186,0,0,186,0,0,0,0,4,5752,0,5756,1,16,0,17,0.0399469387755102,0.0399469387755102,0.9489795918367347,0.9489795918367347,0.0,1439.0,431.3163265306122,2.1130479186168976,0.44401736422652,0.5,2,0.1124786438388671,0,0.0,1,1.0,1,1.0,1,0,0,1,-0.0,0.0,1.0,1.0,1.0,1.0986122886681098,-1.0986122886681098,-1.0986122886681098,-0.0,0.5,0.5,0.5,0.5,0.0,0.5
05f2a901,215,9,9,0,78,79,1,7,0,0,1,30,0,7,1,0,31,23.0,161,6.0,19.0,33.0,33.0,25.0,66.0,306.49450852513183,5.210526315789474,1596.9977023151607,9,7,6,7,7,0,5,5,2,0,3,2,1,0,0,colorfilter|first|gravitate|move|objects,,,,,,,,,,,,,,,,2.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,3,1,4,6.8179,1.704475,29855,17991,436,436,108,0,0,108,0,0,0,0,4,3454,0,3458,1,24,0,25,0.0156373853211009,0.0156373853211009,0.2477064220183486,0.2477064220183486,0.0,864.5,68.47477064220183,-2.0017305905801464,-0.6459684485628001,1.0,4,-0.9120763499854776,0,0.0,0,0.0,0,0.0,1,1,1,0,1.6094379124341005,0.0,0.0,0.0,0.0,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.6094379124341005,0.0,1.0,1.0,1.0,1.0,1.0
06df4c85,646,24,24,0,215,231,1,22,0,0,1,91,0,22,1,0,36,25.958333,340,6.0,54.0,94.0,94.0,60.0,188.0,1110.4954319744015,5.222222222222222,5799.253922532986,24,22,21,22,22,0,17,11,3,8,3,2,0,6,0,apply|argmax|colorfilter|compose|difference|fill|fork|merge|mfilter|mostcolor|ofcolor|paint|partition|power|product|remove|sfilter,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,2.0,,4.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,3,1,4,147.3083,36.827075,344191,95623,2134,2134,318,0,0,318,0,0,0,0,4,86576,0,86580,1,37,0,38,0.0690291940018744,0.0690291940018744,0.1490159325210871,0.1490159325210871,0.0,21645.0,161.28912839737583,8.550355550775222,-1.0505607923062212,1.0,5,-1.2250112492062892,0,0.0,0,0.0,1,1.0,1,1,0,0,1.6094379124341005,0.0,0.0,1.0,0.0,1.0986122886681098,1.0986122886681098,-1.0986122886681098,1.6094379124341005,0.0,1.0,1.0,1.0,1.0,0.0
08ed6ac7,222,9,9,0,80,81,1,7,0,0,1,31,0,7,1,0,36,23.777778,182,6.0,23.0,34.0,34.0,29.0,68.0,330.3427076686749,4.434782608695652,1464.9980948784714,9,7,6,7,7,0,7,6,2,0,1,1,0,0,0,interval|mpapply|objects|order|paint|size|totuple,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,2,1,3,2.0334,0.6778,27263,13607,243,243,74,0,0,74,0,0,0,0,3,1057,0,1060,1,18,0,19,0.0083679012345679,0.0083679012345679,0.3045267489711934,0.3045267489711934,0.0,353.3333333333333,112.19341563786008,-2.3383434955246747,-0.4163674911023664,0.8,5,-0.5127435460642391,1,1.0,1,1.0,0,0.0,0,0,1,2,-1.6094379124341007,1.0,1.0,0.0,2.0,-1.0986122886681098,-1.0986122886681098,1.0986122886681098,-1.6094379124341007,1.0,0.0,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.8
