task_id,solution_file,dataset_membership,variant_count,test_case_count_total,file_bytes,total_lines,nonblank_lines,comment_lines,token_count,ast_node_count,function_count,call_count_static,comprehension_count,branch_node_count,cyclomatic_complexity,max_nesting_depth,max_line_length,mean_line_length,gzip_bytes,halstead_distinct_operators,halstead_distinct_operands,halstead_total_operators,halstead_total_operands,halstead_vocabulary,halstead_length,halstead_volume,halstead_difficulty,halstead_effort,dynamic_status,test_case_count,input_cells_total,output_cells_total,elapsed_ns_total,elapsed_ms_total,elapsed_ms_per_test,opcode_count_dynamic,branch_opcode_count_dynamic,python_call_count_dynamic,peak_memory_bytes,current_memory_bytes
00576224,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\00576224.py,arc_agi_1_eval|arc_agi_2_train,2,2,1370,37,30,5,142,141,1,6,0,0,1,0,108,36.027,523,12,15,60,48,27,108,513.52785,19.2,9859.734724,ok,2,8,72,17938300,17.9383,8.96915,67,0,2,12957,9380
007bbfb7,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\007bbfb7.py,arc_agi_1_train|arc_agi_2_train,2,2,1568,35,31,4,166,163,1,6,1,5,7,5,169,43.486,637,14,20,72,55,34,127,646.107781,19.25,12437.574781,ok,2,18,162,228537200,228.5372,114.2686,1180,224,2,13733,10156
009d5c81,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\009d5c81.py,arc_agi_1_eval|arc_agi_2_train,2,2,2688,78,69,8,515,445,1,22,5,14,20,4,119,33.385,908,18,32,244,161,50,405,2285.761757,45.28125,103502.149553,ok,2,392,392,1669830700,1669.8307,834.91535,7683,1572,58,23671,16730
00d62c1b,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\00d62c1b.py,arc_agi_1_train|arc_agi_2_train,2,2,1262,41,34,3,324,336,2,12,2,8,22,3,88,29.78,538,22,24,155,111,46,266,1469.26748,50.875,74748.983061,ok,2,800,800,27991630000,27991.63,13995.815,100550,16698,2466,1049883,996898
00dbd492,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\00dbd492.py,arc_agi_1_eval|arc_agi_2_train,2,2,3795,109,89,10,708,669,4,26,6,21,33,5,82,33.817,1244,27,57,316,231,84,547,3496.59763,54.710526,191300.696666,ok,2,800,800,10680169700,10680.1697,5340.08485,44300,8677,836,1004613,985300
017c7c7b,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\017c7c7b.py,arc_agi_1_train|arc_agi_2_train,2,2,2046,63,56,3,328,293,3,17,1,10,12,3,78,31.476,752,17,36,141,108,53,249,1426.252193,25.5,36369.430926,ok,2,36,54,401213400,401.2134,200.6067,2197,425,14,16169,12000
025d127b,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\025d127b.py,arc_agi_1_train|arc_agi_2_train,2,2,2530,63,56,10,346,311,1,12,2,12,15,5,88,39.159,892,22,29,154,101,51,255,1446.468462,38.310345,55414.705569,ok,2,200,200,480184300,480.1843,240.09215,2277,570,40,18715,12498
03560426,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\03560426.py,arc_agi_1_eval|arc_agi_2_train,2,2,3303,90,74,9,577,586,2,20,6,12,26,4,111,35.7,1245,25,51,265,198,76,463,2892.790439,48.529412,140385.41835,ok,2,200,200,2312116200,2312.1162,1156.0581,10585,2091,186,21907,15582
0520fde7,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\0520fde7.py,arc_agi_1_train|arc_agi_2_train,2,2,1163,32,26,1,140,126,1,6,0,3,5,3,105,35.219,543,16,21,60,44,37,104,541.78315,16.761905,9081.317562,ok,2,42,18,70321100,70.3211,35.16055,294,42,2,12725,8656
05269061,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\05269061.py,arc_agi_1_train|arc_agi_2_train,2,2,1414,43,36,5,248,237,1,9,1,7,9,4,134,31.884,566,22,22,113,78,44,191,1042.751439,39.0,40667.306127,ok,2,98,98,352208000,352.208,176.104,1517,330,2,14497,10422
