dataset_key,psychometric_dataset,task_id,latent_difficulty,solution_file,dataset_membership,variant_count,test_case_count_total,file_bytes,total_lines,nonblank_lines,comment_lines,token_count,ast_node_count,function_count,call_count_static,comprehension_count,branch_node_count,cyclomatic_complexity,max_nesting_depth,max_line_length,mean_line_length,gzip_bytes,halstead_distinct_operators,halstead_distinct_operands,halstead_total_operators,halstead_total_operands,halstead_vocabulary,halstead_length,halstead_volume,halstead_difficulty,halstead_effort,dynamic_status,test_case_count,input_cells_total,output_cells_total,elapsed_ns_total,elapsed_ms_total,elapsed_ms_per_test,opcode_count_dynamic,branch_opcode_count_dynamic,python_call_count_dynamic,peak_memory_bytes,current_memory_bytes,elapsed_ms_per_input_cell,opcode_per_input_cell,branch_opcode_per_input_cell,python_calls_per_input_cell,complexity_pc1_score,complexity_ridge_train_pred,complexity_ridge_loo_pred,complexity_best_pcr_train_pred,complexity_best_pcr_loo_pred,complexity_best_pls_train_pred,complexity_best_pls_loo_pred,PC1,PC2,PC3,PC4,PC5
arc_agi_1_eval,ARC-V1,00576224,-6.45028502999322,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\00576224.py,arc_agi_1_eval|arc_agi_2_train,2,2,1370,37,30,5,142,141,1,6,0,0,1,0,108,36.027,523,12,15,60,48,27,108,513.52785,19.2,9859.734724,ok,2,8,72,17938300,17.9383,8.96915,67,0,2,12957,9380,2.2422875,8.375,0.0,0.25,-8.683535521190725,-6.131035391575337,-3.944474026534824,-3.5723167034870533,-5.577803887615902,-5.059830138578066,-4.701629299191012,-8.683535521190725,0.6717201782295753,-2.60507196724436,1.6806334588511105,1.741222612878082
arc_agi_1_eval,ARC-V1,009d5c81,-0.952403479063194,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\009d5c81.py,arc_agi_1_eval|arc_agi_2_train,2,2,2688,78,69,8,515,445,1,22,5,14,20,4,119,33.385,908,18,32,244,161,50,405,2285.761757,45.28125,103502.149553,ok,2,392,392,1669830700,1669.8307,834.91535,7683,1572,58,23671,16730,4.259772193877551,19.59948979591837,4.010204081632653,0.1479591836734693,-0.4175049746545823,1.301357428079477,1.9955223892204672,1.315858269941877,1.4037458653747323,1.8177703891018389,2.409070354936884,-0.4175049746545823,0.5132511233900041,-0.08336275026126708,-0.8189259621777648,0.5634708946203161
arc_agi_1_eval,ARC-V1,00dbd492,-0.532746932208858,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\00dbd492.py,arc_agi_1_eval|arc_agi_2_train,2,2,3795,109,89,10,708,669,4,26,6,21,33,5,82,33.817,1244,27,57,316,231,84,547,3496.59763,54.710526,191300.696666,ok,2,800,800,10680169700,10680.1697,5340.08485,44300,8677,836,1004613,985300,13.350212125,55.375,10.84625,1.045,2.824316948350253,2.178406605293535,2.652432729600926,2.3183913389371766,2.6015545419559247,2.247270949466377,2.6985815980016277,2.824316948350253,1.4565648311343649,0.1526251523714701,1.5677904328789682,0.2437549834381816
arc_agi_1_eval,ARC-V1,03560426,1.46017169826515,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\03560426.py,arc_agi_1_eval|arc_agi_2_train,2,2,3303,90,74,9,577,586,2,20,6,12,26,4,111,35.7,1245,25,51,265,198,76,463,2892.790439,48.529412,140385.41835,ok,2,200,200,2312116200,2312.1162,1156.0581,10585,2091,186,21907,15582,11.560581,52.925,10.455,0.93,0.5378405621194232,1.5198360954903845,1.533084971512159,0.9370226216265116,0.8738502529256957,2.265158850301426,2.3567047832002657,0.5378405621194232,1.2339572124180012,-1.3653732521807993,-0.1663800709880795,0.508160500763902
arc_agi_1_eval,ARC-V1,0b17323b,-2.39589187694347,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\0b17323b.py,arc_agi_1_eval|arc_agi_2_train,2,2,2334,64,53,6,327,329,1,9,1,8,11,3,97,35.469,895,23,33,145,109,56,254,1475.06815,37.984848,56030.24019,ok,2,450,450,786175700,786.1757,393.08785,2683,772,2,981799,975238,1.747057111111111,5.962222222222223,1.7155555555555555,0.0044444444444444,-2.1844295950592905,-1.6014456167861646,-1.348199402708899,0.27181172446099566,0.4716550394608281,-0.7543584162416372,-0.5973966143834772,-2.1844295950592905,-0.1309429442859006,1.440959845683707,0.4715046063146452,-0.2228374091585825
arc_agi_1_eval,ARC-V1,0bb8deee,-0.952403479063194,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\0bb8deee.py,arc_agi_1_eval|arc_agi_2_train,2,2,4115,96,81,11,628,610,2,27,7,15,26,3,165,41.865,1255,22,41,287,211,63,498,2976.685402,56.609756,168509.434581,ok,2,364,72,1946950700,1946.9507,973.47535,9006,1999,292,22445,16496,5.34876565934066,24.74175824175824,5.491758241758242,0.8021978021978022,0.5384527362137145,0.45588824244172943,0.807490555614125,0.5010809846640897,0.5980791631551907,0.676793630648979,1.1183084092581668,0.5384527362137145,0.5628307178231298,-1.7553817371762663,-0.12129171615551282,-0.10083700966248119
arc_agi_1_eval,ARC-V1,0c786b71,-1.87305588525316,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\0c786b71.py,arc_agi_1_eval|arc_agi_2_train,2,2,1388,36,29,5,147,129,1,6,0,3,4,1,108,37.556,569,14,17,62,44,31,106,525.144809,18.117647,9514.388302,ok,2,24,96,33978400,33.9784,16.9892,135,21,2,12809,8914,1.4157666666666666,5.625,0.875,0.0833333333333333,-6.968074598960855,-3.9949985532055914,-5.366400630884039,-2.7026657883909477,-2.8809350164785514,-3.7440363596349053,-4.765807037348868,-6.968074598960855,0.36131901221452845,-1.3606064683346413,0.4317414254388133,0.879824530541697
arc_agi_1_eval,ARC-V1,0c9aba6e,-0.532746932208858,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\0c9aba6e.py,arc_agi_1_eval|arc_agi_2_train,2,2,1679,55,45,7,293,263,1,17,1,9,12,3,101,29.527,615,19,24,135,84,43,219,1188.351981,33.25,39512.703378,ok,2,104,48,258779400,258.7794,129.3897,1142,182,36,15913,11354,2.4882634615384616,10.98076923076923,1.75,0.3461538461538461,-3.3004033572292975,-2.3955597830497597,-3.020227621177307,-1.2470106317036784,-1.2979888018014794,-2.658961121276226,-3.258521164703641,-3.3004033572292975,0.2873706356427713,-1.3275098677706243,-0.6162396058267537,0.052817470863755905
arc_agi_1_eval,ARC-V1,0f63c0b9,0.268045496684536,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\0f63c0b9.py,arc_agi_1_eval|arc_agi_2_train,2,2,3208,76,66,10,478,461,1,15,3,11,17,4,105,41.211,1110,24,33,220,156,57,376,2193.166645,56.727273,124412.362426,ok,2,450,450,809914400,809.9144,404.9572,3980,1058,10,983235,976490,1.7998097777777775,8.844444444444445,2.351111111111111,0.0222222222222222,-0.7350629419401984,0.3596832912130987,0.3774076565384985,1.3965290410850597,1.428264445976672,0.8894055445562005,0.9254828925869357,-0.7350629419401984,-0.48726843017563193,1.0435983828561082,0.07143916870261444,0.0054514638964818585
arc_agi_1_eval,ARC-V1,12422b43,-2.39589187694347,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\12422b43.py,arc_agi_1_eval|arc_agi_2_train,2,2,1525,42,36,5,198,181,1,8,2,6,9,3,84,35.31,595,16,23,86,62,39,148,782.239528,21.565217,16869.165482,ok,2,140,140,184101700,184.1017,92.05085,627,126,38,16287,11430,1.3150121428571429,4.478571428571429,0.9,0.2714285714285714,-4.442575206672706,-2.124850042861791,-2.04800473443592,-1.1572303144377438,-1.1363972334022572,-1.9534810670500817,-1.757795044340222,-4.442575206672706,0.3050408762001691,-0.22964428895296035,-0.17962613605077268,0.4455410876048464
arc_agi_1_eval,ARC-V1,12997ef3,-1.39576081341223,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\12997ef3.py,arc_agi_1_eval|arc_agi_2_train,2,4,3535,95,80,11,621,581,1,32,9,17,28,5,104,36.211,1026,21,44,283,200,65,483,2908.803654,47.727273,138829.26529,ok,4,440,144,2075459800,2075.4598,518.86495,11644,2990,124,984358,977620,4.716954090909091,26.463636363636365,6.795454545454546,0.2818181818181818,0.7900409262057877,-0.7790752345141991,-0.5688177308503806,1.4935520265438622,1.6129015456117513,-0.35838615310460886,-0.18953725350358042,0.7900409262057877,0.06304330618033445,0.04116925222222608,-0.4718435137613167,-0.19810626099755854
arc_agi_1_eval,ARC-V1,12eac192,1.05747032445841,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\12eac192.py,arc_agi_1_eval|arc_agi_2_train,2,2,2211,58,47,3,369,371,2,10,2,9,18,5,94,37.121,902,23,34,180,120,57,300,1749.867004,40.588235,71024.013702,ok,2,128,128,2641056900,2641.0569,1320.52845,15440,2632,40,17559,12470,20.63325703125,120.625,20.5625,0.3125,-0.8683487138223085,-0.28067483337460586,-0.8548822280691806,-0.9116921000235882,-0.9922976679175965,0.10469113509675787,-0.19089347796233458,-0.8683487138223085,2.4833423264023162,-1.0147083705838016,-0.3034510541902183,-0.07956184640947817
arc_agi_1_eval,ARC-V1,13713586,2.31160559283692,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\13713586.py,arc_agi_1_eval|arc_agi_2_train,2,2,4754,118,98,12,870,793,1,38,5,36,42,8,100,39.288,1067,21,36,409,264,57,673,3925.53498,77.0,302266.193424,ok,2,684,684,1312146000,1312.146,656.073,7202,1711,56,991869,981976,1.9183421052631575,10.529239766081872,2.5014619883040936,0.0818713450292397,1.8817641061241752,2.725698249020133,2.8530902263616365,3.6530784376374923,3.7248206377103914,2.4168973061079773,2.5812724212180784,1.8817641061241752,-1.311701197234237,1.078100280378845,-0.8585157893355135,0.2555405674151381
arc_agi_1_eval,ARC-V1,140c817e,0.268045496684535,C:\Users\cooki\Desktop\ARC-AGI\Python solutions\approved_only\solutions\140c817e.py,arc_agi_1_eval|arc_agi_2_train,2,2,2572,60,52,8,338,318,1,7,1,10,15,3,104,41.867,974,20,27,156,104,47,260,1444.193101,38.518519,55628.178722,ok,2,392,392,775799200,775.7992,387.8996,3957,1068,2,19649,13392,1.9790795918367348,10.09438775510204,2.724489795918368,0.0051020408163265,-2.2984766679375044,0.5974545294919429,0.7179958427789932,-0.004371803855340861,-0.028525958615005065,0.8817332938416604,1.1623567785731963,-2.2984766679375044,0.3333303749206639,0.5660560730859823,-0.6299291969006878,0.021000221160054396
