metric,category,n,pearson_r,pearson_p,spearman_rho,spearman_p
prim_add_count,dsl_primitive_usage,2,1.0,1.0,0.9999999999999999,
prim_index_count,dsl_primitive_usage,2,1.0,1.0,0.9999999999999999,
prim_vmirror_count,dsl_primitive_usage,2,1.0,1.0,0.9999999999999999,
prim_rot180_count,dsl_primitive_usage,3,0.9983341331553099,0.036751542473015555,0.8660254037844387,0.3333333333333332
prim_subtract_count,dsl_primitive_usage,4,0.9909494359756902,0.009050564024309704,0.8944271909999159,0.10557280900008414
prim_argmin_count,dsl_primitive_usage,9,0.966112421089264,2.281828470999927e-05,0.5477225575051661,0.12687036692367104
prim_intersection_count,dsl_primitive_usage,5,0.9518578439236178,0.012588120606736905,0.7071067811865475,0.18169011381620925
prim_vsplit_count,dsl_primitive_usage,4,0.9457331180577171,0.05426688194228291,0.7745966692414834,0.22540333075851657
prim_cmirror_count,dsl_primitive_usage,3,0.895804285240404,0.29320083010482734,0.8660254037844387,0.3333333333333332
prim_ulcorner_count,dsl_primitive_usage,8,0.8735422142402,0.004588279564610628,0.5773502691896258,0.13397459621556113
prim_shoot_count,dsl_primitive_usage,8,0.7727507411416787,0.024565940558495595,0.2886751345948129,0.48805269099201154
prim_argmax_count,dsl_primitive_usage,19,0.6989122566899023,0.0008704390414718924,0.3890082693572446,0.09973912718436047
prim_recolor_count,dsl_primitive_usage,3,0.605060090076627,0.5862981551634212,0.8660254037844387,0.3333333333333332
prim_tojvec_count,dsl_primitive_usage,7,0.5852937918195538,0.16742324104368683,0.6179143806533247,0.13920002190140457
prim_connect_count,dsl_primitive_usage,5,0.5541018893027587,0.3324754038608773,0.8660254037844386,0.05766888562243733
prim_asindices_count,dsl_primitive_usage,8,0.5216484228734023,0.18486093680276977,0.4148699068225111,0.306767817300243
prim_asobject_count,dsl_primitive_usage,6,0.5113675246556889,0.2998091846842219,0.6210590034081188,0.188187159830816
prim_power_count,dsl_primitive_usage,8,0.4569865115375173,0.2549708031185682,0.3944053188733078,0.33360108714813674
prim_shift_count,dsl_primitive_usage,13,0.43994996964854094,0.13247713744220788,0.3981726491629712,0.1778170664740951
prim_merge_count,dsl_primitive_usage,21,0.43684248378725593,0.04769703430850235,0.1800205749557739,0.4348878789903142
prim_replace_count,dsl_primitive_usage,25,0.4178283637379415,0.0376774001586025,0.3783399726023175,0.06220126726989976
prim_sfilter_count,dsl_primitive_usage,22,0.4101890982847581,0.05795133776472037,0.42920334054686377,0.0462263904279474
prim_crop_count,dsl_primitive_usage,8,0.3682396284164145,0.36942838501680864,0.22672808050605428,0.589229045103951
prim_first_count,dsl_primitive_usage,20,0.30440590199889506,0.1919210048374069,0.44931688212281146,0.04687050943703025
prim_apply_count,dsl_primitive_usage,37,0.2951920708399039,0.07610987114570851,0.4766725687952431,0.002857486849284472
prim_branch_count,dsl_primitive_usage,13,0.28393928982121147,0.3471380371698432,0.371334052528104,0.21158206028827178
temp_var_count,dsl_structure,150,0.2643900605777588,0.0010777842673767753,0.3144063698966792,8.917509649163911e-05
assignment_count,dsl_structure,150,0.2643900605777588,0.0010777842673767753,0.3144063698966792,8.917509649163911e-05
ast_call_count,dsl_structure,150,0.2643900605777588,0.0010777842673767753,0.3144063698966792,8.917509649163911e-05
source_line_count,python_static,150,0.2643900605777588,0.0010777842673767753,0.3144063698966792,8.917509649163911e-05
max_dependency_depth,dsl_structure,150,0.2634910552308088,0.0011225358424970468,0.2809322132179629,0.0004970889862332748
named_call_count,dsl_structure,150,0.2556443470345506,0.0015916346003913503,0.3046959883175686,0.00014999302475602588
dsl_complexity_pc1,composite,150,0.2552222027238935,0.001621330926104099,0.328273323424679,4.111597556179376e-05
bundle_distinct_function_count_dynamic,dynamic_execution,150,0.25244065224838597,0.001829959932250676,0.3274931267813216,4.298971010647996e-05
dsl_distinct_function_count_dynamic,dynamic_execution,150,0.25244065224838597,0.001829959932250676,0.3274931267813216,4.298971010647996e-05
prim_combine_count,dsl_primitive_usage,12,0.22326097158949257,0.48548462961179684,0.39304183206703214,0.20625575661998333
distinct_primitive_count,dsl_structure,150,0.2218172370715802,0.0063711985836091955,0.2366893287607528,0.0035438729838184516
set_op_count,dsl_structure,150,0.22087323880380894,0.0066049270914959055,0.23102451077659125,0.004449881603909648
prim_move_count,dsl_primitive_usage,7,0.21984836348794892,0.6357276792750166,0.40089186286863665,0.3727690230065347
bundle_opcode_count_dynamic,dynamic_execution,150,0.2160246958029353,0.007929805013167328,0.2893897646869651,0.0003283964716923553
solver_opcode_count_dynamic,dynamic_execution,150,0.2160246958029353,0.007929805013167328,0.2893897646869651,0.0003283964716923553
higher_order_count,dsl_structure,150,0.21155202942568038,0.00935557088898785,0.2684147861901923,0.0008967768279004958
gzip_bytes,python_static,150,0.20999358988765368,0.009903076415167673,0.253013989129542,0.0017850587170555586
nonblank_lines,expanded_python_static,150,0.2043567591493061,0.012126493459982823,0.24597212107800187,0.002412661277618683
prim_fill_count,dsl_primitive_usage,72,0.19931079380408642,0.09325030321371328,0.26793864428187375,0.022874511774520694
halstead_volume,python_static,150,0.1936004553474441,0.01760703964596267,0.2461767437845314,0.0023919130284440595
token_count,expanded_python_static,150,0.19238437221805527,0.01834483511108954,0.24194920153836122,0.002855120558394127
call_count_static,expanded_python_static,150,0.18675269385167037,0.02212121165967781,0.2481806782169567,0.0021971000825173805
ast_node_count,expanded_python_static,150,0.18557580452650294,0.02298986227543601,0.2400859124371623,0.003083890597694412
complexity_pc1_score,expanded_composite,150,0.1814751050952536,0.026249418152430763,0.2522390820590368,0.0018459884736583933
selection_op_count,dsl_structure,150,0.17808427660282547,0.029235883053656254,0.011486235106680854,0.8890512272073701
prim_chain_count,dsl_primitive_usage,17,0.1775757653497756,0.4953367528999418,0.29126939682187364,0.2566805899100732
